mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
122;14132601;0;1;0
122;17472036;0;1;0
122;25570840;0;1;0
198;23364971;0;1;1
198;24141853;0;1;1
1560;25206692;0;1;1
2539;25358355;0;1;0
3141;25358351;0;1;1
3414;1024691;0;1;0
4135;25999997;0;1;0
5441;25537687;0;1;1
6367;13809032;0;1;0
7744;9532091;0;1;1
8941;25540462;0;1;0
9240;22422149;0;1;0
10175;24566459;0;1;1
11191;25948660;0;1;0
12433;25565276;0;1;1
13188;19958112;0;1;0
13188;21598963;0;1;0
13446;25166778;0;1;1
13507;12821838;0;1;0
13507;19266154;0;1;0
13541;1959820;0;1;1
13986;23513426;0;1;1
14237;25996116;0;1;0
14524;3484775;0;1;1
14783;9995345;0;1;0
14783;16081814;0;1;0
15935;26007673;0;1;0
16027;1372802;0;1;0
16027;25328755;0;1;0
16560;20210288;1;1;1
16761;25162618;0;1;0
16761;25403919;0;1;0
17723;9045987;0;1;1
17946;25240521;0;1;1
17980;25662753;0;1;0
18212;23504915;0;1;0
18798;18156122;0;1;1
19365;5638619;0;1;1
19891;25526821;0;1;0
20205;2973368;0;1;1
20303;11928669;0;1;1
20469;5784501;0;1;1
20918;25667760;0;1;0
23146;14547794;0;1;1
23760;26115944;0;1;0
24269;4192540;0;1;1
24439;25718251;0;1;1
24620;13443908;1;1;0
24863;19409911;0;1;1
24863;23541630;0;1;0
25982;25255450;0;1;1
25983;25538859;0;1;1
26329;1386301;0;1;1
26946;26014103;0;1;1
27183;17117554;1;1;0
28701;21444158;0;1;1
28851;25240351;0;1;1
29105;25717883;0;1;1
29344;8287598;0;1;1
29344;12018951;0;1;1
29455;20610953;0;1;1
29455;25265558;0;1;1
29500;16501752;0;1;1
29500;23994627;0;1;1
29748;26153602;0;1;1
30513;12423798;0;1;1
30653;25651880;0;1;0
31823;20184504;0;1;1
32099;26024741;0;1;0
33537;25189732;0;1;0
33799;11115934;0;1;0
33799;17308842;0;1;0
34490;25290919;0;1;1
34534;25177020;0;1;0
35167;25530255;0;1;1
35489;25335674;0;1;0
36618;6275166;0;1;1
36619;25535960;0;1;1
36754;26298969;0;1;0
37028;25543017;0;1;1
37165;25310845;0;1;1
37585;18079698;0;1;1
38182;21993254;0;1;1
39480;22343600;0;1;1
39758;8157997;0;1;1
40570;25672061;0;1;0
40786;10188692;1;1;1
40793;11717367;0;1;0
41331;15509018;0;1;1
41523;13221754;0;1;1
42004;10088299;1;1;1
42008;12820090;0;1;1
42068;25536444;0;1;0
42523;6509784;0;1;1
42523;15451531;0;1;1
42896;1280534;0;1;0
43000;19674095;0;1;1
43622;5570897;0;1;1
44733;6874259;0;1;1
45042;11261541;1;1;1
45477;25433161;0;1;0
45962;21561360;0;1;1
46341;2899873;0;1;1
47069;3677380;0;1;1
47069;11305277;0;1;1
47108;19736015;0;1;0
47295;5684215;0;1;1
47458;20363184;0;1;1
47458;21226723;1;1;1
48045;16903668;0;1;1
48653;16527309;0;1;0
49064;25260246;0;1;0
49996;24905018;0;1;1
50191;13464946;0;1;1
50880;9766219;1;1;0
51609;12605671;0;1;0
52366;25571364;0;1;0
52515;25547428;0;1;1
52931;17597476;0;1;1
53589;26144842;0;1;1
54508;26007771;0;1;1
54607;26286959;0;1;0
55284;1551602;0;1;1
55284;24163088;0;1;1
56694;9569318;1;1;1
56915;9639417;0;1;0
57849;8718765;0;1;1
57908;1776547;0;1;1
57908;3220801;0;1;1
59002;24387541;0;1;1
60186;15244967;1;1;0
60186;26297353;0;1;0
60757;25218036;0;1;1
60775;25686692;0;1;1
61007;25570302;0;1;0
62681;10313282;0;1;0
63085;26150245;0;1;0
63827;25852653;0;1;0
63866;25588881;0;1;0
63984;8137015;0;1;1
64193;16291018;0;1;1
64311;21059685;0;1;1
64394;16086598;1;1;1
65785;18859728;0;1;1
66391;25248058;0;1;1
66567;26302875;0;1;0
66845;25407210;0;1;0
67517;7302290;0;1;1
67517;21937051;0;1;0
68710;25301044;0;1;1
69627;10178575;0;1;1
69679;18328822;0;1;1
69881;25329594;0;1;1
70845;25431247;0;1;1
70847;16515997;0;1;0
71546;25208851;0;1;1
73655;4464641;0;1;0
73926;13317438;0;1;0
73926;25539004;0;1;0
74005;6266700;0;1;1
74364;25019392;0;1;0
74781;22001278;0;1;0
75934;17833241;0;1;0
77705;2351580;0;1;1
77706;25180060;0;1;0
78387;2728252;0;1;0
78907;26089763;0;1;1
78911;18255423;0;1;0
78911;25208241;0;1;1
80160;7115312;0;1;1
80498;25292148;0;1;0
80517;20362355;0;1;0
80648;12369382;0;1;1
80648;25564540;0;1;1
80713;26289814;0;1;1
81363;26296284;0;1;0
82704;25358700;0;1;1
83101;9337968;0;1;0
83120;8560658;0;1;1
83292;26196606;0;1;0
83691;25166668;0;1;0
84205;1196733;0;1;0
84235;25733582;0;1;0
84250;9080103;0;1;1
84444;26000362;0;1;0
85538;3291065;1;1;1
85717;12276542;0;1;0
85828;25663900;0;1;0
85828;25684190;0;1;0
86308;25164528;0;1;1
86330;17654951;0;1;1
86459;14607814;0;1;0
86459;26044670;0;1;0
86765;6566319;0;1;0
86991;25410810;0;1;0
87045;1374083;0;1;1
87045;25337120;0;1;0
87126;25409165;0;1;1
87209;24850920;0;1;0
87811;26044934;0;1;0
87945;25733354;0;1;0
89063;7830344;0;1;0
90693;3109966;0;1;1
91473;15722205;0;1;1
91525;1461879;0;1;1
92004;3146827;0;1;0
92341;8173398;0;1;1
92341;21572490;0;1;0
94119;16261937;0;1;1
94469;13457768;0;1;1
95257;25166949;0;1;1
95799;4931953;0;1;1
96423;10264353;0;1;1
97068;3475073;0;1;0
97689;802191;0;1;1
98463;25232982;0;1;1
98706;25998323;0;1;1
99077;25905230;0;1;1
99211;1349574;0;1;1
99211;23673271;0;1;1
99963;9076123;0;1;1
100737;22699364;0;1;1
101025;26120542;0;1;1
102664;8860742;0;1;1
102664;16743330;0;1;1
102733;4617740;0;1;0
102912;26301695;0;1;0
102988;25841003;0;1;1
103185;6479751;0;1;0
103695;9558759;0;1;1
103803;9616345;1;1;1
104120;8908634;1;1;1
104890;12389566;1;1;1
104971;5700400;0;1;1
104971;12441373;0;1;1
105727;20884420;0;1;0
105799;9470248;0;1;1
106873;25894523;0;1;0
108604;19144727;0;1;1
108604;25235215;0;1;1
109372;14171205;0;1;1
109372;16326468;0;1;1
109382;3621520;0;1;1
109816;25898489;0;1;1
109816;26186926;0;1;0
109927;7352774;0;1;1
109933;25351088;0;1;0
111535;25699133;0;1;0
111886;5923552;0;1;0
111886;5984565;0;1;0
112952;24647737;0;1;0
113343;19587481;0;1;0
113343;25281612;0;1;0
114403;23367941;0;1;1
114594;25876308;0;1;0
114687;25421470;0;1;1
115527;4703515;0;1;1
115557;24604139;0;1;0
116508;25716796;0;1;0
116509;16143926;0;1;1
116667;15113665;0;1;0
117737;4115217;0;1;1
118030;3361693;0;1;0
118030;9194753;0;1;0
118230;8664047;1;1;1
118366;16259120;0;1;1
119082;6117473;0;1;1
119424;22091108;0;1;1
119648;25289464;0;1;0
120172;13925996;0;1;0
120449;4762366;0;1;0
120571;21972190;0;1;1
120667;25537419;0;1;1
120811;25181247;0;1;1
121115;2934638;0;1;0
122778;25170643;0;1;0
123012;16811852;0;1;1
123091;235457;0;1;1
123658;13385588;0;1;0
123658;25570580;0;1;0
123702;24806526;0;1;0
124341;7225567;0;1;0
124341;17727047;0;1;0
124500;12963538;0;1;1
124683;26028585;0;1;1
124843;25416877;0;1;1
125295;20119015;0;1;1
125484;26286406;0;1;0
125643;7904273;0;1;1
125865;3102816;0;1;1
125878;17503897;0;1;1
125909;14352485;0;1;1
125992;20290247;0;1;0
126118;8604406;1;1;1
126340;8929669;1;1;0
127433;19940072;0;1;0
128314;6820343;0;1;1
128415;26279757;0;1;1
129103;1098210;0;1;0
129653;5045325;0;1;1
129989;25539096;0;1;0
130389;3678749;0;1;0
131467;12605217;0;1;0
132350;9140727;0;1;1
132749;25372182;0;1;0
133098;26080706;0;1;1
133599;20000141;0;1;0
133599;26144737;0;1;0
133770;14554274;0;1;1
134721;25415224;0;1;0
135464;26276098;0;1;0
135804;280317;0;1;1
136634;7912674;0;1;0
137579;18677218;0;1;1
137652;19680041;0;1;0
137652;25133424;0;1;0
137652;25526532;0;1;1
137914;17245251;0;1;0
137914;17453336;0;1;1
138720;25528223;0;1;1
138891;1759459;0;1;0
139171;7651343;0;1;1
139808;25690459;0;1;0
140086;9132301;0;1;1
140201;15082373;0;1;1
140533;213512;0;1;0
141620;16464744;0;1;1
141715;7983481;0;1;1
142676;9233072;0;1;0
142676;12734724;0;1;0
142676;17502302;0;1;1
143970;25264317;0;1;0
144038;1746290;1;1;0
144367;560517;0;1;0
144367;11767057;0;1;0
145248;5458132;0;1;0
145248;25349199;0;1;1
145392;25683142;0;1;0
145440;16331444;1;1;1
146942;5025979;0;1;0
146942;25729533;0;1;1
147215;22566632;0;1;0
147218;3940882;0;1;1
147653;18883858;0;1;1
147653;25539395;0;1;0
148452;21806675;0;1;1
148575;26296616;0;1;1
148897;21180252;0;1;0
148897;25692677;0;1;0
149312;2284369;0;1;1
149685;17593849;0;1;1
149974;26302721;0;1;1
150204;25696615;0;1;1
150509;24172523;0;1;0
150547;13309994;0;1;0
151314;25727016;0;1;0
