mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
678;13559;111000000133
1133;9473;311000000132
2760;25369;211000000132
3667;4173;111000000132
3728;6119;131000000133
4205;220;131000000133
4311;6086;511000000133
4493;9867;351053014133
5834;14778;231000000133
6175;25084;111000000131
6841;8931;111000000112
7752;4977;131000000133
8140;10749;351053014133
8920;4736;111000000132
9245;10019;711000000131
9397;22544;131000000133
10913;8436;211000000133
11191;20164;711000000133
13446;25091;211000000131
13541;7644;511000000133
14028;11716;511000000133
14469;3544;511000000133
15738;1967;111000000132
15874;10571;111000000131
16333;26405;131000000133
16967;9172;111000000131
17638;11248;131000000133
17818;269;111000000133
18556;218;131000000133
19074;24864;331000000133
20393; ; 
20849;3057;111000000133
21745;4897;131000000133
22139;448;131000000133
23277;10474;611000000233
23838;22499;231000000133
24799;8592;111000000111
25650;16793;131000000133
26769;22552;511000000133
26883;25644;111000000131
27111;10588;611000000133
29069;14387;311000000133
29342;9487;131000000121
29748;18251;331000000133
31468;8942;111000000131
32740;9317;111000000123
33608;8546;111000000133
34734;7377;511000000133
34920;4646;431000000133
35869;24878;811000000133
38035;26503;611000000133
39328;16749;111000000132
39487;10401;411000000133
39758;343;311000000132
39921;9312;231000000133
40059;10250;211000000133
40429;10564;111000000112
40570;17908;451052013133
40916;4553;131000000111
41009;9882;111000000133
41705;2839;311000000133
41801;25389;231000000133
42068;25386;131000000133
42210;31219;211000000233
43986;25770;331000000123
44270;10152;711000000131
45042;8349;311000000133
45386;12602;511000000133
46068;1312;311000000133
46128;1534;111000000133
47108;2134;131000000133
47177;578;711000000133
47192;4744;211000000132
47878;578;131000000133
48259;9867;231000000133
49495;9982;341041002133
50880;2997;131000000133
51162;1593;711000000133
51173;2206;111000000133
51609;8491;131000000122
52814;7329;331000000133
52819;7102;131000000133
52851;12005;351053014133
53034;24204;131000000133
54792;124;131000000133
55151;8546;411000000133
55283;10453;131000000133
55423;8497;611000000133
56030;8501;131000000133
57964;10737;111000000133
59598;2121;111000000112
59810;1194;711000000133
59819;9862;131000000133
61009;5680;711000000133
61336;10588;111000000133
61363;4287;371072007133
61776;4616;131000000133
62822;5654;211000000133
63149;294;111000000133
64180;10255;131000000133
64193;22752;261061001133
64435;8499;711000000123
65066;527;411000000133
66585;22014;111000000133
68020; ; 
69093;9866;131000000131
69094;9781;131000000133
69123;9872;411000000133
69368;14643;501000000133
69671;7970;111000000133
69881;24426;211000000131
70475;8615;711000000113
70513;125;511000000133
70669;7334;211000000131
71422;373;431000000133
72002;2163;131000000131
72101;4633;211000000132
73926;9688;131000000133
74584;5992;131000000133
74643;7343;111000000131
75975;10573;131000000133
76051;12594;211000000133
76977; ; 
77433;14210;211000000133
77705;3003;131000000131
78110;10546;411000000112
78369;1367;111000000133
78425;10968;131000000133
78907;6691;711000000133
82066;24714;231000000133
82690;1450;131000000133
82704;25196;111000000133
82938;25550;131000000133
83731;2237;611000000133
84444;25201;211000000132
85262;232;111000000133
85717;24978;131000000133
87880;5016;411000000133
89289;3541;111000000133
90221;14494;211000000132
90453;26015;211000000133
91025;10715;811000000133
91239;13580;611000000133
92436;12113;111000000133
93974;22688;511000000133
94119;7627;711000000123
94150;11111;711000000133
94581;10715;711000000133
94730;292;511000000133
94909;6027;311000000133
95099;24622;111000000132
96161;20426;111000000132
97735;2551;131000000131
97973;24978;131000000133
98013;25258;131000000133
98500;14659;711000000133
98683;25464;431000000133
98877;9206;411000000133
99910;9959;231000000133
100604;2934;341041005133
101057;8485;711000000122
101064;9512;411000000131
