mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
78425;9;0;0;0;-23,573628;-70,373413
78907;7;0;1;1;-38,7445037;-72,9542003
82066;10;0;1;0;-33,5594724;-70,635635
82690;9;1;0;0;-32,7983594;-71,1454578
82704;1;1;0;0;-33,5361153;-70,5416672
82938;9;1;1;0;-33,4864843;-70,7625702
83731;6;1;1;0;-33,6646376;-70,9128853
84444;2;1;1;0;-33,6211992;-70,5969012
85262;1;0;1;0;-22,4408447;-68,9309771
85717;9;0;1;0;-33,6135762;-70,581552
87880;4;0;1;0;-36,9883891;-73,1534225
89289;1;0;1;0;-35,9467632;-72,3495736
90221;2;0;0;0;-33,0256394;-71,5441807
90453;2;1;0;0;-33,7299839;-70,7398818
91025;8;1;1;0;-33,4357085;-70,7619743
91239;6;0;1;0;-29,9477112;-71,1066351
92436;1;1;1;0;-33,4059888;-70,7372479
93974;5;0;1;0;-41,4723614;-72,9369074
94119;7;0;0;0;-41,4710198;-72,9276702
94150;7;1;1;0;-30,8333922;-71,2533682
94581;7;1;1;0;-33,4252578;-70,7388194
94730;5;1;0;0;-23,6252254;-70,3870711
94909;3;0;1;0;-39,3587528;-71,5858837
95099;1;0;0;0;-33,4459122;-70,6772213
96161;1;1;1;0;-33,2835357;-70,8780526
97735;9;0;0;0;-34,6380274;-71,3644969
97973;9;1;1;0;-33,6306796;-70,6260259
98013;9;1;1;0;-33,4627155;-70,7544608
98500;7;1;1;0;-30,58967;-71,1896248
98683;12;0;0;0;-33,5493969;-70,6666878
98877;4;1;0;1;-33,4534554;-70,5799961
99910;10;0;1;0;-33,5139944;-70,797341
100604;11;0;0;0;-35,4270491;-71,6656134
101057;7;0;0;0;-33,46396;-70,701286
101064;4;0;1;0;-33,4792737;-70,6735465
101176;1;1;0;0;-33,5774634;-70,6903506
101213;1;0;1;0;-35,6958428;-71,4041001
101435;5;1;0;0;-33,5215669;-70,6966826
101454;2;1;1;0;-36,9484194;-73,02282
102133;9;1;1;1;-33,576869;-70,8230944
102246;3;0;1;1;-33,5095765;-70,6425952
102315;1;0;0;0;-40,5880173;-73,1215845
102501;6;0;0;0;-29,9552909;-71,3456636
102513;9;0;1;0;-35,747505;-71,584357
102664;6;1;1;0;-33,0244783;-71,554217
102988;1;0;1;0;-32,7664277;-70,708662
104193;5;0;0;0;-33,2841609;-70,8772621
104287;4;1;0;0;-27,3857723;-70,3023665
104889;9;0;1;1;-33,401768;-70,7466635
105053;9;1;1;0;-29,9605286;-71,3469773
105243;0;1;1;0;-18,4984131;-70,3097868
105263;9;1;0;1;-33,5235696;-70,6397851
105437;5;0;1;1;-33,6099281;-70,5896874
106307;1;1;1;0;-33,4175808;-70,706236
106462;9;1;1;0;-38,7266781;-72,6077438
106504;7;1;1;0;-34,977456;-71,2196178
106617;3;0;0;0;-33,0354846;-71,5712946
107386;9;0;1;1;-33,545738;-70,6314995
107819;6;1;0;0;-33,4529827;-70,6330653
108340;3;0;0;0;-33,5884205;-70,5668938
108466;10;0;1;1;-33,4628495;-70,630653
108748;1;0;1;0;-33,597364;-70,6723752
111563;10;1;1;0;-35,5171911;-71,6901143
111717;9;0;0;0;-23,5700236;-70,3788839
112312;1;0;1;0;-33,4360417;-70,6704603
113082;9;0;0;0;-33,5520559;-70,6666718
113321;1;0;0;0;-23,6034622;-70,3733702
113380;9;1;0;0;-32,8323393;-70,5998146
113848;10;0;0;0;-34,7483147;-71,1893488
115838;9;0;1;1;-33,4844393;-70,5408396
115969;5;0;1;1;-40,5500988;-73,1631194
116006;7;0;0;1;-34,1824224;-70,8327248
116067;11;1;0;1;-33,474509;-70,6953603
116134;0;1;0;0;-33,5953648;-70,5803303
116745;9;1;0;0;-34,8698421;-71,1650214
117257;9;1;0;0;-29,9196361;-71,1661733
117543;5;0;1;1;-36,9430937;-72,5212152
118030;9;0;0;1;-18,4340201;-70,2900324
119203;7;1;1;0;-35,856316;-71,5768139
119586;9;0;0;1;-33,6867157;-71,209872
120571;3;0;1;0;-35,1211724;-71,288372
120668;1;1;0;0;-33,8610231;-70,7202889
120684;2;0;0;0;-33,5138333;-70,7837885
120729;8;0;0;0;-33,4536882;-70,5803729
121100;0;1;1;0;-33,5494142;-70,7948882
121522;6;1;0;0;-32,7396295;-70,7250726
122066;9;1;1;0;-33,465541;-70,7410099
122549;9;0;1;1;-34,8664094;-71,1592143
122586;9;1;1;0;-36,9249444;-73,0340232
124500;4;0;0;0;-29,9760609;-71,3074836
124612;4;0;1;0;-38,953523;-72,6290269
125004;1;0;1;0;-23,658082;-70,3890951
125643;6;0;0;0;-33,5480873;-70,7769028
126341;1;0;1;0;-37,4721034;-72,3518023
127225;11;0;0;0;-33,3295985;-70,7493689
127278;8;1;1;1;-33,6113289;-70,5369456
127501;9;1;1;0;-33,5773643;-70,8095618
