mrun;cod_nivel;rbd_admitido;cod_curso_admitido
678;1;13559;111000000133
1133;3;9473;311000000132
2760;2;25369;211000000132
3667;1;4173;111000000132
3728;9;6119;131000000133
4205;9;220;131000000133
4311;5;6086;511000000133
4493;11;9867;351053014133
5834;10;14778;231000000133
6175;1;25084;111000000131
6841;1;8931;111000000112
7752;9;4977;131000000133
8140;11;10749;351053014133
8920;1;4736;111000000132
9245;7;10019;711000000131
9397;9;22544;131000000133
10913;2;8436;211000000133
11191;7;20164;711000000133
13446;2;25091;211000000131
13541;5;7644;511000000133
14028;5;11716;511000000133
14469;5;3544;511000000133
15738;1;1967;111000000132
15874;1;10571;111000000131
16333;9;26405;131000000133
16967;1;9172;111000000131
17638;9;11248;131000000133
17818;1;269;111000000133
18556;9;218;131000000133
19074;11;24864;331000000133
20393;9; ; 
20849;1;3057;111000000133
21745;9;4897;131000000133
22139;9;448;131000000133
23277;6;10474;611000000233
23838;10;22499;231000000133
24799;1;8592;111000000111
25650;9;16793;131000000133
26769;5;22552;511000000133
26883;1;25644;111000000131
27111;6;10588;611000000133
29069;3;14387;311000000133
29342;9;9487;131000000121
29748;11;18251;331000000133
31468;1;8942;111000000131
32740;1;9317;111000000123
33608;1;8546;111000000133
34734;5;7377;511000000133
34920;12;4646;431000000133
35869;8;24878;811000000133
38035;6;26503;611000000133
39328;1;16749;111000000132
39487;4;10401;411000000133
39758;3;343;311000000132
39921;10;9312;231000000133
40059;2;10250;211000000133
40429;1;10564;111000000112
40570;12;17908;451052013133
40916;9;4553;131000000111
41009;1;9882;111000000133
41705;3;2839;311000000133
41801;10;25389;231000000133
42068;9;25386;131000000133
42210;2;31219;211000000233
43986;11;25770;331000000123
44270;7;10152;711000000131
45042;3;8349;311000000133
45386;5;12602;511000000133
46068;3;1312;311000000133
46128;1;1534;111000000133
47108;9;2134;131000000133
47177;7;578;711000000133
47192;2;4744;211000000132
47878;9;578;131000000133
48259;10;9867;231000000133
49495;11;9982;341041002133
50880;9;2997;131000000133
51162;7;1593;711000000133
51173;1;2206;111000000133
51609;9;8491;131000000122
52814;11;7329;331000000133
52819;9;7102;131000000133
52851;11;12005;351053014133
53034;9;24204;131000000133
54792;9;124;131000000133
55151;4;8546;411000000133
55283;9;10453;131000000133
55423;6;8497;611000000133
56030;9;8501;131000000133
57964;1;10737;111000000133
59598;1;2121;111000000112
59810;7;1194;711000000133
59819;9;9862;131000000133
61009;7;5680;711000000133
61336;1;10631;111000000133
61363;11;4287;371072007133
61776;9;4616;131000000133
62822;2;5654;211000000133
63149;1;294;111000000133
64180;9;10255;131000000133
64193;10;22752;261061001133
64435;7;8499;711000000123
65066;4;527;411000000133
66585;1;22014;111000000133
68020;1; ; 
69093;9;9866;131000000131
69094;9;9781;131000000133
69123;4;9872;411000000133
69368;0;14643;501000000133
69671;1;7970;111000000133
69881;2;24426;211000000131
70475;7;8615;711000000113
70513;5;125;511000000133
70669;2;7334;211000000131
71422;12;373;431000000133
72002;9;2163;131000000131
72101;2;4633;211000000132
73926;9;9688;131000000133
74584;9;5992;131000000133
74643;1;7343;111000000131
75975;9;10573;131000000133
76051;2;12594;211000000133
76977;1; ; 
