mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
5894;25309760;0;1;1
6287;18177779;0;1;1
15323;8805403;0;1;1
16890;13716557;0;1;0
18396;1620740;1;1;1
20439;2704151;0;1;1
22356;17472583;1;1;0
32487;2219142;0;1;0
34758;25200789;0;1;1
35921;19836920;0;1;1
38683;4949953;0;1;0
41469;11967372;0;1;0
42004;10088299;1;1;1
46061;20539282;0;1;1
48045;16903668;0;1;0
52925;12796891;0;1;1
57305;22095242;0;1;0
64697;15625157;0;1;1
69910;22161973;0;1;0
70277;10999665;0;1;0
70891;2801882;0;1;1
71022;14492644;0;1;1
74359;25408986;0;1;0
78513;13626572;0;1;0
83054;15158102;0;1;0
86006;25282838;0;1;1
86708;10891762;0;1;0
86708;16354065;0;1;0
93525;375970;0;1;0
93525;23678175;0;1;0
94119;16261937;0;1;1
94254;12600938;0;1;0
96403;6747916;0;1;0
101623;24652436;0;1;0
103436;3080993;0;1;1
103803;9616345;1;1;1
105799;9470248;0;1;0
108181;17310991;0;1;0
109382;3621520;0;1;0
114005;25157563;0;1;1
115977;18956111;0;1;0
116290;1615875;0;1;1
116290;15984002;0;1;0
120894;11916017;0;1;1
124500;12963538;0;1;1
124577;876643;0;1;1
130547;12750062;0;1;0
142676;12734724;0;1;0
144367;560517;0;1;0
144367;11767057;0;1;0
149806;22143884;0;1;1
159734;520774;0;1;1
159981;13428762;0;1;0
163280;295032;0;1;1
167216;1596668;0;1;0
167216;21688667;0;1;0
168977;22796188;0;1;1
169053;22724798;1;1;0
171398;16904094;0;1;0
172233;22697340;0;1;0
172515;3479091;1;1;1
173167;8045614;0;1;1
173167;11510232;0;1;1
178458;25545333;0;1;1
181548;20964311;0;1;0
181907;25156014;0;1;0
182106;11504677;0;1;0
184285;25303451;0;1;1
184403;25442391;0;1;1
188846;2385956;0;1;1
191088;1691672;1;1;1
191444;25206363;0;1;1
191444;25429753;0;1;1
192704;24759618;1;1;1
194312;7287751;0;1;1
194455;5342152;0;1;1
201316;2203456;0;1;0
201505;15532227;0;1;0
207735;12431759;1;1;1
210454;18297715;0;1;0
211900;9251510;0;1;1
212925;26072351;0;1;1
216658;1374726;0;1;1
216658;14191859;0;1;1
216658;14400503;0;1;1
219678;15041742;0;1;1
222866;19838924;0;1;1
233718;16777052;0;1;1
233742;15383614;0;1;0
233742;16549082;0;1;0
244136;12527957;0;1;1
247318;24158902;0;1;0
258600;25432352;0;1;1
260188;7401190;0;1;0
261155;2397848;1;1;1
262639;18466302;0;1;1
267419;16250702;0;1;1
267419;17464286;0;1;1
270147;4231922;0;1;0
270147;10185419;0;1;0
271252;25246650;0;1;0
272212;7568361;0;1;1
273135;9372785;0;1;1
277114;16597952;0;1;0
277708;18693801;0;1;1
285337;15392458;0;1;1
286734;17809861;1;1;1
287615;7570111;0;1;1
292506;21654977;1;1;1
309148;13070398;0;1;1
314101;25391471;0;1;0
316753;17760795;0;1;0
324058;24640661;0;1;1
331721;18944715;0;1;1
336387;239440;0;1;1
341076;8094620;0;1;1
342790;2354353;0;1;1
342790;11850159;0;1;1
342790;12113299;0;1;1
342790;15712522;0;1;1
348371;1353455;0;1;1
352912;19601620;0;1;1
353280;3544903;0;1;1
356226;14310076;0;1;1
360343;22944571;0;1;0
365202;18369021;0;1;0
366151;18420941;0;1;1
366471;11019388;0;1;0
367876;9452854;0;1;1
369393;4169461;0;1;0
373374;10087221;1;1;0
375098;17049501;0;1;0
375970;23678175;0;1;0
377160;3411232;0;1;1
377160;25234298;0;1;0
378174;19952117;0;1;0
378993;10196275;0;1;1
383432;19941095;0;1;0
385662;24945765;0;1;0
386432;19560382;0;1;1
394541;25835246;0;1;1
394839;1870254;0;1;1
424840;13991570;0;1;0
424840;23381179;0;1;0
426109;9951768;0;1;1
431075;7255335;0;1;0
439559;15090825;1;1;1
451979;6498290;0;1;0
463501;9368977;0;1;0
463604;17998120;0;1;0
464999;22536202;1;1;1
466621;10620361;0;1;1
479438;23387538;0;1;0
498552;1528906;0;1;1
510236;20117438;0;1;0
515642;13231878;1;1;1
516161;21435017;0;1;0
520744;8333349;0;1;0
533841;23846576;0;1;1
538880;5395897;0;1;1
539681;9689333;0;1;0
541745;13868785;0;1;1
541745;15701247;0;1;1
548117;13690334;0;1;0
556742;1823242;0;1;0
560517;11767057;0;1;1
561677;18814867;0;1;1
564020;21975900;0;1;1
564292;25332778;0;1;0
565808;25269477;0;1;1
566606;4738272;1;1;1
573401;18377845;0;1;0
577997;25202761;0;1;0
578679;20028402;0;1;0
581406;25236007;0;1;0
581461;5545059;0;1;0
582138;13542895;0;1;0
586248;12870314;1;1;1
598823;9543072;0;1;1
603721;16418468;0;1;1
604491;24103639;0;1;1
610401;25176596;0;1;0
613320;22528894;0;1;1
613477;25416280;0;1;0
614344;14197227;0;1;0
620719;19237351;0;1;1
622085;18812320;0;1;1
626018;23232030;1;1;1
628289;21211846;0;1;0
631745;1328601;1;1;0
632878;15505825;0;1;0
634315;3350129;0;1;0
644622;23172181;0;1;0
655880;12186629;0;1;0
669697;9532323;0;1;1
670598;10893607;0;1;1
682712;25234382;0;1;0
682712;25364256;0;1;0
683564;25425825;0;1;0
689751;3367512;0;1;1
694127;15647059;0;1;1
694652;20125639;0;1;0
696240;12114906;0;1;0
696240;17485704;0;1;0
