mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
492;11941541;0;1;0
842;10946164;0;1;0
1048;10469799;0;1;0
2056;8630748;0;1;0
3393;23733145;0;1;1
3913;15071513;0;1;1
4217;25430693;0;1;0
5104;25272591;0;1;1
5144;19441904;0;1;1
5397;25328925;0;1;1
6338;13369748;0;1;0
6947;742237;0;1;0
7793;25191357;0;1;0
7821;25446503;0;1;0
9522;5839178;0;1;1
9522;17385778;0;1;1
9958;20858257;0;1;1
9958;23453379;0;1;0
10175;24566459;0;1;1
10371;3801890;0;1;0
10523;20352409;0;1;0
10541;25327933;0;1;0
10866;14401491;0;1;0
10866;17023940;0;1;1
11125;10664899;0;1;0
11848;19597967;0;1;0
11949;25161806;0;1;0
12047;7774094;0;1;1
12660;25438628;0;1;1
12833;8610169;1;1;0
13070;25375776;0;1;0
13079;20620167;0;1;1
13358;4353915;0;1;0
13358;24548295;0;1;0
13446;25166778;0;1;0
14001;15392816;0;1;0
14468;10389044;0;1;1
14732;25312539;0;1;0
14732;25440508;0;1;1
14788;23580939;0;1;1
15549;989176;0;1;0
16560;20210288;1;1;1
17199;25353962;0;1;0
17564;25254443;0;1;0
17723;9045987;0;1;1
18396;1620740;1;1;1
19147;25399554;0;1;0
19599;25269580;0;1;1
19715;10011588;0;1;1
21313;16123405;0;1;1
21688;15803561;0;1;0
22222;3578261;0;1;0
22356;17472583;1;1;0
23146;14547794;0;1;1
24338;23501285;0;1;1
24859;23425427;0;1;0
25364;9848876;0;1;1
25642;492092;0;1;0
25642;4902227;0;1;0
25642;13225821;0;1;0
25750;24398093;0;1;1
26646;25036377;0;1;1
27902;10627225;0;1;1
29096;6078490;0;1;0
29710;17153854;0;1;1
29748;13553007;0;1;0
30323;22403800;0;1;0
30628;18212639;0;1;1
31041;17711601;0;1;0
33036;25281864;0;1;0
33646;25305610;0;1;1
34402;14078960;0;1;1
34490;25290919;0;1;1
35122;15483332;0;1;1
35391;9288443;0;1;0
35489;14124545;1;1;1
35489;25335674;0;1;1
37543;1081723;0;1;1
38182;21993254;0;1;0
38198;25158665;0;1;1
38994;7642228;0;1;0
38995;24996189;0;1;0
39480;22343600;0;1;1
39736;25210476;0;1;0
39876;1613839;0;1;0
40198;9656453;0;1;1
41034;13190595;1;1;1
41331;15509018;0;1;0
41453;9377377;0;1;0
41570;25265481;0;1;1
42004;10088299;1;1;1
42953;21581427;0;1;0
44561;5588213;0;1;1
45008;13794254;0;1;1
45434;8837600;0;1;0
45683;16343997;0;1;1
46340;20146524;0;1;0
47295;5684215;0;1;1
48360;7958572;1;1;1
49064;25260246;0;1;0
49508;8683586;0;1;1
49552;14132567;0;1;1
50031;1077556;0;1;1
50190;21891752;0;1;1
50564;5796566;1;1;1
50736;10910739;0;1;0
50736;25384743;0;1;0
51879;14530918;0;1;1
52259;23537509;0;1;0
53962;10531675;0;1;1
53962;24242141;0;1;1
54224;12676248;0;1;0
55284;24163088;0;1;1
55925;25193643;0;1;0
56461;5770576;0;1;0
56461;8423286;0;1;0
56461;17479519;0;1;0
56511;21672007;0;1;0
57305;22095242;0;1;0
57657;8388104;1;1;1
57731;1332641;0;1;0
57808;4631919;0;1;0
58593;17343825;0;1;0
59286;25280696;0;1;0
60595;7873803;0;1;1
60918;20357761;0;1;1
60954;25382923;0;1;0
61010;25160107;0;1;0
61853;21622087;0;1;1
62155;25215502;0;1;0
63171;10974090;1;1;1
63984;8137015;0;1;0
64274;4273734;1;1;1
64290;25369800;0;1;1
64394;16086598;1;1;1
64607;6644217;0;1;0
65350;11098559;0;1;0
65350;24987710;0;1;0
65785;18859728;0;1;0
66321;2056878;0;1;1
66927;13547595;0;1;0
66927;25153750;0;1;0
66927;25154041;0;1;0
67817;13263715;0;1;1
68481;12627342;0;1;1
68696;23670104;0;1;1
68938;6740880;0;1;1
69281;8024079;0;1;1
69679;18328822;0;1;1
69904;11720153;0;1;0
70277;10999665;0;1;0
70277;21198903;0;1;0
70412;25166389;0;1;0
70845;25431247;0;1;1
71832;25396667;0;1;1
71949;3750376;0;1;0
72001;25444901;0;1;0
72726;8974566;0;1;0
73764;25316690;0;1;0
74359;25408986;0;1;0
74745;7316922;0;1;0
74781;22001278;0;1;1
74837;25393116;0;1;0
74939;25335262;0;1;1
75388;25393179;0;1;1
75544;2575493;0;1;0
75587;4138226;0;1;0
75587;21998925;0;1;0
76461;25391339;0;1;1
77165;1116856;1;1;1
77437;25196166;0;1;1
77705;2351580;0;1;1
78035;12890101;0;1;1
78387;2728252;0;1;0
79099;17183247;0;1;0
79828;17277832;0;1;0
80498;25292148;0;1;1
81276;4643149;0;1;0
81320;25341382;0;1;0
81817;2654490;0;1;1
81831;24541407;0;1;1
82600;6950425;0;1;1
82880;13491064;0;1;1
83026;12356371;0;1;0
84286;3933983;0;1;0
84286;20097576;0;1;0
85019;16120190;0;1;0
85019;18375924;0;1;1
85538;3291065;1;1;1
85912;7841238;0;1;1
86293;25159756;0;1;0
86612;3190694;1;1;1
87721;25190001;0;1;1
89706;8464050;0;1;1
89719;19214430;0;1;1
90114;22758907;0;1;1
90418;25228242;0;1;0
90696;761448;0;1;1
91556;14338492;0;1;0
91556;25434793;0;1;0
91712;25442277;0;1;1
93664;26080960;0;1;1
94707;12226190;1;1;0
94707;20383242;0;1;0
95799;4931953;0;1;1
95799;17845581;0;1;0
96892;7721410;0;1;0
97068;3475073;0;1;1
98010;25181990;0;1;0
98171;14180930;0;1;1
98455;14404896;0;1;1
98463;25232982;0;1;0
99256;4038378;0;1;0
99963;9076123;0;1;1
100777;10911760;0;1;1
100887;3423254;0;1;0
100887;25446290;0;1;0
101737;22801419;0;1;1
102226;25279921;0;1;0
102299;25357296;0;1;0
102359;2341549;0;1;1
102514;14352503;1;1;0
103436;3080993;0;1;1
103436;25427669;0;1;1
103644;11674168;0;1;1
103644;15138462;0;1;1
103695;9558759;0;1;1
103803;9616345;1;1;1
104204;11987458;0;1;0
104450;11981504;0;1;0
105799;9470248;0;1;1
105845;20870489;0;1;0
106586;6946352;0;1;1
107453;2375821;0;1;0
108181;17310991;0;1;1
109008;2731575;0;1;1
109304;12328903;0;1;1
109903;200416;0;1;0
111059;23013005;0;1;0
111094;17099943;1;1;0
111563;16953019;0;1;0
111886;5984565;0;1;0
112211;25177270;0;1;0
112211;25214779;0;1;0
112795;25272396;0;1;0
113343;25281612;0;1;0
113762;7871787;0;1;0
113762;20185245;0;1;0
114093;24459965;0;1;1
114403;23367941;0;1;1
114687;25421470;0;1;1
114973;25171469;0;1;1
115243;1826872;0;1;1
115452;14625734;0;1;0
115788;25199800;0;1;1
115977;18956111;0;1;1
116301;6978888;0;1;0
116301;23163347;0;1;1
116375;21957295;0;1;0
117946;19345323;1;1;0
118030;3361693;0;1;1
118030;9194753;0;1;1
118079;16625222;1;1;0
118079;25310408;0;1;1
119070;14336471;0;1;1
119203;19004542;0;1;1
120571;21972190;0;1;1
120782;8997687;1;1;1
121382;5337525;0;1;1
121597;6431023;0;1;1
121597;25433694;0;1;0
121636;15789525;0;1;0
121636;25367459;0;1;0
122421;25433815;0;1;1
122778;25170643;0;1;0
122864;25237358;0;1;0
122944;25322712;0;1;1
123239;20273165;0;1;1
123702;13528743;0;1;0
123962;5496404;0;1;0
124341;7225567;0;1;0
124341;17727047;0;1;0
124500;12963538;0;1;1
124552;25321066;0;1;0
124584;21510587;0;1;1
124843;25416877;0;1;0
125837;25141326;0;1;0
126069;16512814;1;1;0
128453;13979541;0;1;0
128653;3376600;0;1;1
128716;19517842;0;1;1
128955;6987639;0;1;0
129047;6815802;0;1;0
129653;5045325;0;1;1
130991;6771873;0;1;1
130991;9607102;0;1;1
131073;1333605;0;1;0
131361;25159597;0;1;0
131398;21291345;1;1;1
131402;15410963;0;1;1
131635;17654524;0;1;1
133028;25177178;0;1;0
133058;15913337;0;1;1
133556;6080524;0;1;1
133556;25294190;0;1;1
133599;20000141;0;1;1
133600;461925;0;1;0
133872;9213792;1;1;1
134206;8006732;0;1;1
134845;16292920;0;1;0
136292;24867347;0;1;1
136348;2272983;1;1;1
137184;17943027;0;1;1
137184;25312726;0;1;1
137218;21377235;0;1;1
137303;25330045;0;1;0
137619;25296756;0;1;0
137914;17245251;0;1;1
137914;17453336;0;1;1
138585;18873565;0;1;0
138751;513890;0;1;1
138799;25179717;0;1;0
138887;5475547;0;1;1
139418;20888821;0;1;1
139462;5909189;0;1;0
140525;17437570;0;1;1
140750;24589014;0;1;0
141351;12212616;0;1;0
141541;18233688;0;1;1
141638;21952945;1;1;0
141667;9937681;1;1;1
142346;25397267;0;1;0
142676;12734724;0;1;0
143222;15139616;0;1;0
143266;21935918;0;1;1
144024;12378950;0;1;1
144200;25294164;0;1;1
144267;25319699;0;1;0
144445;5950228;0;1;0
144541;11321272;0;1;0
145392;18201976;1;1;1
145636;12925657;0;1;1
145749;25400913;0;1;0
147214;2674924;0;1;1
148471;2795321;0;1;1
150547;3437818;0;1;0
151448;14931116;0;1;1
151448;16690404;0;1;1
151746;6254243;0;1;0
152308;1195952;0;1;1
152308;17243282;0;1;1
152331;25234537;0;1;1
152682;22394760;0;1;0
152724;15216773;0;1;1
152983;16047238;0;1;1
153069;14747670;0;1;0
153366;25414623;0;1;0
154266;11601281;0;1;1
155197;7491062;0;1;1
155467;25339203;0;1;1
155555;5101224;0;1;0
155610;10000874;0;1;1
156218;20865871;0;1;0
156218;24808512;0;1;0
158415;25427821;0;1;1
158740;23281847;0;1;0
158865;49628;0;1;1
159981;13428762;0;1;1
161375;17550521;0;1;1
161576;25598029;0;1;1
161996;6435875;0;1;1
162636;4950753;0;1;0
162946;21307413;0;1;1
163166;9184932;0;1;0
163246;25447192;0;1;0
163821;25402745;0;1;0
