mrun;cod_nivel;rbd_admitido;cod_curso_admitido
360;-1;11818;401000000131
1828;1;2091;111000000133
2435;1;2944;111000000111
2895;9;12632;131000000133
3141;5;1709;511000000133
3502;6;17607;611000000133
3572;1;2116;111000000131
3986;1;232;111000000133
4807;0;40257;501000000131
5564;0;24684;501000000131
5894;0;4564;501000000132
6240;10;12309;231000000133
6287;6;22086;611000000133
6634;8;4982;811000000131
6724;1;12323;111000000133
7001;-1;10001;401000000131
7238;0;9638;501000000131
7838;9;10541;131000000131
9245;7;10019;711000000131
9417;1;10090;111000000133
9844;7;8930;711000000112
10059;1;4452;111000000133
10194;1;25462;111000000132
10371;9;1520;131000000133
10396;1;305;111000000132
10840;0;10881;501000000132
11319;9;15840;131000000133
11636;3;13539;311000000133
12563;0;10455;501000000133
12706;9;3940;131000000133
12951;9;518;131000000113
12989;9;9008;131000000133
13207;0;9668;501000000133
13219;3;1859;311000000232
14115;0;9288;501000000131
14967;7;2978;711000000133
15118;1;25386;111000000131
15323;5;1853;511000000133
16311;-1;11712;401000000132
16754;11;3248;341041002133
16890;3;2089;311000000133
17254;1;1677;111000000112
17970;11;11265;361061003133
18302;9;2102;131000000113
18396;1;31221;111000000133
18645;9;2102;131000000113
18920;9;2551;131000000131
18923;9;24496;131000000133
19055;-1;6762;401000000113
19686;8;14868;811000000133
20439;9;10911;131000000133
21569;9;40298;131000000133
21949;4;15745;411000000133
22288;1;11342;111000000133
22356;9;10721;131000000133
22707;1;6719;111000000133
22766;5;8256;511000000133
23406;9;578;131000000133
23424;1;31219;111000000233
23744;5;22623;511000000133
23838;9;22553;131000000133
23941;1;9088;111000000133
24010;3;322;311000000133
24036;0;3090;501000000131
25091;6;40298;611000000133
25139;-1;10116;401000000132
25642;9;22543;131000000133
26352;1;9337;111000000132
26512;9;20175;131000000133
26883;0;25644;501000000131
28028;1;1855;111000000133
28397;9;218;131000000133
29649;1;7958;111000000133
29961;6;1191;611000000133
30290;0;25162;501000000131
30856;0;10200;501000000111
31629;-1;25927;401000000132
32111;1;24302;111000000131
32292;9;10419;131000000133
32487;11;1502;341041005133
32488;11;3359;331000000133
32887;7;2553;711000000133
33036;1;3481;111000000133
33200;12;5662;431000000131
33569;0;7644;501000000131
34069;9;9407;131000000133
34699;9;10542;131000000133
34758;1;9892;111000000132
34891;-1;11594;401000000133
35921;7;25674;711000000131
36350;1;2121;111000000112
37028;0;10100;501000000131
37165;5;40399;511000000133
37245;1;14896;111000000131
37385;2;11;211000000133
37689;9;420;131000000133
38255;10;12649;231000000133
38278;0;15501;501000000132
38683;8;2840;811000000133
39341;10;6643;231000000133
39652;1;228;111000000133
39680;9; ; 
40100;0;7352;501000000133
40122;9;3003;131000000131
40325;11;220;351054018133
40792;9;5394;131000000133
41061;6;14587;611000000133
41391;1;8514;111000000111
41469;11;1502;361063009133
42004;6;2087;611000000133
42496;1;2167;111000000132
42524;9;7626;131000000133
42597;9;9150;131000000133
42657;0;9647;501000000131
42713;7;9736;711000000133
42737;6;4648;611000000131
42953;4;14622;411000000132
43119;9;2939;131000000133
44174;1;17793;111000000133
45517;9;25196;131000000133
45961;3;14673;311000000133
46061;3;17915;311000000133
46794;7;9165;711000000133
46841;-1;3258;401000000132
46969;9;8657;131000000133
47138;7;5878;711000000133
47177;6;13474;611000000133
47205;5;4953;511000000131
47399;-1;4724;401000000112
47416;9;16932;131000000133
47417;9;10830;131000000113
47540;7;12115;711000000133
48045;4;16569;411000000131
48228;9;2938;131000000133
48819;5;2293;511000000133
49130;9;2055;131000000132
50310;0;10546;501000000112
50354;1;13396;111000000131
50439;1;25544;111000000133
51117;8;255;811000000133
51323;9;1663;131000000131
51502;1;6886;111000000133
51935;0;5796;501000000131
52925;4;5132;411000000133
53362;1;12602;111000000133
53511;-1;25157;401000000133
54302;6;13486;611000000133
54624;11;11209;331000000133
54663;8;22544;811000000133
54914;7;22086;711000000133
55278;9;7626;131000000133
55925;1;40257;111000000131
56296;0;4724;501000000111
56437;9;2285;131000000133
56988;5;18049;511000000133
57172;7;5425;711000000133
57305;11;1681;361064008113
57315;6;40395;611000000133
57830;1;7942;111000000131
58638;9;9106;131000000133
58692;1;24685;111000000133
59701;7;15646;711000000133
59767;4;4898;411000000133
60575;7;5106;711000000133
61890;4;15502;411000000131
62048;0;26411;501000000131
62821;1;9928;111000000132
63004;9;97;131000000133
63148;0;6031;501000000131
63279;0;25;501000000133
63343;9;7505;131000000133
64697;8;17860;811000000131
66007;1;7976;111000000133
66584;0;5698;501000000131
66603;9;2896;131000000133
67635;4;5614;411000000133
68665;9;10845;131000000133
69241;0;11837;501000000131
69282;0;2997;501000000131
69344;9;12192;131000000133
69640;1;5286;111000000131
69910;6;7975;611000000133
70097;1;16756;111000000133
70277;9;24444;131000000131
70891;8;629;811000000133
71022;7;9817;711000000133
71119;10;16985;231000000133
71158;1;12655;111000000133
72003;6;13539;611000000133
73608;9;22516;131000000133
74182;1;464;111000000133
74359;9;25258;131000000133
74393;5;20424;511000000133
74657;9;25085;131000000133
74939;0;5001;501000000133
75980;7;8491;711000000122
76032;0;10259;501000000131
76207;1;12655;111000000133
77127;10;6751;231000000133
77130;9;10432;131000000131
77297;8;16843;811000000133
77516;1;2116;111000000131
78218;-1;6762;401000000113
78387;9;8811;131000000131
78513;10;40042;231000000133
78831;6;1168;611000000133
79015;7;7338;711000000131
79120;0;10405;501000000131
79733;6;4807;611000000131
80468;9;10399;131000000131
80999;4;2114;411000000113
81392;3;4173;311000000132
81651;9;7;131000000133
82449;0;2124;501000000131
82467;9;25853;131000000133
83054;10;15775;231000000113
83245;0;17733;501000000131
83824;1; ; 
83878;9;3387;131000000133
84444;1;16795;111000000132
85026;7;10262;711000000133
85960;5;527;511000000133
86006;10;24203;231000000133
86212;7;10576;711000000131
86464;3;4103;311000000133
86708;9;4288;131000000133
86932;8;1675;811000000133
87317;0; ; 
87658;0;25423;501000000131
88130;1;13396;111000000131
88153;9; ; 
88380;6;227;611000000133
89020;9;25615;131000000133
89296;-1;10721;401000000231
89363;10;5439;231000000133
89403;9;10052;131000000131
89449;8;297;811000000131
90419;9;211;131000000133
90830;7;13576;711000000133
90921;-1;5675;401000000133
91239;5;527;511000000133
91556;9;15745;131000000133
92593;9;9375;131000000233
92991;2;3662;211000000133
93148;9;15720;131000000133
93525;8;18090;811000000133
93923;9;629;131000000133
94119;6;7651;611000000133
94254;8;16459;811000000133
94555;0;2174;501000000132
94685;0;12255;501000000131
95034;2;5001;211000000133
95307;-1;5284;401000000133
95348;0;9098;501000000133
95434;1;1677;111000000112
95664;9;24935;131000000133
95716;10;40194;231000000131
95965;2;11716;211000000133
96094;2;13552;211000000133
96403;9;14400;131000000133
96475;9;13220;131000000131
96971;7;1598;711000000131
97173;7;2284;711000000133
98186;10;448;231000000133
98250;1;131;111000000131
98619;4;5896;411000000133
98647;9;1262;151051005133
99330;11;4951;331000000133
99401;0;5797;501000000131
99460;9; ; 
100065;1;24622;111000000132
100709;1;8439;111000000131
101176;0;25714;501000000131
101623;9;9072;131000000133
101737;9;30003;131000000133
102316;0;10619;501000000131
102596;6;14387;611000000133
103436;6;2412;611000000133
103803;0;13118;501000000131
103941;1;8718;111000000132
105718;9;1013;131000000131
105799;9;4715;131000000133
105870;9;20158;131000000131
106079;8;14210;811000000133
106462;8;5580;811000000133
107149;1;1483;111000000113
107165;4;22372;411000000133
108181;7;13376;711000000133
108601;9;25171;131000000131
108829;0;25225;501000000131
109167;2;12962;211000000131
109382;8;17750;811000000123
109487;1;5569;111000000133
110187;0;11838;501000000131
111331;1;3251;111000000133
111535;1;6644;111000000133
111886;9;9701;131000000133
112316;0;14720;501000000131
112674;6;4531;611000000132
113925;2;1961;211000000133
114005;3;22743;311000000133
114248;9;10573;131000000133
114861;9;9646;131000000131
115204;6;4180;611000000133
115232;1;9036;111000000132
115552;11;253;331000000131
115913;5;4185;511000000133
115977;9;25153;131000000133
116290;12;31106;431000000133
116517;1;12810;111000000133
117257;8;539;811000000133
117321;-1;5408;401000000131
118091;0;318;501000000131
118520;1;20140;111000000132
119083;12;6118;431000000133
119306;1;10832;111000000133
120110;-1;4588;401000000132
120153;0;14641;501000000131
120667;0;11936;501000000131
120775;8;1598;811000000131
120894;7;26164;711000000133
120984;1;9803;111000000132
121414;0;5406;501000000131
122286;9;8811;131000000131
122649;0;3621;501000000132
122967;1;10688;111000000133
124000;11;12747;351054019133
124384;9;15646;131000000133
124500;3;13637;311000000133
124509;9;5267;131000000133
124577;6;382;611000000133
124800;0;721;501000000131
125003;0;12058;501000000133
125523;-1;9311;401000000131
125908;3;4578;311000000133
126070;8;11706;811000000133
126153;1;9618;111000000132
126452;11;4672;341041005133
126593;1;3675;111000000131
127467;0;24878;501000000132
127516;0;26383;501000000133
128068;9;22083;131000000131
128230;10;4287;271072007133
129126;4;18172;411000000133
129532;1;25225;111000000132
129582;0;25157;501000000133
129852;8;15753;811000000133
130107;9;10968;131000000133
130223;9;6230;131000000133
130463;11;1549;331000000133
130547;9;2447;131000000133
131151;11;1263;361064008113
131174;1;24881;111000000132
131361;9;10638;131000000133
131731;7;12694;711000000133
131913;9;8504;131000000111
131916;7;20068;711000000131
131967;1;5668;111000000133
132061;0;11405;501000000133
132144;1;6691;111000000133
132226;3;14213;311000000132
132279;9;1354;131000000133
132610;7;26424;711000000131
132905;2;13156;211000000133
133028;9;7626;131000000133
133058;5;303;511000000131
133516;6;2859;611000000133
133781;-1;15750;401000000132
135228;9;2938;131000000133
136112;8;4736;811000000131
136830;3;18050;311000000133
136864;0; ; 
136994;1;7338;111000000132
137756;9;11217;131000000131
138054;9;19974;131000000133
138201;1;6336;111000000131
138751;9;4715;131000000133
138887;9;11265;131000000133
138964;2;40193;211000000131
139462;11;2938;341041005133
141350;9;1262;151051005133
141541;9;16642;131000000133
141542;9;10501;131000000133
141908;0;1598;501000000232
142043;9;10854;131000000133
142676;9;8;131000000133
143062;1;229;111000000133
143205;5;14373;511000000133
143250;1;6780;111000000133
143939;1;24622;111000000131
144228;1;10641;111000000133
144367;10;12855;231000000133
145440;1;9185;111000000122
145636;12;2165;431000000133
145739;2;22366;211000000133
146002;11;8454;351058035123
146250;0;12711;501000000133
146680;10;4706;231000000133
146747;10;772;271072007133
146977;-1;18218;401000000133
147042;1;15731;111000000133
147561;1;14373;111000000131
148039;1;2066;111000000133
148374;0;5406;501000000131
148724;0;7231;501000000133
148848;1;2249;111000000133
148872;8;5122;811000000133
149160;9; ; 
149631;0;2457;501000000131
149806;5;22283;511000000131
150441;11;12547;331000000133
151144;8;40343;811000000133
152119;0;9533;501000000132
152404;1;2121;111000000112
153001;0;11931;501000000132
153773;9;26168;131000000133
154193;9;10638;131000000133
154329;7;9859;711000000131
154433;3;16843;311000000133
154657;7;25615;711000000133
154738;8;22009;811000000131
155679;0;1257;501000000131
156085;3;522;311000000113
156736;7;10665;711000000133
157310;4;5654;411000000133
157384;0;18147;501000000132
157767;1;9416;111000000131
157910;9;14677;131000000133
159135;9;2111;131000000133
159342;2;19983;211000000133
159734;7;14870;711000000133
159981;8;107;811000000131
160515;1;316;111000000133
160619;9;9472;131000000133
161398;4;2741;411000000123
161710;9;9111;131000000133
162297;10;2153;231000000131
163060;0;9803;501000000132
163101;0; ; 
163166;9;9781;131000000133
163280;4;616;411000000133
164834;0;16446;501000000133
165590;0;11909;501000000132
167216;11;31110;331000000133
168477;1;4774;111000000132
168481;0;2160;501000000133
168760;1;3176;111000000133
168878;0;297;501000000131
168939;7;372;711000000133
