mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
360;-1;1;1;0;-33,5706185;-70,6741921
1828;1;1;1;0;-33,6324879;-71,6111681
2435;1;1;1;0;-35,4047603;-71,6566248
2895;9;0;1;0;-20,2754997;-70,0778544
3141;5;0;0;0;-33,0262272;-71,5287263
3502;6;0;0;0;-36,8581415;-73,1379754
3572;1;1;0;0;-34,1588364;-70,7425728
3986;1;1;0;0;-22,455271;-68,9428975
4807;0;0;0;0;-41,4708808;-72,9266013
5564;0;1;1;0;-33,5353469;-70,5558878
5894;0;1;1;0;-36,8422154;-73,1039545
6240;10;1;1;1;-33,4482411;-70,6689849
6287;6;0;1;0;-41,4701841;-72,9366861
6634;8;1;0;0;-36,9816544;-73,1599603
6724;1;0;0;0;-33,0250241;-71,5007857
7001;-1;0;1;0;-33,4368201;-70,6727291
7238;0;1;1;0;-33,5191708;-70,6282868
7838;9;1;1;0;-33,5931632;-70,7035636
9245;7;1;0;0;-33,3972934;-70,8669626
9417;1;0;1;0;-33,4391134;-70,730572
9844;7;1;0;0;-33,4046009;-70,584443
10059;1;0;0;0;-37,4963348;-72,6714745
10194;1;1;1;0;-33,5884195;-70,6278144
10371;9;1;1;0;-33,0439461;-71,620668
10396;1;1;0;0;-23,5624385;-70,3904166
10840;0;1;1;0;-33,5185999;-70,6860654
11319;9;1;0;1;-34,1709092;-70,7423211
11636;3;0;1;0;-29,9777391;-71,3313528
12563;0;0;1;0;-33,6310837;-70,5869091
12706;9;1;1;1;-37,2387842;-71,9387635
12951;9;1;1;0;-27,076741;-70,8147856
12989;9;0;0;0;-33,4250113;-70,580946
13207;0;0;0;0;-33,5590785;-70,6359977
13219;3;0;1;0;-32,7874577;-71,5297624
14115;0;1;0;0;-33,5309289;-70,5549114
14967;7;0;0;0;-35,410817;-71,6225748
15118;1;0;0;0;-33,2828512;-70,8781788
15323;5;1;0;0;-32,7855032;-71,5269257
16311;-1;1;1;0;-37,806201;-73,3933569
16754;11;0;0;0;-35,7472245;-71,5754543
16890;3;0;1;1;-33,3721121;-71,6612268
17254;1;1;0;0;-33,0192874;-71,4999261
17970;11;1;1;0;-34,1745523;-70,7390012
18302;9;1;1;0;-34,1876546;-70,7336163
18396;1;0;1;0;-29,8729133;-71,2285436
18645;9;1;0;1;-34,1517097;-70,7576584
18920;9;0;1;0;-34,6407508;-71,3644341
18923;9;0;0;0;-33,6172469;-70,8777316
19055;-1;1;0;0;-39,8348311;-73,2315101
19686;8;1;1;0;-32,8255235;-71,22593
20439;9;0;1;1;-18,4923101;-70,2996965
21569;9;0;1;0;-29,9541631;-71,3397901
21949;4;0;0;0;-34,5835787;-70,9893107
22288;1;0;0;0;-35,4462705;-71,6287093
22356;9;1;1;0;-33,6090888;-70,9001115
22707;1;1;1;0;-33,44926;-70,6699141
22766;5;1;0;0;-43,1189401;-73,5882145
23406;9;0;1;0;-29,9511549;-71,2521509
23424;1;0;1;0;-29,8673823;-71,2388191
23744;5;0;1;0;-42,3232326;-73,532041
23838;9;1;1;0;-41,4218825;-72,9083297
23941;1;0;0;0;-33,4808907;-70,5669578
24010;3;0;0;0;-23,6214043;-70,3810461
24036;0;1;1;0;-33,4491231;-70,6700022
25091;6;0;1;0;-29,9006571;-71,2413357
25139;-1;0;1;0;-33,4387808;-70,7551978
25642;9;0;1;0;-41,3170773;-72,9864113
26352;1;0;0;0;-33,5552792;-70,5529647
26512;9;0;1;0;-38,4191093;-72,7933118
26883;0;1;0;0;-33,5321948;-70,5779914
28028;1;0;1;0;-32,773511;-71,5330329
28397;9;0;1;1;-22,4647719;-68,925814
29649;1;1;0;0;-41,2544732;-73,0117088
29961;6;1;0;0;-32,5079569;-71,4398052
30290;0;1;1;0;-33,5876452;-70,6018853
30856;0;1;1;0;-33,4272887;-70,6668406
31629;-1;0;1;0;-33,599978;-70,8626722
32111;1;1;0;0;-53,1508553;-70,9248476
32292;9;0;1;1;-33,3034103;-70,8564866
32487;11;1;1;0;-33,0484777;-71,6224028
32488;11;1;1;0;-36,1496035;-71,5795026
32887;7;0;0;0;-34,3436631;-70,8248401
33036;1;0;1;0;-35,589992;-71,7205516
33200;12;0;1;0;-38,728051;-72,5630711
33569;0;1;1;0;-41,4660013;-72,9579338
34069;9;0;1;0;-33,5320236;-70,6188938
34699;9;0;1;0;-33,6337432;-70,61965
34758;1;1;1;0;-33,5410475;-70,7766957
34891;-1;0;1;0;-40,5761669;-73,1172949
35921;7;1;0;0;-33,5229204;-70,7604103
36350;1;1;0;0;-34,1685287;-70,7397975
37028;0;0;0;0;-33,45689;-70,7524625
37165;5;0;1;0;-20,2578868;-70,106528
37245;1;1;1;0;-32,7264897;-71,4174222
37385;2;0;1;0;-18,4880426;-70,3101796
37689;9;0;1;0;-27,4093146;-70,2844817
38255;10;1;1;0;-20,2732048;-70,0981013
38278;0;1;0;0;-34,5277078;-71,3713349
38683;8;1;1;0;-35,1114999;-71,2776284
39341;10;1;1;0;-38,6112373;-72,8407134
39652;1;0;0;0;-22,43839;-68,923906
39680;9;1;0;1;-23,6343489;-70,3776706
40100;0;0;1;0;-40,5656464;-73,1700732
40122;9;1;1;0;-35,4067382;-71,6621148
40325;11;0;0;0;-22,4589842;-68,9189414
40792;9;1;0;1;-38,2390523;-72,3165604
41061;6;0;1;0;-32,8381891;-70,9456818
41391;1;1;0;0;-33,4086879;-70,6813467
41469;11;0;1;0;-33,0477797;-71,6227145
42004;6;0;1;0;-33,3976134;-71,694563
42496;1;1;0;0;-34,148488;-70,7276563
42524;9;0;1;0;-41,4337159;-72,9956901
42597;9;1;0;1;-33,5061911;-70,5709706
42657;0;0;0;0;-33,5430985;-70,6453875
42713;7;1;0;0;-33,5059649;-70,6969376
42737;6;0;0;0;-36,828651;-73,0515065
42953;4;0;0;0;-33,0577918;-71,3822229
43119;9;0;1;0;-35,4442858;-71,6966997
44174;1;0;1;0;-20,2472038;-70,1323196
45517;9;1;0;0;-33,5530717;-70,6083612
45961;3;0;0;0;-32,8797372;-71,2459763
46061;3;1;1;0;-36,9849231;-73,1545084
46794;7;0;1;0;-33,4780745;-70,5640923
46841;-1;1;1;0;-35,8325193;-71,593755
46969;9;0;1;0;-33,4545366;-70,7199055
47138;7;0;1;1;-38,4927033;-72,6064322
47177;6;0;1;0;-29,8746747;-71,2289648
47205;5;1;1;1;-37,0937305;-73,1485902
