mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
109382;17750;811000000123
109487;5569;111000000133
110187;10404;501000000131
111331;3251;111000000133
111535;6644;111000000133
111886;9701;131000000133
112316;14720;501000000131
112674;4531;611000000132
113925;1961;211000000133
114005;22743;311000000133
114248;10573;131000000133
114861;9646;131000000131
115204;4180;611000000133
115232;9036;111000000132
115552;253;331000000131
115913;4185;511000000133
115977;25153;131000000133
116290;31106;431000000133
116517;12810;111000000133
117257;539;811000000133
117321;5408;401000000131
118091;318;501000000131
118520;20140;111000000132
119083;6118;431000000133
119306;10832;111000000133
120110;4588;401000000132
120153;14641;501000000131
120667;11936;501000000131
120775;1598;811000000131
120894;26164;711000000133
120984;9803;111000000132
121414;5406;501000000131
122286;8811;131000000131
122649;3621;501000000132
122967;10688;111000000133
124000;12747;351054019133
124384;15646;131000000133
124500;13637;311000000133
124509;5267;131000000133
124577;382;611000000133
124800;721;501000000131
125003;12058;501000000133
125523;9311;401000000131
125908;4578;311000000133
126070;11706;811000000133
126153;9618;111000000132
126452;4672;341041005133
126593;3675;111000000131
127467;24878;501000000132
127516;26383;501000000133
128068;22083;131000000131
128230;4287;271072007133
129126;18172;411000000133
129532;25225;111000000132
129582;25157;501000000133
129852;15753;811000000133
130107;10968;131000000133
130223;6230;131000000133
130463;1549;331000000133
130547;2447;131000000133
131151;1263;361064008113
131174;24881;111000000132
131361;10638;131000000133
131731;12694;711000000133
131913;8504;131000000111
131916;20068;711000000131
131967;5668;111000000133
132061;11405;501000000133
132144;6691;111000000133
132226;14213;311000000132
132279;1354;131000000133
132610;26424;711000000131
132905;13156;211000000133
133028;7626;131000000133
133058;303;511000000131
133516;2859;611000000133
133781;15750;401000000132
135228;2938;131000000133
136112;4736;811000000131
136830;18050;311000000133
136864; ; 
136994;7338;111000000132
137756;11217;131000000131
138054;19974;131000000133
138201;6336;111000000131
138751;4715;131000000133
138887;11265;131000000133
138964;40193;211000000131
139462;2938;341041005133
141350;1262;151051005133
141541;16642;131000000133
141542;10501;131000000133
141908;1598;501000000232
142043;10854;131000000133
142676;8;131000000133
143062;229;111000000133
143205;14373;511000000133
143250;6780;111000000133
143939;24622;111000000131
144228;10641;111000000133
144367;12855;231000000133
145440;9185;111000000122
145636;2165;431000000133
145739;22366;211000000133
146002;8454;351058035123
146250;12711;501000000133
146680;4706;231000000133
146747;772;271072007133
146977;18218;401000000133
147042;15731;111000000133
147561;14373;111000000131
148039;2066;111000000133
148374;5406;501000000131
148724;7231;501000000133
148848;2249;111000000133
148872;5122;811000000133
149160; ; 
149631;2457;501000000131
149806;22283;511000000131
150441;12547;331000000133
151144;40343;811000000133
152119;31332;501000000131
152404;2121;111000000112
153001;11931;501000000132
153773;26168;131000000133
154193;10638;131000000133
154329;9859;711000000131
154433;16843;311000000133
154657;25615;711000000133
154738;22009;811000000131
155679;1257;501000000131
156085;522;311000000113
156736;10665;711000000133
157310;5654;411000000133
157384;18147;501000000132
157767;9416;111000000131
157910;14677;131000000133
159135;2111;131000000133
159342;19983;211000000133
159734;14870;711000000133
159981;107;811000000131
160515;316;111000000133
160619;9472;131000000133
161398;2741;411000000123
161710;9111;131000000133
162297;2153;231000000131
163060;9803;501000000132
163101; ; 
163166;9781;131000000133
163280;616;411000000133
164834;16446;501000000133
165590;11909;501000000132
167216;31110;331000000133
168477;4774;111000000132
168481;2160;501000000133
168760;3176;111000000133
168878;297;501000000131
168939;372;711000000133
168977;8376;711000000133
169053;11994;131000000133
169527;2839;411000000133
169739;10970;231000000131
170126;22221;711000000133
170656;1502;231000000133
171267;8714;401000000132
171398;5666;231000000132
171563;11677;501000000131
171963;22504;131000000133
172021;110;431000000133
172157;5656;131000000133
172233;7;231000000133
172462;22334;501000000131
172515;56;211000000133
173167;1049;311000000133
173209;2664;311000000133
173218;1751;811000000131
173858;5471;411000000133
174032;19950;311000000133
174347;6188;501000000231
174671;7343;211000000131
174719;14778;311000000133
174963;5019;211000000132
175363;1751;511000000131
175394;10123;111000000133
175425;647;811000000133
177293;31253;401000000131
177310;40295;231000000133
177394;40155;231000000133
