id_colegio,internado,politica_uniforme,orientacion_religiosa,alumnos_matriculados,alumnos_prom_curso,genero,actividades_extra,apoyo_academico,deportes,idioma,infraestructura,programas
204,0,1,1,657,32,1,6,8,8,1,9,8
205,0,1,1,444,26,1,6,7,7,1,8,7
206,0,1,1,412,25,1,7,7,5,1,7,7
208,0,1,5,1201,37,1,7,6,8,2,10,8
210,0,0,1,708,26,1,4,8,8,2,9,7
211,0,1,1,240,20,1,4,6,4,1,8,7
214,0,0,1,27,4,1,2,1,4,1,7,7
217,0,1,1,1114,39,1,5,7,7,2,10,7
218,0,1,1,525,27,1,4,8,6,1,10,7
219,0,1,1,888,37,1,5,8,7,1,9,8
220,0,1,1,1032,36,1,5,5,7,1,8,9
223,0,1,1,664,39,1,4,8,4,1,8,7
224,0,1,1,1039,39,1,4,7,6,1,6,7
225,0,1,1,976,39,1,5,7,6,1,9,9
226,0,1,1,945,37,1,5,8,8,1,7,7
227,0,1,1,1602,40,1,4,8,8,1,9,7
228,0,0,1,678,42,1,3,7,8,1,8,7
229,0,1,1,870,43,1,5,8,2,2,8,8
230,0,1,1,631,39,1,5,7,6,1,7,8
231,0,1,1,713,37,1,6,8,7,1,9,7
232,0,1,1,628,39,1,6,7,6,1,6,8
239,0,1,1,683,42,1,3,8,6,1,7,7
240,0,1,1,629,39,1,4,8,5,1,6,8
243,0,0,1,19,3,1,1,3,3,1,2,3
246,0,0,1,19,2,1,2,4,2,1,6,3
248,0,1,1,14,2,1,3,1,1,3,3,5
252,0,1,1,106,13,1,4,5,5,1,4,5
253,0,1,8,1040,40,1,2,8,7,2,6,8
254,0,1,5,957,36,2,6,8,3,2,10,8
255,0,1,7,1171,41,1,7,8,6,2,9,9
256,0,1,5,1770,35,1,6,6,8,2,9,8
268,0,1,1,44,4,1,3,4,5,3,9,5
269,0,1,1,906,36,1,4,8,5,1,7,6
270,0,1,1,252,18,1,6,7,8,2,6,2
271,0,1,1,13,2,1,2,3,1,1,5,4
273,0,1,1,26,4,1,1,5,3,1,3,6
274,0,1,1,25,4,1,1,5,2,1,6,4
275,0,0,1,1,1,1,0,3,2,0,3,5
276,0,0,1,6,2,1,0,3,2,1,3,4
279,0,0,1,2039,37,1,0,5,7,1,9,5
280,0,1,1,1580,32,1,4,6,10,2,10,9
283,0,0,1,1284,30,1,6,6,6,0,8,7
284,0,1,1,1255,32,1,7,7,7,2,7,8
285,0,1,1,1144,28,1,6,8,6,2,8,8
286,0,1,1,876,26,1,3,7,4,1,8,8
287,0,1,1,1062,29,1,3,7,4,2,9,7
288,0,0,1,1129,36,1,1,7,6,1,7,7
289,0,0,1,671,29,1,5,7,6,1,6,5
291,0,1,1,1156,34,1,6,8,6,1,8,7
292,0,1,1,855,27,1,3,8,3,2,7,5
293,0,1,1,1323,33,1,7,8,7,1,8,7
294,0,1,1,864,36,1,2,7,8,1,11,7
296,0,1,1,622,34,1,3,6,3,1,6,6
297,0,0,1,659,31,1,7,8,5,1,9,7
298,0,0,1,640,30,1,5,7,6,1,8,5
301,0,0,1,595,29,1,3,7,6,1,9,5
