mrun;cod_nivel;rbd_admitido;cod_curso_admitido
270;-1;129;40100032
983;9;11265;13100033
2952;9;22597;13100033
6026;-1;521;40100033
18840;5;24302;51100033
21688;1;13552;11100033
28851;-1;20489;40100033
29379;9;2411;13100033
29380;9;40126;13100033
30530;-1;13376;40100032
30555;9;772;17104133
32450;1;7834;11100033
36399;-1;525;40100033
38156;-1;8483;40100032
42008;1;535;11100033
43552;0;13626;50100033
47213;1;7696;11100031
47701;1;2498;11100033
49891;2;8438;21100033
52487;0;737;50100033
53362;-1;12719;40100033
56992;1;8219;11100033
62025;0;40416;50100032
63338;9;13330;13100031
63862;9;2444;13100033
66007;-1;7975;40100031
66313;9;8474;13100033
75499;7;11155;71100033
75581;0;15762;50100033
77022;-1;2220;40100033
77287;0;2119;50100031
78912;1;710;11100033
87993;-1;40006;40100031
89592;-1;15501;40100032
98250;-1;12717;40100031
102712;1;13363;11100033
104245;0;8454;50100021
105439;1;714;11100033
107537;9;12683;13100033
107546;0;2248;50100031
109747;9;15583;13100033
110893;9;40457;13100033
111575;-1;2471;40100031
112524;-1;40146;40100031
113213;1;8444;11100031
113507;7;516;71100033
114354;1;7391;11100033
119134;9;7626;13100033
119209;1;12749;11100033
120181;-1;11594;40100033
121181;9;13551;13100033
122944;0;13590;50100033
126758;9;2406;13100033
129889;9;7772;13100033
133157;0;8438;50100033
134840;0;40298;50100032
137397;0;946;50100031
140137;0;117;50100031
144958;1;2330;11100033
146365;7;2469;71100033
147582;7;8449;71100033
149887;-1;24334;40100031
152404;-1;15792;40100032
153934;1;24329;11100023
156085;1;664;11100031
157842;9;12683;13100033
160271;9;2551;13100031
160446;1;111;11100033
161659;0;122;50100033
161996;9;108;13100033
168491;9;22523;13100033
169695;1;7826;11100033
178252;9;11139;13100033
179223;-1;13633;40100032
179556;0;13457;50100031
181519;0;2255;50100031
182428;9;2444;13100033
182839;-1;2124;40100031
182973;-1;22130;40100033
184170;9;2612;13100033
186974;9;1048;13100033
187068;9;2283;13100033
194291;-1;2140;40100032
196688;1;40399;11100033
201111;1;13552;11100033
203460;-1;7850;40100031
204252;0;721;50100032
205090;-1;2209;40100031
209615;1;12711;11100033
210842;1;40298;11100032
210919;9;516;13100033
215398;9;7720;13100033
220139;9;40295;13100033
231397;0;2412;50100033
231673;-1;7385;40100031
234331;0;521;50100033
243794;1;535;11100033
243938;9;15750;13100033
244253;9;11139;13100033
244336;9;15646;13100033
244791;1;673;11100033
247766;9;22464;13100033
248081;0;15770;50100033
248795;-1;22509;40100033
251024;1;13587;11100033
253542;-1;16950;40100033
255548;9;22597;13100033
257722;0;15662;50100032
260225;1;647;11100032
267892;0;2553;50100031
268859;-1;40422;40100033
271343;-1;7801;40100033
280768;7;12623;71100033
282350;1;22195;11100032
283140;7;22372;71100033
287193;7;2284;71100033
287344;9;22461;13100033
289280;-1;711;40100033
290763;2;8438;21100033
292770;7;712;71100033
295407;1;40073;11100033
296823;7;2129;71100031
310740;1;2153;11100031
313721;9;7772;13100033
321140;-1;40298;40100032
322048;9;518;13100013
330836;6;8434;61100033
333633;7;40194;71100033
333988;9;2422;13100033
338211;1;15807;11100033
339678;9;7651;13100033
