mrun;cod_nivel;es_mujer;prioritario;lat_con_error;lon_con_error;calidad_georef;cod_com;nom_com
7867810;3;1;1;-53,157867;-70,912186;2;12101;PUNTA ARENAS
7870891;1;1;1;-40,589069;-73,169617;1;10301;OSORNO
7874107;9;1;1;-41,772583;-73,127243;2;10102;CALBUCO
7875468;0;0;1;-42,482834;-73,762733;2;10201;CASTRO
7881084;4;1;1;-53,157867;-70,912186;2;12101;PUNTA ARENAS
7889354;9;1;1;-20,259398;-69,786568;2;1401;POZO ALMONTE
7893714;-1;0;0;-40,574604;-73,135757;2;10301;OSORNO
7894273;1;0;0;-34,639771;-71,365753;2;6310;SANTA CRUZ
7896725;1;0;0;-29,885244;-71,229828;1;4101;LA SERENA
7896823;-1;0;1;-42,623821;-73,772224;2;10203;CHONCHI
7899587;-1;0;1;-29,994896;-71,324905;1;4102;COQUIMBO
7902284;1;1;1;-41,472149;-72,937233;2;10101;PUERTO MONTT
7902524;0;1;0;-33,953205;-71,83033;2;6205;NAVIDAD
7904307;-1;1;1;-42,599369;-73,676056;2;10206;PUQUELDON
7908130;0;1;1;-41,472149;-72,937233;2;10101;PUERTO MONTT
7913660;9;0;0;-34,408901;-70,860115;2;6115;RENGO
7918672;1;0;1;-31,177759;-71,002197;2;4302;COMBARBALA
7922632;0;1;1;-30,594135;-71,201195;1;4301;OVALLE
7922874;-1;1;0;-29,948242;-71,271271;1;4101;LA SERENA
7925642;0;0;1;-34,226551;-70,964355;2;6105;DOÑIHUE
7927003;1;1;0;-31,780977;-70,965851;2;4204;SALAMANCA
7928410;0;1;0;-29,902227;-71,2509;2;4101;LA SERENA
7929688;-1;1;1;-30,59745;-71,195274;1;4301;OVALLE
7930767;-1;1;1;-29,902227;-71,2509;2;4101;LA SERENA
7931728;0;1;1;-41,472149;-72,937233;2;10101;PUERTO MONTT
7932910;-1;1;1;-30,604809;-71,205421;2;4301;OVALLE
7933272;1;1;0;-34,064541;-70,725945;2;6106;GRANEROS
7935905;-1;1;1;-41,472149;-72,937233;2;10101;PUERTO MONTT
7945233;9;1;0;-34,634506;-71,358459;1;6310;SANTA CRUZ
7951001;-1;1;0;-31,633623;-71,168144;2;4201;ILLAPEL
7951968;1;0;1;-34,439323;-71,07608;2;6117;SAN VICENTE
7952229;6;1;1;-53,166775;-70,945107;1;12101;PUNTA ARENAS
7956362;-1;1;1;-30,604809;-71,205421;2;4301;OVALLE
7961232;1;1;1;-41,317383;-72,984612;2;10109;PUERTO VARAS
7961932;-1;0;0;-29,902227;-71,2509;2;4101;LA SERENA
7966692;1;0;1;-53,157867;-70,912186;2;12101;PUNTA ARENAS
7969254;-1;1;1;-42,889313;-73,474136;2;10207;QUEILEN
7969774;9;0;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
7970125;9;1;1;-34,204926;-70,884834;1;6111;OLIVAR
7970242;9;0;1;-33,98008;-70,711525;2;6110;MOSTAZAL
7974618;0;1;1;-29,953829;-71,338135;2;4102;COQUIMBO
7978692;-1;1;0;-20,263632;-70,127686;1;1101;IQUIQUE
7981384;9;0;0;-34,170376;-70,740807;2;6101;RANCAGUA
7987339;7;0;1;-29,980143;-71,296669;1;4102;COQUIMBO
7987621;0;1;0;-34,1688;-70,703407;1;6101;RANCAGUA
7987745;9;1;1;-34,639771;-71,365753;2;6310;SANTA CRUZ
7990906;-1;0;1;-34,439323;-71,07608;2;6117;SAN VICENTE
7992557;7;0;1;-29,902227;-71,2509;2;4101;LA SERENA
7992729;1;1;1;-33,98008;-70,711525;2;6110;MOSTAZAL
7999360;5;0;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8005598;-1;1;0;-40,684441;-72,600021;2;10304;PUYEHUE
8009298;0;0;0;-34,170376;-70,740807;2;6101;RANCAGUA
8010237;1;0;0;-20,211794;-70,146446;1;1101;IQUIQUE
8013451;-1;1;0;-29,902227;-71,2509;2;4101;LA SERENA
8014545;9;1;1;-20,259398;-69,786568;2;1401;POZO ALMONTE
8015732;1;0;0;-33,98008;-70,711525;2;6110;MOSTAZAL
8015819;7;1;1;-40,574604;-73,135757;2;10301;OSORNO
8021794;9;0;0;-20,213099;-70,153725;2;1101;IQUIQUE
8029251;7;1;1;-20,213099;-70,153725;2;1101;IQUIQUE
8032310;1;1;1;-30,605585;-71,215179;1;4301;OVALLE
8032751;-1;0;0;-31,177759;-71,002197;2;4302;COMBARBALA
8034086;-1;1;1;-30,604809;-71,205421;2;4301;OVALLE
8034989;6;1;1;-53,159473;-70,899254;1;12101;PUNTA ARENAS
8037454;9;0;0;-20,291054;-70,091774;1;1107;ALTO HOSPICIO
8037890;-1;1;1;-29,875801;-71,22847;1;4101;LA SERENA
8039026;9;1;1;-34,039124;-70,667595;2;6102;CODEGUA
8042436;0;0;0;-34,226551;-70,964355;2;6105;DOÑIHUE
8045046;9;1;1;-34,408901;-70,860115;2;6115;RENGO
8045220;-1;1;0;-20,267946;-70,102318;2;1107;ALTO HOSPICIO
8045654;1;0;1;-41,472149;-72,937233;2;10101;PUERTO MONTT
8049890;7;0;0;-20,267946;-70,102318;2;1107;ALTO HOSPICIO
8050878;-1;0;0;-30,604809;-71,205421;2;4301;OVALLE
8052533;-1;1;1;-29,910872;-71,22477;1;4101;LA SERENA
8053505;-1;1;1;-41,472149;-72,937233;2;10101;PUERTO MONTT
8057940;9;0;0;-20,242876;-70,133904;1;1101;IQUIQUE
8059610;-1;1;0;-34,172012;-70,762466;1;6101;RANCAGUA
8070167;-1;0;0;-41,472149;-72,937233;2;10101;PUERTO MONTT
8070549;9;0;0;-34,208759;-70,817383;2;6111;OLIVAR
8072449;-1;1;0;-34,583561;-70,989891;2;6301;SAN FERNANDO
8076714;-1;1;0;-20,267946;-70,102318;2;1107;ALTO HOSPICIO
8077504;-1;0;0;-41,153004;-73,421379;2;10104;FRESIA
8087093;-1;0;0;-40,574604;-73,135757;2;10301;OSORNO
8087284;9;1;1;-34,167786;-70,70462;1;6101;RANCAGUA
8096564;-1;0;1;-34,403709;-70,867737;1;6115;RENGO
8096637;0;0;0;-30,604809;-71,205421;2;4301;OVALLE
8098429;3;0;0;-53,127037;-70,87767;1;12101;PUNTA ARENAS
8100716;9;0;0;-34,170376;-70,740807;2;6101;RANCAGUA
8101575;-1;1;1;-41,623501;-73,595055;2;10108;MAULLIN
8106719;-1;1;0;-33,98008;-70,711525;2;6110;MOSTAZAL
8109067;9;1;0;-53,169724;-70,921684;1;12101;PUNTA ARENAS
8119827;-1;0;1;-34,583561;-70,989891;2;6301;SAN FERNANDO
8123103;9;0;0;-41,472149;-72,937233;2;10101;PUERTO MONTT
8124113;-1;0;0;-53,171535;-70,919502;1;12101;PUNTA ARENAS
8131059;-1;0;1;-34,574913;-70,997444;1;6301;SAN FERNANDO
8132337;-1;1;1;-20,267946;-70,102318;2;1107;ALTO HOSPICIO
8142231;0;0;0;-20,263918;-70,12262;1;1101;IQUIQUE
8142927;3;0;1;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8144339;-1;0;1;-20,229221;-70,144234;1;1101;IQUIQUE
8149300;9;0;0;-20,273697;-70,105835;1;1107;ALTO HOSPICIO
8152606;1;0;0;-34,439323;-71,07608;2;6117;SAN VICENTE
8153753;-1;0;0;-41,460136;-72,905998;1;10101;PUERTO MONTT
8157015;9;1;0;-41,317383;-72,984612;2;10109;PUERTO VARAS
8157153;7;0;1;-29,953829;-71,338135;2;4102;COQUIMBO
8160183;0;1;1;-34,408901;-70,860115;2;6115;RENGO
8161145;-1;0;1;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8163016;1;0;1;-29,953829;-71,338135;2;4102;COQUIMBO
8164884;9;0;0;-41,476177;-72,959557;1;10101;PUERTO MONTT
8166786;9;1;0;-34,639771;-71,365753;2;6310;SANTA CRUZ
8172601;0;1;0;-53,157867;-70,912186;2;12101;PUNTA ARENAS
8173139;-1;0;0;-30,604809;-71,205421;2;4301;OVALLE
8175057;7;0;1;-34,170376;-70,740807;2;6101;RANCAGUA
8176902;1;0;1;-29,953829;-71,338135;2;4102;COQUIMBO
8176959;-1;1;0;-20,213099;-70,153725;2;1101;IQUIQUE
8178093;0;1;0;-34,182465;-70,757957;1;6101;RANCAGUA
