mrun;cod_nivel;rbd;cod_curso;preferencia_postulante;agregada_por_continuidad;prioridad_matriculado;prioridad_hermano;prioridad_hijo_funcionario;prioridad_exalumno;loteria_original
113507;7;565;71100033;1;0;0;0;0;0;17
113507;7;12735;71100033;3;1;1;0;0;0; 
114354;1;7391;11100033;1;0;0;0;0;0;12
114354;1;11594;11100033;2;0;0;0;0;0;6
119134;9;7625;13100033;3;0;0;0;0;0;20
119134;9;7626;13100033;1;0;0;0;0;0;98
119134;9;7629;13100033;4;0;0;0;0;0;59
119134;9;22461;13100033;2;0;0;0;0;0;9
119134;9;40256;13100031;5;1;1;0;0;0; 
119209;1;12588;11100032;3;0;0;0;0;0;3
119209;1;12655;11100033;2;0;0;0;0;0;7
119209;1;12749;11100033;1;0;0;1;0;0;10
120181;-1;7404;40100033;2;0;0;0;0;0;4
120181;-1;7407;40100032;3;0;0;0;0;0;2
120181;-1;11594;40100033;1;0;0;0;0;0;4
121181;9;13551;13100033;1;0;0;0;0;0;23
121181;9;13590;13100033;2;0;0;0;0;0;29
122944;0;708;50100033;2;0;0;0;0;0;20
122944;0;13590;50100033;1;0;0;0;0;0;13
126758;9;2406;13100033;1;0;0;0;0;0;8
126758;9;2411;13100033;2;0;0;0;0;0;17
129889;9;7772;13100033;1;0;0;1;0;0;10
129889;9;7775;13100033;2;0;0;0;0;0;1
133157;0;8433;50100031;2;0;0;0;0;0;6
133157;0;8435;50100033;3;0;0;0;0;0;1
133157;0;8438;50100033;1;0;0;0;0;0;3
134840;0;525;50100033;3;0;0;0;0;0;10
134840;0;13586;50100031;1;0;0;0;0;0;5
134840;0;40298;50100032;2;0;0;0;0;0;3
137397;0;946;50100031;2;0;0;0;0;0;1
137397;0;13538;50100031;1;0;0;0;0;0;15
140137;0;117;50100031;1;0;0;0;0;0;21
140137;0;12621;50100031;2;0;0;0;0;0;13
144958;1;2330;11100033;1;0;0;0;1;0;38
144958;1;2334;11100033;2;0;0;0;0;0;1
146365;7;2469;71100033;1;0;1;1;0;0;6
147582;7;8438;71100033;2;0;0;0;0;0;1
147582;7;8449;71100033;1;0;0;0;0;1;2
149887;-1;24302;40100031;2;0;0;0;0;0;5
149887;-1;24334;40100031;1;0;0;0;0;0;11
152404;-1;2248;40100032;2;0;0;0;0;0;1
152404;-1;15598;40100032;3;0;0;0;0;0;5
152404;-1;15792;40100032;1;0;0;0;0;0;6
153934;1;24311;11100032;1;0;0;0;0;0;11
153934;1;24329;11100023;2;0;0;0;0;0;1
156085;1;535;11100033;3;0;0;0;0;0;17
156085;1;664;11100031;1;0;0;0;0;0;2
156085;1;31221;11100033;2;0;0;0;0;0;13
157842;9;97;13100033;3;0;0;0;0;0;6
157842;9;131;13100031;2;0;0;0;0;0;23
157842;9;12683;13100033;1;0;0;0;0;0;9
160271;9;2551;13100031;1;0;0;1;0;0;20
160271;9;40080;13100033;2;0;0;0;0;0;1
160446;1;111;11100033;1;0;0;0;0;0;22
160446;1;119;11100033;2;0;0;0;0;0;14
160446;1;40043;11100032;3;1;1;0;0;0; 
161659;0;111;50100033;2;0;0;0;0;0;24
161659;0;122;50100033;1;0;0;0;0;0;8
161659;0;126;50100033;3;0;0;0;0;0;6
161996;9;97;13100033;2;0;0;0;0;0;4
161996;9;108;13100033;1;0;0;0;0;0;38
168491;9;7328;13100033;3;0;0;0;0;0;20
168491;9;7470;17104133;2;0;0;0;0;0;3
168491;9;22523;13100033;1;0;0;0;0;0;24
169695;1;7774;11100033;2;0;0;0;0;0;3
169695;1;7826;11100033;1;0;0;0;0;0;2
178252;9;610;13100031;2;0;0;0;0;0;23
178252;9;11139;13100033;1;0;0;0;0;0;7
179223;-1;13314;40100031;4;0;0;0;0;0;2
179223;-1;13314;40100032;3;0;0;0;0;0;3
179223;-1;13608;40100032;2;0;0;0;0;0;24
179223;-1;13633;40100032;1;0;0;0;0;0;17
179556;0;13457;50100031;2;0;0;0;0;0;19
179556;0;13532;50100031;3;0;0;0;0;0;12
179556;0;13538;50100031;1;0;0;0;0;0;52
181519;0;2247;50100031;2;1;1;0;0;0; 
181519;0;2255;50100031;1;0;0;0;0;0;1
182428;9;2444;13100033;1;0;0;0;0;0;45
182428;9;2448;13100031;2;0;0;0;0;0;19
182839;-1;2124;40100031;1;0;0;1;0;0;6
182839;-1;2135;40100033;2;0;0;0;0;0;1
182973;-1;22130;40100033;1;0;0;1;0;0;1
