mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error;orden_postulantes
1292505;13557;40100033;7177
1296504;7634;11100033;1962
1297613;20376;40100031;9045
1298200;2491;40100031;9024
1298650;13457;40100032;657
1300155;2179;40100032;7465
1303068;16923;50100031;1929
1303570;22544;13100033;2830
1305356;15596;40100033;8765
1307009;2426;50100031;2214
1307104;15728;50100031;6635
1307489;2409;50100031;2428
1309606;8434;21100033;5487
1313326;2205;13100033;3744
1313775;22626;13100033;4170
1320383;123;50100031;4059
1321141;8433;41100033;1816
1321777;12593;50100031;1189
1326374;117;50100031;5155
1332579;2248;40100031;6705
1334086;535;13100033;4017
1337429;15676;40100033;7028
1340275;804;11100031;2129
1343243;714;11100033;360
1343959;8325;50100032;6998
1347542;2457;11100031;825
1350730;7372;71100033;5563
1357065;531;50100033;2509
1365974;15781;71100033;5624
1369953;2378;13100033;4628
1372093;22155;13100033;4857
1373003;11548;50100031;2513
1373004;714;50100033;2514
1373186;22672;40100032;8513
1374080;2283;13100033;3665
1384528;12686;71100033;5806
1384784;615;11100033;714
1386133;972;11100031;5763
1388170;701;13100033;3909
1389424;8434;41100033;1867
1392218;15719;71100031;5028
1392837;13405;40100032;8359
1393298;7625;13100033;3423
1394229;40320;71100033;6132
1397828;2456;50100032;786
1398561;40025;40100031;7456
1400225;2612;13100033;3941
1404292;701;13100033;4642
1405156;22608;50100031;2275
1406593;2422;13100033;4419
1406888;7722;13100033;3526
1417779;13398;40100032;8465
1427081;847;40100033;8370
1429767;15750;11100031;1445
1431805;22010;11100033;5629
1432024;2375;13100033;4679
1432237;40416;50100032;3017
1436017;2174;50100032;4831
1436617;13586;50100032;2382
1443833;40144;40100031;6618
1444039;114;11100033;361
1448241;7959;11100033;1304
1453987;22255;40100032;6883
1455580;7397;40100031;7134
1460442;13376;40100032;7528
1463986;13469;50100031;2437
1465347;2530;13100033;3733
1468301;13504;11100033;1802
1470610;15759;13100033;4630
1471453;13580;40100033;2106
1474527;2111;13100033;4238
1476231;611;13100033;3028
1476770;7638;71100033;6203
1479013;522;40100013;7022
1486230;15770;40100033;8692
1489840;637;40100033;6773
1490089;15598;40100031;8350
1490090;13403;40100032;8345
1491487;40194;71100033;6128
1494601;521;11100033;306
1497503;2611;71100033;5924
1501972;22155;13100033;5043
1505438;16923;11100031;610
1508601;2412;40100033;8401
1510591;13463;11100031;6317
1511098;2266;11100033;6395
1517051;13539;11100031;6449
1517865;615;50100033;2291
1518856;13463;50100031;2145
1521460;8439;11100031;6687
1523231;13469;50100031;1957
1525121;22649;40100031;7913
1534852;2560;50100033;1526
1549940;11144;40100032;8966
1554031;7331;13100033;4471
1554346;15501;40100032;8893
1554863;107;13100033;5113
1556342;800;40100033;2102
1558094;129;13100031;5195
1562081;13538;50100031;472
1563232;116;50100031;1072
1564310;13557;11100033;830
1564693;799;71100033;5737
1569588;8435;61100033;61
1572109;112;40100031;7408
1573115;7725;40100033;7793
1573309;22544;13100033;3573
1576127;2654;40100033;8867
1577034;8444;41100033;1228
1578329;772;17104133;2787
1579920;2121;71100011;6077
1581603;12594;40100031;8932
1584080;11678;31100033;2137
1586037;7629;13100033;3365
1589734;129;11100032;6051
1591366;8415;11100033;5865
1595132;643;11100033;6583
1606416;15793;40100032;7972
1607082;2612;11100033;6682
1609570;2120;40100032;8402
1610327;7791;50100033;4065
1615125;13587;11100033;709
1618296;22027;13100033;4719
1627111;15614;50100032;1271
1633506;970;50100031;1976
1639111;2233;11100031;1732
1646578;2151;50100031;2604
1646966;40279;40100032;7591
1647931;22702;71100033;6460
1648777;7331;13100033;2767
1661551;7625;13100033;3349
1662110;7720;13100033;2680
1670278;2119;11100031;1800
1674846;13504;11100033;163
1679252;2494;40100031;7876
1683001;15840;13100033;3167
1686286;7470;16103433;4536
1690428;22418;40100032;2918
1690429;2174;50100031;2917
1690625;13403;50100032;3764
1696947;710;40100033;7545
1697995;7722;71100033;6282
1699500;7470;16103433;4797
1700909;22255;40100032;6744
1702222;2416;40100031;8170
1703233;8206;13100033;5147
1704970;2428;50100031;1846
1708783;947;40100031;8298
1711420;12704;40100032;2431
1712800;22464;13100033;4429
1713701;7907;13100033;5060
1714242;721;71100033;5669
1718492;40298;40100031;949
1721483;2330;71100033;5649
1736420;2223;71100033;6433
1739077;15570;11100033;765
1739220;7505;13100033;4191
1740400;2289;40100032;7237
1747220;22070;50100032;5377
1752104;40422;71100033;87
1753396;7709;50100012;5828
1756134;15832;11100033;1050
1759568;7418;40100033;7835
1762373;706;40100031;7413
1762643;7625;13100033;4970
1769419;40029;13100033;4466
1771721;8413;50100033;5308
1773440;2123;13100033;2986
1788259;22494;13100033;3648
1789229;2465;40100031;7743
1791277;2374;40100031;6518
1792588;22626;13100033;3024
1798422;2329;71100033;5523
1799343;15614;50100032;5210
1806225;11147;40100032;7421
1806578;2283;13100033;4547
1806788;2134;13100033;4083
1806858;7659;11100033;6551
1810767;2299;50100031;2241
1812082;2266;40100032;8460
1813648;2112;11100032;1728
1813713;13539;40100031;8154
1818267;13532;50100031;5370
1822964;40285;40100031;8928
1824066;40399;40100033;6145
1830293;108;13100033;2597
1834054;8425;13100033;4638
1834562;7776;40100033;8430
1841027;2143;40100031;8976
1848273;518;13100013;4490
1850823;7541;40100031;8468
1854876;8436;11100033;382
1856911;40422;40100033;1406
1862330;772;17104133;5120
1864634;12655;11100033;1023
1865097;15614;40100031;8760
1867774;15646;40100031;1743
1868203;2358;40100032;6930
1871052;15812;11100033;5497
1871441;566;40100033;7033
1872665;2517;11100033;1874
1878522;7349;11100033;83
1878977;13303;40100031;7419
1880041;531;13100033;4153
1883626;2283;13100033;4781
1885864;2234;11100033;1222
1888300;7788;40100033;7311
1894915;12757;40100032;7272
1901771;530;11100033;1230
1903703;2472;50100033;2546
1904378;2456;50100031;3005
1907424;8434;40100033;7420
1907460;2120;40100032;7323
1908064;11265;13100033;3663
1908399;2109;71100011;6440
1909535;710;11100033;176
1911099;117;11100031;1118
1913932;15614;50100032;5303
1915606;15646;13100033;3628
1919533;11265;71100033;5978
1921842;40038;11100033;1672
1923807;2422;13100033;3666
1924936;2444;13100033;3566
1925948;665;13100033;2539
1928235;646;11100032;6311
1929003;7328;13100033;4709
1933669;12683;11100032;6543
1940492;12715;11100033;1010
1942437;13427;11100032;2309
1942523;24302;40100031;2426
1943899;13558;71100033;3998
1946971;40257;40100031;8670
1946972;521;40100033;8667
1948280;968;13100033;3743
1951886;22493;50100031;6624
1952894;12749;50100033;1711
1953709;40298;40100031;7530
1954886;7331;13100033;3707
1954923;12704;50100031;2276
1955665;534;11100033;1213
1956007;2112;71100031;5906
1957284;2448;13100031;4713
1961734;13590;11100033;1087
1962018;12518;40100032;2095
1972647;106;13100033;3132
1975786;15583;13100033;3334
1978807;2412;50100033;3110
1978835;521;40100033;6996
1980114;8441;40100033;8954
1981600;40298;50100032;2077
1982266;22022;13100033;4703
1982418;625;11100033;101
1983110;2330;11100033;6100
1987119;12757;50100032;235
1988773;646;11100032;1428
1997207;12691;40100032;7537
1999638;2223;40100033;8825
1999962;2338;11100033;6581
2002902;2530;13100033;3544
2005346;22608;40100032;7928
2009219;2417;40100031;7689
2010962;191;13100033;3801
2010973;2312;40100031;6822
2014400;15720;13100033;5034
2015160;2319;13100033;4162
2017979;22050;13100033;3682
2018120;7924;40100033;8939
2018917;22672;40100032;7789
2019885;22664;13100033;3300
2025529;7625;13100033;3029
2027598;531;40100033;7908
2033301;2635;13100033;2844
2034878;13461;13100031;3634
2035431;523;11100033;6224
2038574;24311;81100033;5391
2039639;125;11100033;491
2042228;8441;51100033;732
2042670;8439;40100032;8975
2045720;632;40100033;7567
2046020;8444;31100033;2529
2046662;2447;13100033;2704
2047725;22424;50100032;787
2048548;11265;71100033;5294
2048792;22265;50100033;133
2049522;13593;50100033;3462
2050396;40328;50100033;1063
2052487;7418;40100033;9034
2053123;12652;71100031;4887
2054477;8429;13100033;5381
2056625;534;11100033;3347
2058430;8448;31100033;9176
2059807;2457;11100031;395
2063084;22612;11100033;898
2070285;7343;40100032;7490
2071344;13552;71100033;5442
2071955;2461;40100032;7374
2072043;706;40100031;7110
2072103;11594;11100033;5874
2073020;13463;50100031;5479
2073319;13503;13100033;4840
2075700;8339;13100033;4031
2080439;12761;11100032;1447
2081110;7326;13100033;4241
2082406;2171;50100031;2078
2083165;12747;11100033;828
2083998;8047;50100033;2307
2085606;7628;13100013;3625
2086385;2553;11100033;1611
2088051;15770;11100033;1735
2088942;7648;71100033;6079
2091057;7331;13100033;3589
2094606;701;13100033;4807
2101338;22535;40100033;7648
2106751;2460;71100033;5438
2108041;12683;11100032;6050
2110941;24311;11100032;1489
2113502;8047;40100033;963
2116374;40455;13100033;4869
2117194;40343;13100033;3627
2117700;7628;13100013;3889
2119942;16766;40100032;7157
2120213;2457;50100031;4572
2124658;40343;13100033;4605
2133390;11265;40100031;8070
2134508;107;13100033;2639
2136128;2532;11100033;842
2137251;2339;11100033;519
2138219;8433;40100031;8335
2140131;2469;50100031;4825
2147514;22424;40100031;8320
2152034;2283;13100033;4318
2154525;7403;71100031;5859
2164226;8255;13100033;4362
2166906;22356;13100033;2564
2168703;13587;11100033;5997
2170604;123;11100031;296
2170772;2330;11100033;6470
2172549;126;11100033;5913
2175093;8427;13100033;4264
2178154;620;50100031;3290
2180511;12655;11100033;725
2180805;13461;13100031;5174
2184916;13538;50100031;5273
2186621;7801;40100033;7636
2186886;7626;13100033;3527
2187521;2112;11100032;1607
2191356;40038;50100033;2281
2196664;22195;11100032;6057
2197417;2339;40100031;8395
2205562;531;40100033;8848
2209770;2313;71100031;6112
2214079;40422;40100033;7945
2216442;12602;40100033;6836
2223658;40284;71100033;6006
2223672;40080;13100033;2523
2225519;13538;50100031;3321
2225564;12593;50100031;2586
2234361;566;11100033;1694
2235611;22356;11100033;632
2241707;40343;40100031;8028
2247032;40416;40100032;8657
2269563;7651;13100033;4756
2271820;2553;50100031;1163
2272102;12711;40100033;962
2282111;523;40100033;8620
2284029;525;11100033;6676
2286153;7508;11100033;99
2287586;15676;40100033;8815
2302604;15646;11100031;1126
2311316;525;11100033;1470
2313403;11687;11100033;5655
2319567;13551;40100032;8306
2322875;22628;40100032;8256
2323944;22434;50100032;3613
2325160;2359;40100031;7931
2327615;7819;11100033;1990
2327781;847;40100033;8520
2328053;12704;40100032;7429
2329162;2457;50100031;3374
2330802;13561;13100033;3854
2331910;22027;13100033;2932
2333434;772;17104133;4295
2338449;12747;11100033;6668
2341239;535;11100033;6552
2344020;2469;71100033;5935
2346782;2266;40100032;6728
2348596;15596;11100033;1540
2351690;517;71100033;5853
2354795;2135;40100033;7804
2358930;22464;13100033;3488
2361811;15768;40100031;8061
2362949;31194;50100032;15
2365507;7331;13100033;3492
2368014;967;13100033;4348
2372727;13559;11100033;1395
2373388;8160;11100033;907
2373416;123;40100031;7897
2376058;2444;13100033;3231
2380186;7331;13100033;3571
2380801;11265;13100033;3495
2383013;15646;11100031;1707
2383334;2153;11100031;6482
2390642;11265;13100033;2837
2391607;13463;40100031;7300
2394137;12655;11100033;1318
2396638;2124;13100033;2501
2403083;774;50100031;5469
2404540;22430;11100033;1121
2406367;7331;13100033;4202
2411575;198;40100033;8264
2412765;13457;50100031;141
2413026;22343;71100031;6019
2415014;111;71100033;6336
2422318;2112;11100032;6031
2424102;8047;40100033;8257
2424714;8438;51100033;734
2425342;22155;13100033;4405
2426414;2601;11100033;601
2426513;7639;40100032;7417
2428896;20407;50100031;1989
2436935;646;11100032;250
2438666;13557;40100033;7313
2443317;772;17104133;4758
2447025;8439;31100033;1779
2459569;15746;40100032;6146
2463816;2551;13100031;3719
2466150;129;40100032;5611
2468738;518;13100013;3575
2469607;8433;40100032;8018
2475450;2267;40100033;8638
2476185;15832;11100033;104
2479109;11548;40100031;6738
2480565;12719;40100033;7829
2481935;191;13100033;5115
2484081;7541;11100033;1706
2490962;2112;50100032;3186
2495366;8429;13100033;3786
2496139;2412;40100033;8945
2505427;2319;13100033;4905
2509729;618;40100033;8744
2515355;2325;11100033;405
2516057;8004;71100033;2979
2516481;2258;40100031;7532
2520308;15646;11100031;63
2520816;13463;50100031;4353
2521326;13539;71100031;6194
2524696;2121;11100012;2135
2533630;2121;11100012;1214
2536909;40288;11100033;1055
2538164;2120;40100032;7620
2546255;111;40100033;7946
2547186;11265;13100033;3381
2548275;2456;40100031;8583
2550063;15646;40100031;7704
2552189;707;11100011;449
2552190;22535;11100033;447
2552696;31194;71100031;5495
2555355;13504;50100033;1645
2559478;40310;40100032;956
2563173;2461;40100032;7775
2564933;22418;50100031;3513
2567520;8436;71100033;6465
2569535;13376;40100032;8615
2578133;31221;11100033;5660
2579370;16766;11100033;1625
2586586;40193;11100031;606
2588287;12588;11100032;369
2591365;12602;11100033;1690
2593129;8424;71100033;5543
2593507;40073;40100033;2435
2600772;7706;40100032;8273
2605117;40457;13100033;4705
2606584;721;40100032;975
2608133;2486;13100033;3819
2608895;22418;50100031;2219
2610001;7339;11100033;1158
2610400;40298;40100032;9092
2612443;2286;40100032;7253
2613833;7626;13100033;3338
2614578;625;11100033;92
2617443;12192;13100033;2485
2623561;13551;13100033;5112
2624661;2283;13100033;3416
2627311;548;50100033;1914
2628263;13376;40100032;7261
2633334;40343;13100033;5183
2637009;2112;11100032;67
2637293;2518;11100033;1254
2640692;616;40100033;7927
2643311;852;40100031;8436
2643457;13582;13100033;4267
2643544;8438;50100033;4768
2643777;15646;13100033;4994
2644648;2153;11100031;6646
2645072;2601;11100033;196
2647395;2444;13100033;2931
2648841;13383;11100033;831
2655210;22356;11100033;1653
2656935;16766;40100032;8176
2661251;522;11100013;1681
2662217;24302;81100033;5291
2662381;22597;13100033;4934
2664556;7352;40100033;8599
2665816;15753;11100033;440
2668404;7338;71100031;4625
2675010;10916;50100033;6291
2676782;8444;81100033;3918
2677943;12711;40100033;6833
2677960;15840;13100033;3715
2679089;2525;11100033;5873
2679906;2112;11100032;1018
2686078;15739;13100033;3946
2691188;8436;21100033;1925
2692619;24316;13100033;4331
2694206;12632;50100033;12
2696772;13331;40100032;5216
2698351;15726;13100031;9143
2705302;8438;41100033;1255
2707587;12593;50100032;3402
2709105;2361;71100033;6284
2709296;15757;50100031;2009
2718646;517;71100033;5735
2725961;616;11100033;1260
2737736;8417;40100033;7502
2737737;7434;40100033;7499
2739576;13331;50100032;2028
2741652;710;11100033;6
2747168;8449;40100033;6860
2750436;2121;11100012;6392
2764338;2115;50100031;2420
2771795;2227;40100031;7674
2779507;714;50100033;4945
2779695;2163;13100032;3477
2786452;2206;40100031;8240
2792252;12762;40100031;6718
2793977;7975;71100033;5802
2800464;108;13100033;3635
2801374;13587;11100033;646
2802235;13551;40100032;3009
2803571;16766;40100032;7760
2807248;7331;13100033;4729
2813838;40298;11100032;1463
2814285;12593;50100032;5241
2815665;8162;13100033;3081
2815763;117;50100031;2355
2817445;8004;71100033;5290
2818170;13586;40100032;8386
2818694;13552;11100033;1775
2820164;7722;40100033;6854
2824201;2361;11100033;5334
2827296;7626;13100033;3785
2832616;8444;50100031;457
2832863;22366;40100033;6849
2832965;40424;71100033;5770
2833893;22155;13100033;3836
2836062;13451;40100032;7606
2837029;7633;11100033;1127
2840759;7629;13100033;4987
2842324;13621;71100033;5776
2843071;22523;13100033;3239
2843770;40422;40100033;7404
2844117;15750;50100031;1643
2845754;721;40100031;769
2845791;13587;11100033;818
2854923;15840;13100033;3530
2862181;40298;11100032;1294
2863825;646;11100032;1003
2865604;22581;40100033;7879
2865931;2116;11100031;1784
2869712;7636;40100031;8898
