rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_regular;vacantes_prioritarios;software_aleatorio;habilitado_distancia
7898;1;11100033;110;1;3;0;0;0;0;-41,334911;-73,602028;30;16;16;0;1;1
7898;7;71100033;110;7;3;0;0;0;0;-41,334911;-73,602028;30;19;19;0;1;1
7901;1;11100033;110;1;3;0;0;0;0;-41,40184;-73,683022;5;4;4;0;1;0
7903;1;11100033;110;1;3;0;0;0;0;-41,349598;-73,570633;5;5;4;1;1;0
7904;1;11100033;110;1;3;0;0;0;0;-41,394817;-73,738762;6;6;5;1;1;0
7905;-1;40100033;10;4;3;0;0;0;0;-41,403416;-73,320862;9;8;7;1;1;1
7905;0;50100033;10;5;3;0;0;0;0;-41,403416;-73,320862;9;5;5;0;1;1
7905;1;11100033;110;1;3;0;0;0;0;-41,403416;-73,320862;15;7;7;0;1;1
7905;7;71100033;110;7;3;0;0;0;0;-41,403416;-73,320862;12;6;6;0;1;1
7907;-1;40100033;10;4;3;0;0;0;0;-41,393391;-73,46624;60;23;23;0;1;1
7907;0;50100033;10;5;3;0;0;0;0;-41,393391;-73,46624;66;4;4;0;1;1
7907;1;11100033;110;1;3;0;0;0;0;-41,393391;-73,46624;70;7;7;0;1;1
7907;7;71100033;110;7;3;0;0;0;0;-41,393391;-73,46624;80;13;13;0;1;1
7907;9;13100033;310;1;3;0;0;0;0;-41,393391;-73,46624;120;30;30;0;1;1
7908;1;11100033;110;1;3;0;0;0;0;-41,312901;-73,678146;5;5;4;1;1;0
7910;1;11100033;110;1;3;0;0;0;0;-41,332485;-73,66394;5;5;4;1;1;0
7911;1;11100033;110;1;3;0;0;0;0;-41,303432;-73,390823;15;15;12;3;1;0
7911;7;71100033;110;7;3;0;0;0;0;-41,303432;-73,390823;10;6;6;0;1;0
7915;1;11100033;110;1;3;0;0;0;0;-41,348484;-73,653297;10;7;7;0;1;0
7915;7;71100033;110;7;3;0;0;0;0;-41,348484;-73,653297;10;3;3;0;1;0
7917;1;11100033;110;1;3;0;0;0;0;-41,366894;-73,64782;7;7;5;2;1;0
7919;1;11100033;110;1;3;0;0;0;0;-41,422535;-73,773315;5;5;4;1;1;0
7922;1;11100033;110;1;3;0;0;0;0;-41,360043;-73,35984;12;12;10;2;1;1
7922;7;71100033;110;7;3;0;0;0;0;-41,360043;-73,35984;25;19;19;0;1;1
7924;-1;40100033;10;4;3;0;0;0;0;-41,038513;-73,410797;30;29;24;5;1;1
7924;0;50100033;10;5;3;0;0;0;0;-41,038513;-73,410797;17;6;6;0;1;1
7924;1;11100033;110;1;3;0;0;0;0;-41,038513;-73,410797;15;0;0;0;1;1
