mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
116;8492;711000000122
270;18087;311000000133
355;16652;311000000133
1010;8925;331000000133
1173;2555;411000000133
2134;10792;131000000133
2309;10320;611000000133
3224;4578;211000000133
3263;22419;211000000133
3694;3348;231000000133
4030;9104;211000000133
5204;3437;411000000133
5456;2205;131000000133
5535;25041;611000000133
5551;6085;131000000133
5881;20436;231000000133
6586;8255;131000000133
6681;4555;131000000121
6717;25085;131000000133
7055;9873;811000000131
7664;9757;411000000113
7908;9912;411000000113
8762;31432;311000000133
9618;7639;311000000133
10542;2939;361063011133
10836;10257;211000000132
10966;25189;311000000133
11367;7628;131000000113
11519;12716;351054020133
12048;9579;351052013131
12105;10589;311000000133
12404;9634;511000000133
13446;12122;311000000133
13541;9127;611000000133
13674;10716;611000000131
14004;31116;231000000133
14261;4165;231000000133
14344;10711;131000000133
14732;8925;331000000133
14967;379;131000000133
15537;9768;331000000133
15582;4166;131000000113
15847;25369;411000000133
16014;8375;711000000133
16378;1987;131000000132
16766;10749;811000000133
17370;10573;131000000133
17471;25717;711000000131
17502;4331;211000000133
17817;6135;211000000133
17864;316;311000000133
18054;6500;331000000133
18115;2151;811000000131
18126;10332;411000000133
19265;5608;611000000133
20918;1354;231000000133
21802;4452;211000000133
22097;10832;131000000333
22439;25026;131000000133
23902;7826;211000000133
24026;14879;231000000133
24174;26362;511000000233
24374;7380;511000000133
24572;2551;331000000131
25028;25599;711000000133
25090;3003;131000000131
26207;25369;511000000133
26264;24878;231000000133
26497;8657;711000000133
26557;12650;711000000133
26576;9072;811000000133
26665; ; 
26759;3390;211000000133
26845;9939;211000000132
27751;9982;131000000131
27789;12830;131000000133
27980;9426;311000000133
28343;17725;131000000133
28929;5720;111000000133
29050;24972;311000000133
29500;25709;511000000131
30036;144;111000000131
30620;368;711000000133
30880;11812;431000000133
31680;9358;811000000131
31867;9866;131000000131
31929;6305;611000000133
33149;2064;131000000133
34781;4165;351053015133
35163;7641;611000000133
35603;8194;411000000133
37666;4578;111000000133
37706;18093;211000000133
38011;24790;331000000133
38683;16432;231000000133
39212;31175;411000000133
40429;10571;211000000131
41280;10346;211000000132
41605;19921;811000000133
42045; ; 
42068;25387;231000000133
42597;14490;331000000133
42713;9690;131000000133
42912;3669;611000000133
43601;22333;811000000133
44968;9182;131000000133
45007;40230;351052010133
45042;8349;411000000133
45050;41617;131000000133
45198;2041;131000000113
45980;8491;131000000122
46600;41617;131000000133
47085;1331;311000000133
47455;8504;361061003111
47503;6113;131000000133
47834;24828;351053014133
48879;4825;361061003133
50439;20298;311000000123
50470;5216;131000000133
51197;6164;811000000233
51306;16798;711000000133
52259;14879;351054018133
52978;25162;511000000131
53155;9660;131000000133
53307;25153;331000000133
53867;5678;211000000133
54086;305;711000000133
54104;4951;131000000133
54441;9647;611000000133
54663;22664;131000000133
54915;12970;131000000133
55678;25017;611000000133
55780;25700;231000000131
56298;8457;211000000111
56578;9618;511000000133
56676;611;131000000133
56856;24407;711000000113
58138;26292;131000000133
59547;40208;111000000133
60186;25485;611000000131
61208;12534;711000000133
62721;24894;411000000133
62965;16434;131000000133
63472;22478;231000000133
63491;7129;711000000133
63824;31421;231000000133
64194;10248;231000000131
65494;4534;131000000131
65785;1517;131000000133
65954;2205;131000000133
66715;291;711000000133
67205;7647;111000000133
67424;25089;811000000133
67960;12117;131000000133
68535;2935;431000000133
68808;2938;131000000133
69099;3460;131000000133
69428;1366;131000000133
69679;18247;811000000133
70768;1148;811000000133
70810;4589;511000000133
72504;8938;331000000133
72620;10085;111000000132
73678;8274;511000000133
73874;15774;711000000133
74360;24885;361064008133
75586;9060;351058034133
75772;1347;131000000133
76946;3999;411000000133
77345;22535;131000000133
77515;1856;311000000133
77847;419;311000000133
77864;3663;511000000133
78426;14373;131000000133
79015;22626;131000000133
79358;6500;711000000133
79520;20475;811000000133
80045;24878;131000000133
80999;2415;611000000131
81235;10573;131000000133
82025;9172;361061003133
82435;11608;811000000133
83211;1336;311000000133
83824;2083;311000000132
84340;24407;231000000133
84387;41617;131000000133
84487;10121;311000000133
84666;319;211000000133
84852;22462;231000000133
85599;7391;411000000133
86212;24444;131000000131
87113;11678;211000000131
87450;6759;511000000133
87465;10545;131000000133
87551;3387;131000000133
87596;24444;131000000131
87765;3479;131000000133
87894;18199;231000000233
88065;5596;711000000133
89410;1958;131000000133
89517;10750;611000000133
89528;8504;131000000111
90921;19996;111000000133
91025;25458;131000000132
91211;1521;811000000113
91584;9089;711000000133
92762;16830;131000000133
92991;17828;411000000132
93317;1119;511000000113
93650;25171;131000000131
93944;3305;131000000133
94785;448;131000000133
94808;31030;711000000133
94830;7720;131000000133
95099;24622;211000000132
