mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
198;23364971;0;1;0
198;24141853;0;1;0
496;25252310;0;1;0
610;17468140;0;1;1
2168;15843128;0;1;1
3682;12619829;1;1;1
3926;25422911;0;1;0
4694;4017350;0;1;1
4787;14288001;0;1;1
6452;25287639;0;1;1
7582;7990098;0;1;1
7582;25529777;0;1;1
8026;19062594;0;1;1
9004;25894308;0;1;1
9139;26290041;0;1;1
9417;26555977;0;1;1
9589;25409611;0;1;1
10035;25599708;0;1;1
10035;25656429;0;1;1
10040;26405360;0;1;1
10087;24935916;1;1;1
10375;26191604;0;1;0
10541;25327933;0;1;0
11367;727636;0;1;1
12407;11012199;0;1;1
12433;25565276;0;1;1
13053;15702454;0;1;0
13379;26131980;0;1;1
14110;26018918;0;1;0
14783;9995345;0;1;0
14783;16081814;0;1;0
15323;8805403;0;1;0
15582;25778601;0;1;0
16027;1372802;0;1;0
16157;7105406;0;1;1
16560;20210288;1;1;1
16719;13924100;0;1;0
17723;9045987;0;1;1
17887;6922223;1;1;0
18095;25155795;0;1;1
18212;23504915;0;1;0
18798;18156122;0;1;1
18932;26004705;0;1;0
19055;26182064;0;1;1
20425;25997674;0;1;0
20469;5784501;0;1;1
20873;4247416;0;1;1
20873;25279538;0;1;1
22221;19380785;0;1;1
22356;17472583;1;1;0
22646;25200698;0;1;0
23349;3684617;0;1;1
23349;16821590;0;1;0
23349;25331302;0;1;0
23793;4330630;0;1;1
24338;23501285;0;1;1
24732;25654466;0;1;1
24863;19409911;0;1;1
26095;24287291;0;1;0
26329;1386301;0;1;1
26665;21242325;0;1;1
27183;17117554;1;1;1
27622;25261287;0;1;1
28701;21444158;0;1;1
29155;4748091;1;1;1
29455;20610953;0;1;0
29455;25265558;0;1;1
29748;26153602;0;1;1
29896;26579112;0;1;1
30229;5341299;0;1;0
30229;6420623;0;1;0
31578;25655049;0;1;0
33878;437962;0;1;1
33878;8245768;0;1;0
33878;25348328;0;1;0
34767;16740930;0;1;0
34767;25891646;0;1;0
34914;6030597;0;1;0
34914;25938084;0;1;0
35311;25380832;0;1;0
35869;25540531;0;1;0
35989;25901579;0;1;1
36362;2584731;0;1;1
36868;26578678;0;1;1
