mrun;cod_nivel;rbd_admitido;cod_curso_admitido
95099;2;24622;211000000132
95543;9;1739;131000000123
95587;9;25304;131000000133
96148;9;4165;131000000133
96337;2;20052;211000000133
96423;7;8674;711000000123
96896;9;9008;131000000133
97173;9;15583;131000000133
97460;9;40208;131000000133
97806;6;10450;611000000133
98101;10;22535;231000000133
98760;10;7720;231000000133
99615;5;24407;511000000113
100669;3;25434;311000000133
100924;7;11608;711000000133
102015;9;1347;131000000133
103302;11;9409;341041002112
103877;11;8508;341041005133
104047;10;24885;231000000133
104209;9;9862;131000000133
104451;11;24473;361063011133
105401;8;10450;811000000133
105719;9;2908;131000000133
106086;9;4805;131000000133
106818;1;17838;111000000133
107140;9;22140;151052009133
107235;2;15726;211000000131
110293;9;11831;131000000133
111414;8;22752;811000000133
111493;2;12691;211000000132
111662;3;9100;311000000133
112372;6;2997;611000000131
112755;4;25716;411000000133
112883;11;16886;331000000133
113422;8;24885;811000000133
113631;5;25599;511000000133
113848;11;40080;331000000133
114161;9;9828;131000000133
115453;8;20158;811000000131
115557;9;22752;171072007133
115558;9;4562;131000000131
115589;4;22312;411000000133
115815;10;25737;231000000133
116375;9;25458;131000000132
117207;9;16886;131000000133
117433;8;10551;811000000133
117516;9;14788;131000000133
117543;6;4513;611000000133
117990;9;3248;131000000133
118677;9;24329;131000000123
118893;9;9982;131000000131
120004;9;1502;131000000133
120066;3;10592;311000000133
120667;2;24883;211000000133
120730;6;40078;611000000133
120984;3;9803;311000000132
121248;9;1195;131000000131
121273;8;12682;811000000133
121597;9;3305;131000000133
123049;6;6933;611000000133
123380;1;1599;111000000132
123419;2;10085;211000000132
123486;7;25042;711000000131
123639;6;322;611000000133
123755;8;22065;811000000133
124229;9;9150;131000000133
125502;9;1515;131000000133
125523;1;9342;111000000131
126070;9;4533;131000000111
126455;11;4562;331000000131
126504;10;15817;231000000133
127009;7;10461;711000000133
127486;4;14687;411000000133
127620;10;5656;231000000133
128939;2;24558;211000000131
129377;12;7627;431000000123
129384;9;399;131000000133
129936;8;10000;811000000133
130727;9;10526;131000000133
131571;9;6584;131000000133
131605;9;25458;131000000132
131914;9;9106;131000000133
131952;9;9864;131000000133
132162;11;10696;331000000133
132612;8;1689;811000000133
132749;8;5666;811000000132
133126;11;2084;331000000133
133325;5;25073;511000000131
133670;2;5001;211000000133
133897;2;1533;211000000123
133927;11;6007;331000000133
134533;2;11242;211000000133
135175;11;11348;331000000133
135227;10;1863;231000000133
135431;11;10075;341041005133
135520;9;17915;131000000133
136107;3;30006;311000000133
136584;5;9804;511000000131
136693;7;10970;711000000133
137580;8;10450;811000000133
137629;9;1504;131000000131
137779;2;25230;211000000131
138584;5;694;511000000133
138734;2;14359;211000000132
139357;1;254;111000000113
139535;9;7775;131000000133
140016;9;22113;131000000133
140504;11;1262;351051005133
142557;9;4553;131000000111
142598;9;2134;131000000133
142852;9;4535;131000000131
144344;2;6200;211000000133
144404;9;24231;131000000133
145028;3;16713;311000000133
145505;9;15808;131000000133
145536;4;24800;411000000133
145618;10;10772;231000000133
146072;9;13461;131000000133
146994;3;18218;311000000133
147560;2;10348;211000000132
147658;5;5599;511000000133
148026;9;11591;131000000133
148088;2;12001;211000000131
148374;2;4578;211000000133
148491;9;1443;131000000133
149775;9;12630;131000000133
151084;5;26411;511000000133
151960;10;9285;231000000133
153603;8;25717;811000000131
154616;9;9900;131000000133
155222;9;4270;131000000133
155388;11;3248;351058033133
156032;8;12860;811000000131
156085;5;13330;511000000132
156734;9;5566;131000000133
156880;2;9721;211000000133
157792;9;7629;131000000133
157876;11;2896;331000000133
158046;9;16830;131000000133
158349;9;280;131000000133
158414;7;3730;711000000133
158818;9;2064;131000000133
158874;5;1312;511000000133
159564;8;421;811000000133
159885;6;8714;611000000131
160300;8;6090;811000000133
161286;9;41135;131000000133
161664;9;16886;131000000133
162034;9;4715;131000000133
162182;1;7643;111000000131
162427;9;9982;131000000131
162901;7;31030;711000000133
163835;6;11830;611000000131
165073;11;5566;351052010133
165325;10;968;231000000133
165739;10;9982;231000000133
166381;12;8485;431000000121
166912;6;8706;611000000133
167144;9;3248;131000000133
167820;2;2359;211000000133
169483;7;25593;711000000133
173862;3;11931;311000000133
173880;9;20184;131000000133
174347;2;6188;211000000133
174582;8;517;811000000133
