mrun;nivel;rbd_admitido;cod_ense_admitido;cod_grado_admitido;respuesta_postulante;rbd_admitido_post_resp;cod_ense_admitido_post_resp;cod_grado_admitido_post_resp
8156772;0;8435;10;5;5;8435;10;5
8166147;1;8433;110;1;7; ; ; 
8169758;9;8411;310;1;5;8411;310;1
8188750;9;8454;310;1;3;8454;310;1
8196698;-1;8442;10;4;5;8442;10;4
8200487;7;8454;110;7;5;8454;110;7
8219760;-1;8439;10;4;4; ; ; 
8219797;0;8442;10;5;7; ; ; 
8220126;0;8433;10;5;3;8433;10;5
8223788;-1;24302;10;4;5;24302;10;4
8246798;0;8433;10;5;3;8433;10;5
8263269;1;8448;110;1;3;8448;110;1
8266484;1;24313;110;1;3;24313;110;1
8273296;9;24300;310;1;5;24300;310;1
8278436;-1;24302;10;4;3;24302;10;4
8297903;-1;8454;10;4;5;8454;10;4
8307373;1;8435;110;1;5;8435;110;1
8312131;0;8442;10;5;5;8442;10;5
8318416;-1;8458;10;4;4; ; ; 
8320095;-1;24329;10;4;5;24329;10;4
8336717;-1;24313;10;4;5;24313;10;4
8339991;1;24313;110;1;3;24313;110;1
8341715;7;24318;110;7;5;24318;110;7
8346737;0;8457;10;5;5;8457;10;5
8348232;1;8439;110;1;5;8439;110;1
8365592;9;8454;310;1;5;8454;310;1
8372630;0;8444;10;5;5;8444;10;5
8373784;0;11680;10;5;3;11680;10;5
8411563;9;24300;310;1;5;24300;310;1
8413292;1;8455;110;1;5;8455;110;1
8415091;9;8474;310;1;5;8474;310;1
8418957;0;8475;10;5;5;8475;10;5
8420546;-1;8483;10;4;5;8483;10;4
8429869;0;24313;10;5;5;24313;10;5
8437751;9;8425;310;1;4; ; ; 
8438285;1;24329;110;1;5;24329;110;1
8444331;9;8474;310;1;3;8474;310;1
8452169;9;24300;310;1;5;24300;310;1
8470286;-1;24338;10;4;5;24338;10;4
8470623;0;8435;10;5;4; ; ; 
8475985;-1;24313;10;4;3;24313;10;4
8483830;1;8438;110;1;7; ; ; 
8487453;-1;8437;10;4;4; ; ; 
8491245;9;8427;310;1;4; ; ; 
8497380;1;8441;110;1;6;8441;110;1
8498635;0;8455;10;5;5;8455;10;5
8510412;-1;8475;10;4;3;8475;10;4
8516138;9;24316;310;1;3;24316;310;1
8533467;-1;8442;10;4;6;8454;10;4
8538529;7;8441;110;7;6;8441;110;7
8553573;-1;8412;10;4;5;8412;10;4
8554163;9;8424;310;1;5;8424;310;1
8555103;7;8458;110;7;5;8458;110;7
8564402;9;8424;310;1;5;8424;310;1
8585311;0;11678;10;5;3;11678;10;5
8593058;9;8424;310;1;3;8424;310;1
8594423;9;24316;310;1;5;24316;310;1
8595812;-1;8442;10;4;4; ; ; 
8603924;-1;8454;10;4;5;8454;10;4
8603925;-1;24313;10;4;5;24313;10;4
8621216;1;8436;110;1;3;8436;110;1
8627165;-1;8439;10;4;5;8439;10;4
8628519;-1;8438;10;4;5;8438;10;4
8662699;0;8454;10;5;7; ; ; 
8665440;9;24329;310;1;5;24329;310;1
8673223;-1;8435;10;4;7; ; ; 
8675026;9;8424;310;1;3;8424;310;1
8679091;9;8429;310;1;5;8429;310;1
8682888;1;24327;110;1;3;24327;110;1
8688078;9;8454;310;1;5;8454;310;1
8689800;-1;24307;10;4;5;24307;10;4
8701359;9;8427;310;1;5;8427;310;1
8718499;-1;8442;10;4;5;8442;10;4
8722164;1;11687;110;1;3;11687;110;1
8729531;0;24311;10;5;5;24311;10;5
8739055;1;8439;110;1;5;8439;110;1
8757348;-1;8421;10;4;5;8421;10;4
8769547;9;24300;310;1;5;24300;310;1
8771023;0;8442;10;5;5;8442;10;5
8778939;-1;8412;10;4;5;8412;10;4
8782191;-1;8434;10;4;5;8434;10;4
8807727;9;8427;310;1;5;8427;310;1
8808509;9;8424;310;1;5;8424;310;1
8820837;9;24319;310;1;5;24319;310;1
8832891;7;24307;110;7;3;24307;110;7
8833153;0;8436;10;5;5;8436;10;5
8839576;-1;24313;10;4;4; ; ; 
8842333;1;24307;110;1;5;24307;110;1
8845099;9;8427;310;1;5;8427;310;1
8846603;-1;8454;10;4;5;8454;10;4
8847842;7;24327;110;7;5;24327;110;7
8851988;9;8430;310;1;4; ; ; 
8852892;-1;11680;10;4;5;11680;10;4
8857290;-1;24329;10;4;5;24329;10;4
8859762;1;8417;110;1;4; ; ; 
8865627;9;8427;310;1;5;8427;310;1
8869231;0;8475;10;5;5;8475;10;5
8874043;9;24300;310;1;3;24300;310;1
8874044;9;8474;310;1;5;8474;310;1
8876870;9;8425;310;1;4; ; ; 
8887155;-1;8458;10;4;5;8458;10;4
8888836;-1;8413;10;4;5;8413;10;4
8891549;-1;8454;10;4;5;8454;10;4
8893734;-1;8475;10;4;5;8475;10;4
8899941;9;8474;310;1;5;8474;310;1
8901699;-1;24318;10;4;5;24318;10;4
8907532;0;8444;10;5;5;8444;10;5
8924283;1;8435;110;1;4; ; ; 
8927867;9;24329;310;1;5;24329;310;1
8932226;0;8454;10;5;5;8454;10;5
8936621;9;8429;310;1;7; ; ; 
8952088;7;24338;110;7;4; ; ; 
8997292;7;8424;110;7;5;8424;110;7
9000256;-1;24338;10;4;7; ; ; 
9001861;-1;16895;10;4;5;16895;10;4
9004752;1;8435;110;1;5;8435;110;1
9010153;9;8411;310;1;5;8411;310;1
9023911;1;24327;110;1;3;24327;110;1
9024399;7;8424;110;7;6;8424;110;7
9027001;9;8425;310;1;5;8425;310;1
9030305;-1;8441;10;4;3;8441;10;4
9038184;9;8427;310;1;5;8427;310;1
9050620;9;24327;310;1;3;24327;310;1
9056870;-1;8449;10;4;3;8449;10;4
9069808;0;8437;10;5;3;8437;10;5
9076123;1;8455;110;1;5;8455;110;1
9076666;0;8454;10;5;5;8454;10;5
9078285;-1;8458;10;4;5;8458;10;4
9080802;0;8475;10;5;5;8475;10;5
9103473;-1;24318;10;4;5;24318;10;4
9103553;0;8455;10;5;6;8455;10;5
9104631;9;8483;310;1;5;8483;310;1
9117714;1;24319;110;1;7; ; ; 
9126044;9;24327;310;1;5;24327;310;1
9129638;9;8425;310;1;5;8425;310;1
9132578;1;8458;110;1;5;8458;110;1
9133088;-1;16895;10;4;3;16895;10;4
9141058;0;11678;10;5;3;11678;10;5
9143213;0;24302;10;5;3;24302;10;5
9144090;0;11680;10;5;5;11680;10;5
9159247;-1;24317;10;4;5;24317;10;4
9163750;-1;8434;10;4;5;8434;10;4
9168006;9;8427;310;1;5;8427;310;1
9173869;-1;24318;10;4;5;24318;10;4
9174252;1;8415;110;1;7; ; ; 
9198584;-1;11680;10;4;5;11680;10;4
9201146;9;8425;310;1;5;8425;310;1
9218360;0;8475;10;5;5;8475;10;5
9230509;-1;8442;10;4;5;8442;10;4
9236526;-1;8441;10;4;5;8441;10;4
9243378;7;8457;110;7;5;8457;110;7
9253533;-1;8434;10;4;5;8434;10;4
9281989;1;8441;110;1;6;8441;110;1
9283945;-1;8435;10;4;5;8435;10;4
9285135;1;24311;110;1;5;24311;110;1
9285279;9;24316;310;1;6;8424;310;1
9307520;1;11678;110;1;3;11678;110;1
9327496;-1;8435;10;4;5;8435;10;4
9335245;-1;24307;10;4;5;24307;10;4
9343363;9;24316;310;1;5;24316;310;1
9343503;1;8439;110;1;3;8439;110;1
9354181;-1;8421;10;4;5;8421;10;4
9363908;7;8435;110;7;3;8435;110;7
9370610;0;8444;10;5;5;8444;10;5
9379302;9;8424;310;1;6;8424;310;1
9387148;-1;11680;10;4;5;11680;10;4
9390974;9;8427;310;1;5;8427;310;1
9392046;9;8425;310;1;5;8425;310;1
9393889;0;8458;10;5;3;8458;10;5
9398485;-1;24305;10;4;5;24305;10;4
9407237;-1;24307;10;4;5;24307;10;4
9413741;9;8429;310;1;5;8429;310;1
9422382;0;8417;10;5;5;8417;10;5
9422656;0;24305;10;5;6;24305;10;5
9428213;0;11680;10;5;3;11680;10;5
9441945;0;8454;10;5;5;8454;10;5
9460152;9;8424;310;1;5;8424;310;1
9464338;0;8437;10;5;5;8437;10;5
9466157;-1;8483;10;4;5;8483;10;4
9470272;9;8411;310;1;5;8411;310;1
9473856;-1;8441;10;4;5;8441;10;4
9488677;9;24316;310;1;5;24316;310;1
9495365;9;11678;310;1;5;11678;310;1
9497226;-1;24318;10;4;5;24318;10;4
9503593;0;11680;10;5;5;11680;10;5
9504324;9;8424;310;1;5;8424;310;1
9504566;-1;8439;10;4;5;8439;10;4
9510846;-1;8454;10;4;4; ; ; 
9533261;-1;8441;10;4;5;8441;10;4
9535180;-1;8433;10;4;7; ; ; 
9535446;9;8429;310;1;6;8429;310;1
9536867;9;8427;310;1;5;8427;310;1
9536885;1;24329;110;1;5;24329;110;1
9548099;9;8455;310;1;5;8455;310;1
9551904;0;24311;10;5;4; ; ; 
9561141;9;8425;310;1;7; ; ; 
9561374;9;8430;310;1;5;8430;310;1
9582497;-1;8457;10;4;5;8457;10;4
9607962;-1;24318;10;4;3;24318;10;4
9616794;-1;8458;10;4;5;8458;10;4
9639785;9;8425;310;1;5;8425;310;1
9652759;0;8455;10;5;5;8455;10;5
9661803;-1;16895;10;4;4; ; ; 
9662618;9;8427;310;1;5;8427;310;1
9671395;9;24307;310;1;5;24307;310;1
9691936;-1;8441;10;4;5;8441;10;4
9692406;9;8474;310;1;5;8474;310;1
9706811;1;11687;110;1;7; ; ; 
9717859;0;8441;10;5;7;8458;10;5
9723029;1;24311;110;1;5;24311;110;1
9731570;9;8425;310;1;3;8425;310;1
9739359;-1;24318;10;4;5;24318;10;4
9745519;9;8424;310;1;4; ; ; 
9753876;1;24302;110;1;5;24302;110;1
9763548;-1;24318;10;4;5;24318;10;4
9768712;-1;24318;10;4;5;24318;10;4
9770134;-1;8436;10;4;5;8436;10;4
9774930;-1;24305;10;4;5;24305;10;4
9785988;-1;8439;10;4;5;8439;10;4
9786407;9;24316;310;1;5;24316;310;1
9804150;0;8439;10;5;3;8439;10;5
9811162;9;8424;310;1;5;8424;310;1
9819545;0;24311;10;5;3;24311;10;5
9819575;9;8425;310;1;4; ; ; 
9819819;9;8474;310;1;5;8474;310;1
9820338;0;8458;10;5;4; ; ; 
9820806;9;8425;310;1;5;8425;310;1
9828043;9;8425;310;1;5;8425;310;1
9841379;9;8429;310;1;5;8429;310;1
9842715;1;24327;110;1;5;24327;110;1
9856017;9;8427;310;1;5;8427;310;1
9897985;-1;8441;10;4;4; ; ; 
9906594;-1;24307;10;4;5;24307;10;4
9909401;0;8442;10;5;4; ; ; 
9909853;-1;24329;10;4;3;24329;10;4
9921748;-1;24318;10;4;5;24318;10;4
9922787;9;8430;310;1;5;8430;310;1
9939990;-1;24329;10;4;5;24329;10;4
9945485;9;8474;310;1;3;8474;310;1
9945569;9;24300;310;1;5;24300;310;1
9979574;-1;8454;10;4;5;8454;10;4
9992061;-1;8458;10;4;5;8458;10;4
9993997;-1;8433;10;4;4; ; ; 
10003217;9;8425;310;1;7;8455;310;1
10003534;-1;8457;10;4;5;8457;10;4
10013219;-1;8421;10;4;5;8421;10;4
10027276;-1;8449;10;4;5;8449;10;4
10030134;-1;8454;10;4;5;8454;10;4
10046258;9;8474;310;1;5;8474;310;1
10066822;-1;24307;10;4;6;24307;10;4
10090518;-1;24307;10;4;5;24307;10;4
10092615;9;8457;310;1;3;8457;310;1
10107940;1;8444;110;1;4; ; ; 
10130107;9;24316;310;1;5;24316;310;1
10130617;0;8483;10;5;3;8483;10;5
10133810;0;8458;10;5;5;8458;10;5
10186433;-1;24318;10;4;5;24318;10;4
10190886;0;8475;10;5;5;8475;10;5
10195480;7;8458;110;7;5;8458;110;7
10198815;9;8430;310;1;5;8430;310;1
10198970;-1;8413;10;4;5;8413;10;4
10206889;7;8454;110;7;3;8454;110;7
10216062;-1;8433;10;4;5;8433;10;4
10223911;9;8424;310;1;5;8424;310;1
10226965;0;8454;10;5;5;8454;10;5
10228264;-1;24334;10;4;5;24334;10;4
10234018;9;8411;310;1;5;8411;310;1
10238317;9;8429;310;1;5;8429;310;1
10239281;-1;8458;10;4;5;8458;10;4
10245467;9;8474;310;1;3;8474;310;1
10245990;9;24305;310;1;4; ; ; 
10277581;0;8442;10;5;6;24305;10;5
10283793;-1;24302;10;4;5;24302;10;4
10296328;9;24316;310;1;5;24316;310;1
10305376;0;24329;10;5;5;24329;10;5
10309536;-1;8454;10;4;3;8454;10;4
10311538;9;24319;310;1;5;24319;310;1
10325443;-1;24338;10;4;3;24338;10;4
10332441;-1;24334;10;4;3;24334;10;4
10342127;-1;8413;10;4;5;8413;10;4
10352362;9;8425;310;1;5;8425;310;1
10366110;0;8434;10;5;5;8434;10;5
10370909;-1;8422;10;4;3;8422;10;4
10373621;-1;24338;10;4;4; ; ; 
10376927;-1;8415;10;4;3;8415;10;4
10419345;0;8436;10;5;4; ; ; 
10428316;9;8424;310;1;5;8424;310;1
10433016;-1;8454;10;4;5;8454;10;4
10456946;9;8430;310;1;7; ; ; 
10459555;9;24316;310;1;5;24316;310;1
10463031;-1;8442;10;4;5;8442;10;4
10473539;-1;8442;10;4;3;8442;10;4
10481742;7;8417;110;7;4; ; ; 
10491704;0;8433;10;5;7; ; ; 
10493946;-1;11678;10;4;5;11678;10;4
10502909;9;8411;310;1;3;8411;310;1
10502910;9;8427;310;1;3;8427;310;1
10506599;-1;8434;10;4;5;8434;10;4
10520590;-1;24313;10;4;3;24313;10;4
10525941;-1;8436;10;4;3;8436;10;4
10535105;-1;8422;10;4;5;8422;10;4
10536213;0;8458;10;5;5;8458;10;5
10536579;9;8427;310;1;5;8427;310;1
10538767;0;8454;10;5;5;8454;10;5
10556371;9;24316;310;1;5;24316;310;1
10563790;-1;8458;10;4;5;8458;10;4
10573943;-1;8421;10;4;5;8421;10;4
10575169;-1;8450;10;4;5;8450;10;4
10575687;-1;8442;10;4;5;8442;10;4
10585108;0;8444;10;5;4; ; ; 
10585408;9;8430;310;1;4; ; ; 
10587034;9;8427;310;1;5;8427;310;1
10593233;-1;24318;10;4;5;24318;10;4
10606199;9;24327;310;1;5;24327;310;1
10609683;0;8475;10;5;5;8475;10;5
10611318;-1;8421;10;4;5;8421;10;4
10614854;-1;24307;10;4;5;24307;10;4
10619959;0;8442;10;5;7;11678;10;5
10626883;-1;24313;10;4;5;24313;10;4
10627583;9;8425;310;1;7;8424;310;1
10631702;0;8439;10;5;5;8439;10;5
10636357;-1;8433;10;4;3;8433;10;4
10639172;9;24300;310;1;5;24300;310;1
10639754;9;24329;310;1;3;24329;310;1
10644946;-1;8458;10;4;5;8458;10;4
10652893;0;8454;10;5;5;8454;10;5
10652967;1;8444;110;1;5;8444;110;1
10664642;-1;8442;10;4;5;8442;10;4
10666280;-1;8434;10;4;5;8434;10;4
10675824;0;24302;10;5;5;24302;10;5
10676908;0;11680;10;5;5;11680;10;5
10678641;9;24316;310;1;5;24316;310;1
10686464;9;8424;310;1;5;8424;310;1
10692921;-1;8439;10;4;5;8439;10;4
10695616;-1;11680;10;4;3;11680;10;4
10707163;-1;24329;10;4;5;24329;10;4
10711523;-1;8454;10;4;5;8454;10;4
10712908;-1;8458;10;4;6;8454;10;4
10724466;1;8439;110;1;5;8439;110;1
10742266;1;24327;110;1;6;24327;110;1
10743137;7;8424;110;7;5;8424;110;7
10746461;-1;24307;10;4;5;24307;10;4
10766803;1;8435;110;1;5;8435;110;1
10775939;9;8411;310;1;5;8411;310;1
10781383;0;8455;10;5;5;8455;10;5
10811366;9;8411;310;1;4; ; ; 
10824302;0;8442;10;5;5;8442;10;5
10833871;1;24319;110;1;7; ; ; 
10848599;9;24327;310;1;5;24327;310;1
10853906;0;8442;10;5;5;8442;10;5
10861241;0;24313;10;5;4; ; ; 
10863403;-1;24307;10;4;5;24307;10;4
10869648;9;8424;310;1;5;8424;310;1
10872475;-1;8442;10;4;5;8442;10;4
10873591;-1;8441;10;4;5;8441;10;4
10873624;0;8444;10;5;5;8444;10;5
10876418;9;8429;310;1;7; ; ; 
10886836;-1;8454;10;4;5;8454;10;4
10888780;0;8412;10;5;6;8412;10;5
10892967;1;24317;110;1;5;24317;110;1
10896731;9;24300;310;1;5;24300;310;1
10910565;1;11678;110;1;5;11678;110;1
10917177;0;11680;10;5;5;11680;10;5
10924086;9;8429;310;1;5;8429;310;1
10927381;9;24316;310;1;5;24316;310;1
10936050;-1;11687;10;4;5;11687;10;4
10940016;0;8449;10;5;3;8449;10;5
10964386;9;8429;310;1;5;8429;310;1
10967454;-1;24338;10;4;5;24338;10;4
10967823;-1;8412;10;4;5;8412;10;4
10969108;9;8474;310;1;3;8474;310;1
11000002;0;11678;10;5;4; ; ; 
11004670;9;8411;310;1;3;8411;310;1
11007995;0;8479;10;5;5;8479;10;5
11017297;0;8439;10;5;7;24329;10;5
11024376;-1;24305;10;4;5;24305;10;4
11066820;9;8429;310;1;5;8429;310;1
11069918;9;8424;310;1;5;8424;310;1
11071304;1;11678;110;1;5;11678;110;1
11090473;1;24327;110;1;5;24327;110;1
11094183;9;24300;310;1;3;24300;310;1
11095125;-1;8441;10;4;5;8441;10;4
11101405;1;8444;110;1;4; ; ; 
11105566;9;24316;310;1;5;24316;310;1
11111152;-1;24329;10;4;5;24329;10;4
11114726;9;8474;310;1;3;8474;310;1
11127517;9;8429;310;1;3;8429;310;1
11139251;9;8454;310;1;5;8454;310;1
11141497;-1;16895;10;4;5;16895;10;4
11150101;1;24302;110;1;5;24302;110;1
11170728;9;8424;310;1;3;8424;310;1
11171172;-1;8412;10;4;5;8412;10;4
11173627;9;8411;310;1;3;8411;310;1
11174718;-1;24318;10;4;5;24318;10;4
11178531;-1;24307;10;4;3;24307;10;4
11193219;-1;8449;10;4;3;8449;10;4
11193413;9;24327;310;1;7;8424;310;1
11210841;0;8442;10;5;7; ; ; 
11216250;9;8425;310;1;4; ; ; 
11219992;-1;24313;10;4;5;24313;10;4
11227686;-1;24338;10;4;5;24338;10;4
11233826;1;8458;110;1;5;8458;110;1
11243038;-1;8475;10;4;3;8475;10;4
11247156;-1;8475;10;4;3;8475;10;4
11253810;-1;24329;10;4;6;24305;10;4
11257962;9;8425;310;1;3;8425;310;1
11263995;-1;8442;10;4;4; ; ; 
11270024;-1;8421;10;4;3;8421;10;4
11273870;9;8425;310;1;7; ; ; 
11286829;9;8411;310;1;3;8411;310;1
11290516;7;24317;110;7;5;24317;110;7
11301081;9;24316;310;1;5;24316;310;1
11312266;1;24319;110;1;5;24319;110;1
11321416;-1;24338;10;4;5;24338;10;4
11324630;9;8411;310;1;5;8411;310;1
11337105;-1;8412;10;4;5;8412;10;4
11341576;1;8436;110;1;5;8436;110;1
11348562;9;8425;310;1;5;8425;310;1
11351654;9;24316;310;1;4; ; ; 
11357518;9;8425;310;1;3;8425;310;1
11360957;-1;8413;10;4;5;8413;10;4
11386537;-1;8438;10;4;3;8438;10;4
11395551;1;24311;110;1;4; ; ; 
11406717;0;11680;10;5;5;11680;10;5
11406903;9;8427;310;1;5;8427;310;1
11458636;0;8439;10;5;7;24338;10;5
11465732;-1;8457;10;4;5;8457;10;4
11479722;-1;8438;10;4;3;8438;10;4
11482951;1;24329;110;1;5;24329;110;1
11495911;0;8455;10;5;5;8455;10;5
11497657;-1;24329;10;4;5;24329;10;4
11499989;-1;11678;10;4;3;11678;10;4
11507244;1;24329;110;1;5;24329;110;1
11509599;1;24319;110;1;5;24319;110;1
11515319;9;8425;310;1;7;8424;310;1
11516340;-1;24329;10;4;5;24329;10;4
11521277;9;24316;310;1;4; ; ; 
11521280;9;8425;310;1;4; ; ; 
11522138;9;8427;310;1;3;8427;310;1
11525747;0;8413;10;5;5;8413;10;5
11541829;9;8427;310;1;5;8427;310;1
11567200;-1;8458;10;4;3;8458;10;4
11567362;0;8455;10;5;5;8455;10;5
11569183;9;8411;310;1;5;8411;310;1
11595493;-1;8449;10;4;5;8449;10;4
11602066;-1;8483;10;4;5;8483;10;4
11603086;0;8454;10;5;6;24329;10;5
11607980;1;24311;110;1;5;24311;110;1
11612345;7;24318;110;7;6;8457;110;7
11615649;9;8424;310;1;5;8424;310;1
11619378;0;24313;10;5;5;24313;10;5
11625901;-1;8439;10;4;7;24307;10;4
11646770;-1;24317;10;4;5;24317;10;4
11650651;9;8427;310;1;5;8427;310;1
11661945;9;8411;310;1;5;8411;310;1
11671501;0;24329;10;5;5;24329;10;5
11672142;-1;8433;10;4;4; ; ; 
11672848;0;8437;10;5;5;8437;10;5
11686595;-1;16895;10;4;3;16895;10;4
11697449;0;8454;10;5;5;8454;10;5
11701178;0;8458;10;5;3;8458;10;5
11704972;1;8439;110;1;7; ; ; 
11716649;-1;24318;10;4;5;24318;10;4
11717917;9;24319;310;1;5;24319;310;1
11721341;9;24338;310;1;5;24338;310;1
11745602;9;24316;310;1;3;24316;310;1
11749402;9;8427;310;1;7; ; ; 
11755329;7;8458;110;7;5;8458;110;7
11757000;9;24327;310;1;5;24327;310;1
11758315;-1;8435;10;4;5;8435;10;4
11759221;-1;8483;10;4;3;8483;10;4
11761202;0;8439;10;5;3;8439;10;5
11779674;-1;24318;10;4;5;24318;10;4
11780480;1;8434;110;1;5;8434;110;1
11796403;0;8420;10;5;3;8420;10;5
11797623;9;24319;310;1;3;24319;310;1
11806785;-1;8412;10;4;5;8412;10;4
11813228;-1;16895;10;4;4; ; ; 
11828387;-1;24307;10;4;4; ; ; 
11830331;-1;24329;10;4;3;24329;10;4
11834807;-1;8433;10;4;5;8433;10;4
11840102;-1;24313;10;4;5;24313;10;4
11842186;-1;24313;10;4;5;24313;10;4
11854478;-1;8442;10;4;5;8442;10;4
11859352;9;24319;310;1;5;24319;310;1
11866410;-1;8413;10;4;5;8413;10;4
11875764;9;24300;310;1;3;24300;310;1
11879439;9;8411;310;1;5;8411;310;1
11884956;1;8413;110;1;7;24317;110;1
11912870;-1;24318;10;4;5;24318;10;4
11914217;7;8442;110;7;6;8442;110;7
11922673;-1;8415;10;4;5;8415;10;4
11924530;9;24316;310;1;3;24316;310;1
11929243;1;24311;110;1;7; ; ; 
11930597;-1;24329;10;4;5;24329;10;4
11932935;-1;24313;10;4;5;24313;10;4
11952835;-1;24329;10;4;5;24329;10;4
11956513;9;8427;310;1;4; ; ; 
11957469;9;8424;310;1;5;8424;310;1
11959740;9;8427;310;1;5;8427;310;1
11962353;-1;8439;10;4;7; ; ; 
11964654;7;8412;110;7;3;8412;110;7
11967743;0;8454;10;5;5;8454;10;5
11981126;0;8457;10;5;5;8457;10;5
11999496;-1;8415;10;4;5;8415;10;4
11999989;0;24317;10;5;5;24317;10;5
12010596;1;8433;110;1;5;8433;110;1
12015599;-1;24318;10;4;5;24318;10;4
12039785;9;24300;310;1;3;24300;310;1
12055632;9;8474;310;1;5;8474;310;1
12057590;9;8430;310;1;5;8430;310;1
12063984;-1;8457;10;4;5;8457;10;4
12082818;0;24305;10;5;3;24305;10;5
12088346;9;8454;310;1;5;8454;310;1
12090775;9;24316;310;1;5;24316;310;1
12096389;1;8483;110;1;5;8483;110;1
12097284;-1;11678;10;4;5;11678;10;4
12101087;-1;8421;10;4;5;8421;10;4
12103562;-1;24338;10;4;6;24338;10;4
12108352;-1;8434;10;4;5;8434;10;4
12115734;9;24300;310;1;5;24300;310;1
12118033;-1;8483;10;4;3;8483;10;4
12119576;-1;24318;10;4;5;24318;10;4
12121841;-1;8421;10;4;5;8421;10;4
12133764;9;8454;310;1;5;8454;310;1
12147909;7;11678;110;7;4; ; ; 
12155356;0;24302;10;5;5;24302;10;5
12158811;9;8429;310;1;5;8429;310;1
12158873;0;8475;10;5;5;8475;10;5
12169576;1;8417;110;1;5;8417;110;1
12170950;9;24316;310;1;5;24316;310;1
12178339;-1;8433;10;4;3;8433;10;4
12189368;-1;24307;10;4;5;24307;10;4
12198561;-1;24313;10;4;5;24313;10;4
12201687;-1;24329;10;4;5;24329;10;4
12217305;-1;8435;10;4;5;8435;10;4
12218406;9;24327;310;1;5;24327;310;1
12219274;-1;24318;10;4;5;24318;10;4
12219518;-1;8458;10;4;5;8458;10;4
12220377;-1;8412;10;4;4; ; ; 
12226471;7;24338;110;7;6;24338;110;7
12233173;0;8454;10;5;5;8454;10;5
12237987;-1;8441;10;4;5;8441;10;4
12239616;1;8455;110;1;5;8455;110;1
12241751;9;8411;310;1;3;8411;310;1
12242234;-1;11678;10;4;5;11678;10;4
12252913;-1;24311;10;4;4; ; ; 
12257892;0;8442;10;5;3;8442;10;5
12260205;9;24319;310;1;5;24319;310;1
12261186;-1;8433;10;4;3;8433;10;4
12269185;9;24316;310;1;4; ; ; 
12272132;7;24313;110;7;3;24313;110;7
12287640;-1;8458;10;4;6;8458;10;4
12297425;-1;8457;10;4;5;8457;10;4
12307097;7;8454;110;7;5;8454;110;7
12308021;-1;8458;10;4;5;8458;10;4
12309887;9;8425;310;1;7; ; ; 
12314341;9;24307;310;1;5;24307;310;1
12325973;9;8427;310;1;5;8427;310;1
12329160;0;11678;10;5;5;11678;10;5
12330083;9;24327;310;1;5;24327;310;1
12340846;1;24327;110;1;5;24327;110;1
12342191;1;24313;110;1;5;24313;110;1
12343325;7;8457;110;7;4; ; ; 
12344182;7;8424;110;7;5;8424;110;7
12345658;0;8435;10;5;4; ; ; 
12349053;-1;8475;10;4;3;8475;10;4
12356348;0;8454;10;5;3;8454;10;5
12369618;0;8442;10;5;3;8442;10;5
12376350;-1;8434;10;4;5;8434;10;4
12376764;0;8455;10;5;5;8455;10;5
12380007;-1;11687;10;4;7;24338;10;4
12383246;-1;24318;10;4;5;24318;10;4
12383514;9;8425;310;1;5;8425;310;1
12392719;9;8425;310;1;5;8425;310;1
12396729;-1;24313;10;4;5;24313;10;4
12401374;0;8455;10;5;5;8455;10;5
12416535;1;8458;110;1;6;8455;110;1
12427515;-1;8437;10;4;4; ; ; 
12430767;9;24319;310;1;7; ; ; 
12437748;-1;8457;10;4;5;8457;10;4
12440478;-1;24334;10;4;5;24334;10;4
12441788;9;24329;310;1;5;24329;310;1
12445585;-1;24307;10;4;5;24307;10;4
12445979;9;24316;310;1;5;24316;310;1
12452544;1;24311;110;1;5;24311;110;1
12461907;1;8433;110;1;4; ; ; 
12463286;-1;24318;10;4;5;24318;10;4
12463880;9;8424;310;1;5;8424;310;1
12477195;1;8482;110;1;5;8482;110;1
12485042;-1;24329;10;4;7;8454;10;4
12488398;-1;8449;10;4;5;8449;10;4
12489319;0;8455;10;5;5;8455;10;5
12518232;1;8441;110;1;4; ; ; 
12524072;9;8427;310;1;5;8427;310;1
12529429;-1;8433;10;4;5;8433;10;4
12533979;1;24327;110;1;6;24327;110;1
12538506;-1;8434;10;4;5;8434;10;4
12553750;-1;8458;10;4;3;8458;10;4
12558359;0;8433;10;5;6;8433;10;5
12564830;1;8439;110;1;5;8439;110;1
12565071;-1;8437;10;4;3;8437;10;4
12569306;-1;11680;10;4;5;11680;10;4
12570375;-1;8441;10;4;5;8441;10;4
12571474;9;8429;310;1;5;8429;310;1
12571648;9;8429;310;1;3;8429;310;1
12572064;-1;8438;10;4;5;8438;10;4
12582184;1;8433;110;1;4; ; ; 
12582274;-1;24307;10;4;4; ; ; 
12588259;0;8442;10;5;4; ; ; 
12591419;-1;24307;10;4;3;24307;10;4
12592381;-1;8458;10;4;5;8458;10;4
12602319;1;8415;110;1;6;8415;110;1
12605034;-1;8437;10;4;3;8437;10;4
12611531;7;24313;110;7;5;24313;110;7
12613346;-1;24313;10;4;5;24313;10;4
12618064;9;11678;310;1;5;11678;310;1
12628551;-1;11678;10;4;5;11678;10;4
12629179;9;8429;310;1;4; ; ; 
12630089;-1;24338;10;4;3;24338;10;4
12632287;-1;24318;10;4;7; ; ; 
12642284;-1;24307;10;4;5;24307;10;4
12644886;0;8415;10;5;7; ; ; 
12652309;0;8433;10;5;7;24313;10;5
12670758;0;8444;10;5;6;8444;10;5
