mrun;nivel;rbd_admitido;cod_ense_admitido;cod_grado_admitido;respuesta_postulante;rbd_admitido_post_resp;cod_ense_admitido_post_resp;cod_grado_admitido_post_resp
4999460;-1;8436;10;4;3;8436;10;4
5007580;1;8441;110;1;3;8441;110;1
5017131;9;8427;310;1;5;8427;310;1
5020897;0;8437;10;5;5;8437;10;5
5029820;1;24329;110;1;5;24329;110;1
5038100;9;24316;310;1;5;24316;310;1
5039785;-1;8475;10;4;3;8475;10;4
5042528;-1;24338;10;4;4; ; ; 
5043643;1;8434;110;1;3;8434;110;1
5054634;1;8436;110;1;5;8436;110;1
5064227;9;8425;310;1;4; ; ; 
5074028;1;8439;110;1;5;8439;110;1
5097792;1;24311;110;1;7;24327;110;1
5098222;-1;8442;10;4;5;8442;10;4
5100694;-1;8442;10;4;5;8442;10;4
5108788;-1;8422;10;4;5;8422;10;4
5111089;-1;24318;10;4;5;24318;10;4
5117606;1;8436;110;1;5;8436;110;1
5148635;-1;8437;10;4;3;8437;10;4
5155356;9;24300;310;1;3;24300;310;1
5159287;0;8433;10;5;6;24305;10;5
5160927;-1;8458;10;4;5;8458;10;4
5175306;-1;24307;10;4;3;24307;10;4
5190357;7;8415;110;7;5;8415;110;7
5196414;0;8454;10;5;3;8454;10;5
5198711;1;24319;110;1;3;24319;110;1
5199113;9;8430;310;1;7;24319;310;1
5200988;0;8434;10;5;5;8434;10;5
5218770;9;8474;310;1;5;8474;310;1
5228156;-1;8457;10;4;5;8457;10;4
5231347;0;8449;10;5;5;8449;10;5
5252955;9;8429;310;1;5;8429;310;1
5268401;9;24316;310;1;3;24316;310;1
5271129;0;8441;10;5;7;8458;10;5
5274140;9;8474;310;1;5;8474;310;1
5278136;7;16895;110;7;3;16895;110;7
5282385;-1;8435;10;4;7; ; ; 
5293876;-1;24313;10;4;5;24313;10;4
5301424;-1;8483;10;4;5;8483;10;4
5305567;9;8474;310;1;5;8474;310;1
5330673;0;8436;10;5;7; ; ; 
5335619;9;8411;310;1;3;8411;310;1
5344413;1;8422;110;1;5;8422;110;1
5352829;0;8413;10;5;7; ; ; 
5370278;1;8439;110;1;7;24311;110;1
5374665;0;8455;10;5;5;8455;10;5
5380282;7;8454;110;7;3;8454;110;7
5413664;-1;8412;10;4;5;8412;10;4
5428359;9;8427;310;1;4; ; ; 
5435642;9;24300;310;1;7; ; ; 
5455984;1;24311;110;1;3;24311;110;1
5466811;1;24319;110;1;5;24319;110;1
5466977;-1;8420;10;4;5;8420;10;4
5495840;-1;8454;10;4;5;8454;10;4
5499199;-1;8441;10;4;7;24329;10;4
5499724;9;8425;310;1;7; ; ; 
5502969;9;24300;310;1;5;24300;310;1
5508763;0;8442;10;5;4; ; ; 
5515552;9;24319;310;1;5;24319;310;1
5517550;9;8425;310;1;5;8425;310;1
5518176;1;8422;110;1;7; ; ; 
5551532;7;8458;110;7;7; ; ; 
5552216;-1;11678;10;4;7; ; ; 
5557161;9;8457;310;1;7; ; ; 
5572239;9;8454;310;1;5;8454;310;1
5575851;9;8429;310;1;5;8429;310;1
5577551;1;8436;110;1;5;8436;110;1
5587253;1;8433;110;1;7;8455;110;1
5599582;-1;8457;10;4;5;8457;10;4
5610755;9;8474;310;1;5;8474;310;1
5632519;0;24311;10;5;3;24311;10;5
5635469;-1;8442;10;4;5;8442;10;4
5645049;0;8454;10;5;3;8454;10;5
5672357;0;24329;10;5;7; ; ; 
5675269;-1;8412;10;4;5;8412;10;4
5680102;-1;8442;10;4;5;8442;10;4
5693057;0;8439;10;5;3;8439;10;5
5700703;1;8444;110;1;5;8444;110;1
5700976;9;8424;310;1;5;8424;310;1
5715838;9;8429;310;1;5;8429;310;1
5715867;7;8424;110;7;5;8424;110;7
5720390;0;8433;10;5;3;8433;10;5
5726479;9;8427;310;1;5;8427;310;1
5735440;-1;11678;10;4;4; ; ; 
5738875;-1;8438;10;4;5;8438;10;4
5741730;-1;8433;10;4;6;24305;10;4
5748835;-1;8475;10;4;3;8475;10;4
5772530;0;8434;10;5;5;8434;10;5
5779446;9;8424;310;1;5;8424;310;1
5788245;-1;8457;10;4;5;8457;10;4
5812506;1;8444;110;1;3;8444;110;1
5830147;9;8429;310;1;5;8429;310;1
5832762;-1;8433;10;4;6;24318;10;4
5837031;9;24316;310;1;5;24316;310;1
5840946;9;8425;310;1;5;8425;310;1
5846833;1;8442;110;1;6;8442;110;1
5857797;0;8458;10;5;5;8458;10;5
5862846;7;8413;110;7;5;8413;110;7
5866369;1;24327;110;1;5;24327;110;1
5880167;-1;11687;10;4;5;11687;10;4
5880879;-1;24305;10;4;4; ; ; 
5886570;1;24319;110;1;3;24319;110;1
5893527;0;8442;10;5;5;8442;10;5
5900644;-1;8454;10;4;5;8454;10;4
5902721;9;8430;310;1;5;8430;310;1
5909371;0;24302;10;5;3;24302;10;5
5924755;-1;8421;10;4;5;8421;10;4
5932962;0;8435;10;5;7;8458;10;5
5935657;0;8455;10;5;3;8455;10;5
5935700;0;8439;10;5;5;8439;10;5
5937699;1;8442;110;1;7; ; ; 
5942262;9;8425;310;1;5;8425;310;1
5956003;-1;8437;10;4;5;8437;10;4
5966705;-1;24302;10;4;5;24302;10;4
5971613;-1;8458;10;4;5;8458;10;4
5983737;1;24313;110;1;5;24313;110;1
