mrun;rbd_admitido_geo_con_error;orden_postulantes
5283;8457;2254
12406;8422;1088
18586;24305;744
44981;8411;2707
57159;8439;2448
58727;8427;513
68038;8422;3399
88661;8442;3390
104064;8441;578
104614;8421;2695
107415;8458;762
113213;11678;2594
125447;8458;2600
126238;11687;2528
142772;8424;3392
149440;24317;1900
161320;11678;163
162650;8427;895
167709;8442;1701
172515;16895;2321
201194;8454;769
201891;24300;3064
222230;8450;846
226397;24316;583
232780;8454;3362
264726;8458;1498
279322;24305;2985
284555;24313;3189
291892;8429;239
307440;8421;1674
331447;24319;3123
353847;8448;2572
359194;24305;980
379056;8435;2403
379139;8454;2893
390115;8436;1167
399210;11678;368
420921;8429;1221
422370;8424;1155
443134;8457;2997
444757;24313;518
451226;8412;1441
452098;8439;2737
457907;8411;3271
462049;24327;2289
463089;24329;761
464891;8455;2300
468826;8412;2322
499192;8424;703
500774;11687;2610
524187;8439;2675
526488;8483;1008
565108;24329;1656
569340;8437;161
573647;8438;240
576951;24327;3160
577844;8458;2689
581418;8425;284
596350;8442;864
606372;8413;2150
615503;24307;2515
635479;8444;1787
636466;24318;1937
644193;8436;654
651822;8429;1606
658517;24318;50
667398;8449;2134
672754;8442;732
673405;8441;1851
680210;24329;553
681559;11687;777
685648;8430;3393
693547;8441;2923
693593;24338;2601
700194;8424;1029
701460;8424;1908
710788;8417;1629
715445;24316;431
729270;24307;1624
733805;8433;316
735075;24300;272
735981;8412;1974
740769;8413;1746
758028;8454;2262
768654;8442;39
771925;24300;543
790826;8444;1578
807521;8474;2192
815005;24329;867
822731;8439;2665
823920;24329;1874
827484;8425;1038
833209;8454;1890
833458;8421;696
835909;8435;3263
842863;8427;3136
854184;8439;2313
856570;24300;2361
859087;24318;3238
875047;24300;3376
885452;8439;1543
894377;8427;1445
897166;24316;151
898252;24313;1901
899536;8434;516
915104;24316;1326
923657;8454;3047
924076;8439;120
936112;8415;2605
939474;24318;2022
952138;24316;1767
953531;8455;1233
960107;24316;2239
961934;8455;2477
966961;24318;1756
977497;11678;389
993720;8435;3046
1005746;24318;2478
1006389;11678;2669
1012376;8458;2539
1021374;24329;233
1028846;8441;3103
1033074;8444;1561
1034071;8430;2819
1034501;8427;1500
1066094;24329;1099
1081047;11678;3280
1091731;24307;2798
1094209;11680;414
1100171;8435;2438
1102298;8474;1572
1116787;8424;1270
1126339;8411;1117
1129968;24334;3101
1139829;24311;2735
1150351;8458;1047
1153540;8474;2179
1159757;8434;2986
1181351;24305;1
1197352;8457;2027
1207545;11680;1282
1217853;24316;3162
1230885;24318;3293
1232100;8437;2079
1249543;8422;219
1256155;8436;2042
1256646;8442;2822
1258878;8421;2580
1268266;8442;997
1268612;24338;1066
1293977;8455;211
1297390;11680;1030
1301542;8412;2762
1304620;24329;3298
1308011;8424;1831
1309705;8474;2552
1312574;8430;26
1324547;8438;3213
1326134;24307;1548
1329370;8439;2963
1343681;24319;346
1356234;24311;3313
1357068;8457;1579
1358867;8438;322
1360920;24307;906
1365932;24319;931
1369699;24313;720
1373008;24319;699
1376916;24316;1780
1401265;8442;1301
1410278;8430;1892
1413259;11678;512
1422825;24300;2887
1431858;8457;1726
1445276;8430;1061
1451613;24318;2659
1452055;8425;1811
1464643;8442;642
1473382;8434;1069
1484689;8429;1172
1490863;8433;631
1513104;8448;1557
1514269;8438;713
1521460;8442;1402
1546986;8442;2335
1548219;8455;1412
1562693;8454;2603
1589123;8433;3149
