mrun;id_familia;id_bloque;nivel;es_mujer;prioritario;lat_con_error;lon_con_error
5283; ; ;-1;1;0;-53.164433;-70.916664
12406; ; ;-1;1;1;-51.736465;-72.478722
18586; ; ;-1;1;0;-53.151218;-70.93605
44981; ; ;9;1;1;-51.73608;-72.484558
57159; ; ;0;0;0;-53.163223;-70.916862
58727; ; ;9;0;1;-53.166637;-70.934769
68038; ; ;-1;1;1;-51.732906;-72.517212
88661; ; ;-1;0;0;-53.137505;-70.907845
104064;124;124;1;0;1;-53.161266;-70.948441
104614; ; ;0;0;0;-51.737122;-72.482124
107415; ; ;0;1;0;-53.156487;-70.928513
113213; ; ;0;1;0;-53.1311;-70.913513
125447; ; ;-1;1;0;-53.165104;-70.928459
126238;117; ;-1;0;1;-53.162941;-70.91626
142772; ; ;9;1;1;-53.163315;-70.916565
149440; ; ;-1;1;0;-51.728592;-72.494652
161320; ; ;-1;0;0;-53.150211;-70.90139
162650; ; ;9;0;0;-53.164543;-70.917328
167709; ; ;0;1;0;-53.145039;-70.885551
172515; ; ;-1;0;0;-53.295761;-70.367836
201194; ; ;7;0;0;-53.15387;-70.937691
201891; ; ;9;1;1;-51.738102;-72.497818
222230; ; ;-1;1;0;-53.09808;-70.901054
226397; ; ;9;0;1;-53.147736;-70.932205
232780; ; ;0;0;1;-53.161777;-70.908112
264726; ; ;0;1;0;-53.147968;-70.93383
279322; ; ;0;1;0;-53.168991;-70.91832
284555; ; ;-1;1;0;-53.164524;-70.915802
291892;28;28;9;0;0;-53.142872;-70.898979
307440; ; ;-1;1;1;-51.733082;-72.516754
331447; ; ;9;1;0;-53.137978;-70.906548
353847;107;107;7;0;0;-53.181747;-70.925804
359194; ; ;-1;1;0;-53.166225;-70.943275
379056; ; ;-1;1;0;-53.166721;-70.94294
379139;106;106;7;0;1;-53.131462;-70.911621
390115; ; ;0;1;0;-53.157005;-70.903267
399210; ; ;7;1;0;-53.152142;-70.90052
420921;49; ;7;0;0;-53.164097;-70.915962
