mrun;rbd;nivel;cod_ense;cod_grado;preferencia_postulante;agregada_por_continuidad;tipo_prioridad;loteria_original;loteria_ordenada
5283;8457;-1;10;4;2;0;2;27;1
5283;24307;-1;10;4;1;0;7;175;199
5283;24338;-1;10;4;3;0;7;35;46
12406;8413;-1;10;4;2;0;7;35;35
12406;8422;-1;10;4;1;0;7;39;40
18586;8457;-1;10;4;3;0;7;176;177
18586;8458;-1;10;4;4;0;7;233;234
18586;24305;-1;10;4;1;0;7;22;42
18586;24311;-1;10;4;2;0;7;70;71
44981;8411;9;310;1;1;0;7;58;62
44981;24300;9;310;1;2;0;7;42;49
57159;8439;0;10;5;1;0;7;20;22
57159;8444;0;10;5;2;0;7;40;44
58727;8427;9;310;1;1;0;7;122;127
58727;24316;9;310;1;2;0;7;221;222
68038;8412;-1;10;4;2;0;7;116;119
68038;8421;-1;10;4;3;0;4;4;18
68038;8422;-1;10;4;1;0;7;41;42
88661;8442;-1;10;4;2;0;7;75;80
88661;24307;-1;10;4;1;0;7;197;218
88661;24329;-1;10;4;3;0;7;54;60
104064;8439;1;110;1;4;0;7;26;33
104064;8441;1;110;1;2;0;7;22;24
104064;8458;1;110;1;3;0;7;28;37
104064;24318;1;110;1;1;0;7;10;20
104614;8412;0;10;5;2;0;7;22;22
104614;8421;0;10;5;1;0;2;25;8
107415;8441;0;10;5;4;1;1; ;3
107415;8457;0;10;5;3;0;7;52;77
107415;8458;0;10;5;1;0;2;21;5
107415;24307;0;10;5;2;0;7;13;29
113213;8455;0;10;5;2;0;7;82;91
113213;11678;0;10;5;4;0;7;1;12
113213;24307;0;10;5;1;0;7;6;22
113213;24313;0;10;5;3;0;7;57;59
125447;8433;-1;10;4;5;0;7;56;57
125447;8436;-1;10;4;3;0;7;56;58
125447;8458;-1;10;4;1;0;7;81;94
125447;24302;-1;10;4;4;0;7;54;55
125447;24318;-1;10;4;2;0;7;167;167
126238;8439;-1;10;4;2;0;7;97;97
126238;11687;-1;10;4;1;0;7;26;27
142772;8424;9;310;1;3;0;4;12;13
142772;8457;9;310;1;1;0;7;45;55
142772;24316;9;310;1;2;0;7;328;328
149440;8412;-1;10;4;4;0;7;19;41
149440;8421;-1;10;4;3;0;7;117;117
149440;8422;-1;10;4;2;0;7;29;30
149440;24317;-1;10;4;1;0;7;45;46
161320;8454;-1;10;4;3;0;7;133;134
161320;11678;-1;10;4;1;0;7;33;40
161320;24329;-1;10;4;2;0;7;21;34
162650;8424;9;310;1;3;0;7;347;350
162650;8427;9;310;1;1;0;2;144;2
162650;8454;9;310;1;2;0;1;118;15
167709;11680;0;10;5;1;0;7;141;143
167709;24307;0;10;5;2;0;7;77;83
172515;8475;-1;10;4;2;0;7;27;30
172515;16895;-1;10;4;1;0;2;11;2
201194;8454;7;110;7;1;0;7;10;23
201194;24318;7;110;7;3;1;1; ;4
201194;24329;7;110;7;2;0;7;15;18
201891;8421;9;310;1;1;0;2;72;3
201891;24300;9;310;1;2;0;7;118;121
222230;11680;-1;10;4;1;0;7;83;98
222230;24338;-1;10;4;2;0;7;108;111
226397;8424;9;310;1;3;0;7;27;35
226397;8427;9;310;1;2;0;7;155;158
226397;24316;9;310;1;1;0;2;73;3
232780;8454;0;10;5;2;0;4;3;5
232780;8458;0;10;5;1;0;7;78;80
264726;8442;0;10;5;6;0;7;67;70
264726;8455;0;10;5;5;0;7;34;50
264726;8457;0;10;5;3;0;7;49;75
264726;8458;0;10;5;1;0;7;28;35
264726;24307;0;10;5;2;0;7;233;234
264726;24318;0;10;5;4;0;7;9;11
279322;8433;0;10;5;3;0;7;12;17
279322;8434;0;10;5;6;0;7;6;14
279322;8435;0;10;5;15;0;7;12;13
279322;8436;0;10;5;4;0;7;24;27
279322;8437;0;10;5;11;0;7;9;12
279322;8439;0;10;5;16;0;7;41;43
279322;8442;0;10;5;14;0;7;49;52
279322;8455;0;10;5;9;0;7;21;42
279322;8457;0;10;5;5;0;7;67;87
279322;8458;0;10;5;8;0;7;83;84
279322;24302;0;10;5;7;0;7;8;13
279322;24305;0;10;5;1;0;7;4;13
279322;24307;0;10;5;12;0;7;107;111
279322;24311;0;10;5;2;0;7;28;33
279322;24318;0;10;5;10;0;7;13;15
279322;24338;0;10;5;13;0;7;39;44
284555;8457;-1;10;4;3;0;7;1;15
284555;24307;-1;10;4;2;0;7;262;277
284555;24313;-1;10;4;1;0;7;43;52
291892;8429;9;310;1;2;0;7;261;265
291892;24307;9;310;1;1;0;7;153;167
291892;24327;9;310;1;3;1;1; ;2
307440;8412;-1;10;4;2;0;7;47;56
307440;8421;-1;10;4;1;0;7;70;76
331447;8455;9;310;1;5;0;7;44;50
331447;11680;9;310;1;6;0;7;13;14
331447;24307;9;310;1;3;0;7;300;310
