mrun_1;mrun_2;mismo_nivel;es_hermano;postula_en_bloque
25750;24398093;0;1;1
26187;13807507;0;1;0
26187;22352940;0;1;0
44092;15532129;1;1;1
45434;8837600;0;1;0
45809;4839026;0;1;1
45809;12735106;0;1;0
50879;21753098;0;1;1
65616;10599846;0;1;1
66193;23000572;0;1;0
69186;13740483;0;1;0
87045;1374083;0;1;0
94737;2232147;0;1;0
99047;10898125;0;1;0
113381;23485630;0;1;0
119669;21646550;0;1;0
129103;1098210;0;1;0
131645;16630026;0;1;0
144367;560517;0;1;0
144367;11767057;0;1;0
148471;2795321;0;1;1
159981;13428762;0;1;0
170477;20370529;0;1;0
172515;3479091;1;1;1
173167;8045614;0;1;0
174524;5130377;0;1;1
174524;10412535;0;1;1
178315;4376049;0;1;0
178315;6909445;0;1;0
182066;6490196;1;1;1
187974;6342255;0;1;1
191377;18348438;0;1;0
226114;2351192;0;1;1
228197;7705129;1;1;1
232941;23591547;0;1;1
236343;3671110;0;1;1
243135;20977524;0;1;1
243292;13770735;1;1;1
244136;12527957;0;1;0
251109;18055160;0;1;0
251917;17007047;0;1;0
262550;11212222;0;1;0
274736;19558646;0;1;0
275992;8099391;0;1;0
279434;4219825;1;1;1
302788;13546562;0;1;1
302788;22597584;0;1;1
308659;12507322;0;1;1
309144;2840038;0;1;0
309358;10221913;0;1;1
313401;6472241;0;1;0
321477;24930942;0;1;0
322040;24368743;0;1;0
322218;11649260;0;1;0
325670;17140398;1;1;0
333913;18681563;0;1;1
342741;23407894;1;1;1
347466;458226;0;1;1
347737;22558340;0;1;1
359085;17801141;0;1;0
370015;24579709;0;1;0
379260;24497373;0;1;1
383505;17488935;1;1;0
383739;10225621;0;1;1
390167;18408928;0;1;0
405702;19430441;1;1;1
431328;8354370;0;1;0
453696;24195367;0;1;0
457394;7651096;0;1;1
462416;20555650;1;1;1
466761;6196377;0;1;1
470855;656486;0;1;0
472645;2006426;0;1;1
481400;17830278;0;1;0
497031;10442515;1;1;1
524187;14036090;0;1;1
538368;17868006;0;1;0
560517;11767057;0;1;0
563151;17536755;0;1;0
571338;2325844;0;1;1
579653;12671315;0;1;0
581005;24006890;0;1;0
588573;4816779;0;1;1
594892;7999320;0;1;1
594892;9446025;0;1;1
594892;20951780;0;1;1
596263;1129388;0;1;0
597825;5079654;0;1;1
607955;1173262;0;1;1
614653;5504193;0;1;1
619685;18839671;0;1;1
623670;17444950;0;1;0
659195;7382146;0;1;0
670823;12150049;0;1;1
694652;20125639;0;1;1
721557;16789873;0;1;0
721557;24553560;0;1;0
731724;19456054;0;1;1
742731;20182065;0;1;1
762046;14191800;0;1;1
774506;16095630;0;1;0
776198;18602137;0;1;0
788091;20457617;0;1;1
792640;5753055;0;1;0
805976;13064866;0;1;0
815277;2056611;1;1;1
844721;3464811;0;1;1
844842;22437697;1;1;1
844842;24219927;0;1;0
857099;10953280;0;1;0
881080;18787833;0;1;1
888373;1584445;0;1;0
888373;4951334;0;1;0
889686;646724;0;1;1
906663;6095650;0;1;1
910021;20720556;0;1;0
933118;466706;0;1;0
939271;13072536;1;1;1
943448;18264175;1;1;1
945627;9379554;0;1;0
951260;9474739;0;1;1
955730;11304107;0;1;0
971938;23622830;0;1;0
974763;8340215;0;1;0
974763;21898391;0;1;1
992127;16605951;1;1;1
993807;19639960;0;1;0
1017191;11434282;0;1;0
1021409;1272213;0;1;1
1024045;17248182;0;1;0
1025585;11068638;0;1;1
1025585;21081093;0;1;0
1042417;1104731;0;1;1
1043017;22316739;0;1;0
1049444;4355608;1;1;1
1064533;19101062;0;1;1
1080450;18885048;0;1;1
1084123;17428169;0;1;1
1087307;5192106;0;1;0
1100574;24758541;0;1;1
1107786;21880663;0;1;0
1115703;16927366;0;1;1
1121757;20010078;0;1;0
1126949;20730928;0;1;0
1128491;16744344;0;1;1
1155484;5029821;0;1;1
1155484;22454638;0;1;1
1157864;8221611;0;1;1
1189878;9077250;0;1;0
1197485;10240808;0;1;0
1197485;15932140;0;1;0
1197485;22347032;0;1;0
1201118;23779188;0;1;1
1204070;15283767;0;1;0
1208302;22057116;0;1;0
1216093;8153727;0;1;1
1217890;11162773;1;1;1
1226107;23039402;0;1;1
1229751;23472222;0;1;1
1250591;21793967;0;1;1
1254769;4240739;1;1;1
1270825;8544382;0;1;1
1273045;16991433;0;1;1
1288502;17941395;0;1;0
1295683;11504876;0;1;0
1300018;6655398;0;1;1
1301683;20245061;0;1;1
1323806;11812139;0;1;0
1326757;18502176;0;1;0
1329786;4171179;0;1;0
1330674;20657533;1;1;1
1332592;20805667;0;1;1
1361962;13050102;0;1;1
1369699;14834651;0;1;1
1377638;20137901;0;1;0
1381268;24445928;1;1;1
1405034;6766921;0;1;1
1406669;5456239;0;1;0
1423658;15808547;0;1;0
1423658;20814833;0;1;0
1427097;19321871;0;1;1
1432886;10410932;0;1;1
1436681;8480469;1;1;1
1440237;12554891;1;1;1
1447125;7922084;0;1;1
1460677;5385570;0;1;1
1470778;3241776;0;1;1
1485884;19687194;0;1;0
1485884;19753242;0;1;0
1498112;1206696;0;1;1
1512562;8114731;0;1;0
1525654;6440372;0;1;1
1542159;1643261;1;1;0
1556513;15043501;0;1;1
1556513;21379506;0;1;1
1566160;11657739;0;1;1
1573933;13147885;0;1;0
1574298;23802989;1;1;1
1577932;178315;0;1;1
1577932;4376049;0;1;0
1577932;6909445;0;1;0
1578474;12159045;1;1;1
1592065;1037217;0;1;0
1593530;9151152;0;1;1
1594869;22038854;0;1;1
1614064;15726643;0;1;1
1637609;12971972;0;1;0
1637609;18959082;0;1;0
1656094;597825;0;1;1
1656094;5079654;0;1;1
1698776;718947;0;1;1
1717404;21931398;0;1;0
1763381;1525603;0;1;0
1764651;2142814;0;1;1
1786488;11266089;0;1;0
1786488;24275981;0;1;0
1795585;3742097;0;1;1
1807664;23111614;0;1;1
1841474;16619691;0;1;1
1841940;1313944;0;1;1
1849837;23421600;0;1;1
1852730;9317312;0;1;0
1854014;14082106;0;1;0
1880879;5242871;0;1;0
1885020;11082984;0;1;0
1889639;16788261;0;1;1
1894231;9187070;0;1;0
1895156;15766620;0;1;1
1914609;11327327;0;1;0
1917798;3259312;0;1;1
1933270;3869360;0;1;1
1944125;17578030;0;1;0
1944631;1025535;0;1;1
1990817;18011926;1;1;1
1992585;18013684;1;1;1
1999666;9225756;0;1;0
2001455;19795664;0;1;1
2010962;3906353;0;1;1
2011771;12959031;0;1;0
2047200;588066;0;1;0
2060850;364641;0;1;1
2064846;11630996;0;1;1
2067875;20327642;1;1;1
2068514;15419574;0;1;1
2069619;3766574;0;1;0
2072373;14874089;0;1;0
2072444;19092093;0;1;0
2075786;15351054;0;1;1
2075786;17534492;0;1;1
2080199;4903729;0;1;0
2085519;6229863;0;1;1
2094605;17708676;0;1;0
2094605;21405285;0;1;1
2096067;9335245;0;1;0
2108041;18202936;0;1;0
2110211;1701086;0;1;1
2125358;5763285;1;1;1
2129825;21798954;0;1;0
2151257;377838;0;1;0
2152987;10196149;0;1;1
2154342;16221295;0;1;1
2157900;9267342;0;1;1
2158092;555796;1;1;1
2158624;18946877;0;1;1
2160136;13155607;0;1;1
2166129;14339474;0;1;1
2169716;23277704;0;1;0
2169788;15419702;1;1;1
2170557;11999948;0;1;0
2186359;16694318;0;1;1
2189231;13907861;0;1;1
2192847;20922498;0;1;0
2193666;23214092;1;1;0
2202521;24179932;0;1;1
2215562;14391404;0;1;0
2227540;8346524;0;1;1
2227540;16832631;0;1;1
2242904;26759;0;1;1
2246326;6852857;0;1;1
2258459;4164000;1;1;1
2267247;16682639;0;1;0
2283521;20410737;0;1;0
2290967;17066664;0;1;1
2291213;7734562;0;1;1
2309523;7612856;0;1;1
2317307;16837470;1;1;1
2317412;18383454;0;1;1
2317936;15489267;0;1;0
2318138;12428729;0;1;0
2334160;5815443;0;1;1
2335532;347466;0;1;1
2335532;458226;0;1;1
2341587;12690268;1;1;0
2342555;4582364;0;1;0
2362476;24049195;0;1;1
2374178;12471773;0;1;1
2385343;8861516;0;1;0
2407795;8794569;0;1;0
2416544;17450087;0;1;1
2418277;8454898;0;1;0
2418277;22270281;0;1;0
2419063;4886535;1;1;1
2424368;10503540;1;1;0
2427119;7011854;0;1;1
2430989;193165;1;1;1
2434352;17384385;0;1;0
2450544;2682774;0;1;1
2456208;3028284;0;1;1
2474394;12124284;0;1;0
2475558;19508522;0;1;1
2522899;13483920;0;1;0
2537209;24433798;0;1;0
2557971;15904889;0;1;0
2564771;12812883;1;1;1
2569801;20970363;0;1;0
2574675;23936302;1;1;0
2579908;22117984;1;1;1
2612495;22032085;0;1;0
2627744;13198427;0;1;0
2631726;12711424;0;1;0
2641861;4863089;0;1;1
2653502;10562905;1;1;1
2658496;5370387;0;1;1
2664078;16889496;0;1;1
2666254;12642663;0;1;1
2666254;24478863;0;1;1
2682505;7150567;0;1;1
2690773;16504054;0;1;1
2693450;15942617;1;1;1
2720911;14427433;0;1;1
2721979;7252341;0;1;0
2723778;9270314;0;1;1
2736410;1128666;0;1;0
2740931;21086468;0;1;1
2746974;22631342;1;1;1
2755089;5998310;0;1;1
2755089;9430300;0;1;1
2755089;21675039;0;1;1
2758577;8252338;0;1;1
2758577;13911246;0;1;1
2773059;21227785;0;1;0
2774598;13142270;0;1;0
2775973;7148200;0;1;1
2792696;23651390;0;1;0
2792696;23951503;0;1;0
2801715;22738892;0;1;0
2805521;9225552;0;1;1
2807413;5364722;0;1;0
2807413;15163317;0;1;1
2807413;22563880;0;1;1
2814499;24507391;1;1;1
2820968;16662791;0;1;0
2820968;17670623;0;1;0
2833813;16184847;1;1;1
2844823;20569711;0;1;0
2846526;964925;0;1;0
2865407;4482822;0;1;1
2877368;7333300;0;1;0
2887827;19336015;0;1;1
2890101;2707484;0;1;0
2890101;4232489;0;1;0
2906267;10809069;0;1;0
2908570;17996591;0;1;1
2909729;14416077;0;1;0
2922985;10941631;0;1;1
2939573;15536449;0;1;1
2942489;14025175;0;1;1
2942489;24604470;0;1;1
2950494;11885515;0;1;1
2950494;17878380;0;1;1
2961487;9811542;0;1;1
2963282;14469314;0;1;0
2963282;19497416;0;1;0
2963359;230336;0;1;1
2976562;20395933;0;1;0
2985098;4004976;0;1;1
2985098;12356881;0;1;1
2994979;598932;0;1;0
2997018;11659679;0;1;1
3000412;10590330;0;1;1
3017413;7369040;0;1;0
3017413;10738615;0;1;0
3026629;18079784;1;1;1
3040270;20129571;1;1;1
3040939;11009120;0;1;1
3040939;13578185;0;1;0
3042726;5259958;0;1;1
3051339;7516666;0;1;0
3052411;23448788;0;1;1
3065282;11609779;1;1;1
3068804;6085905;0;1;1
3078048;17353268;0;1;1
3101629;10043472;1;1;1
3104937;9760031;0;1;1
3104937;23586245;0;1;1
3114623;18502047;0;1;1
3133415;23369490;0;1;0
3139036;14520444;0;1;0
3158739;11529052;0;1;0
3159694;11372013;0;1;1
3166789;23807005;0;1;0
3179899;10690343;0;1;0
3180728;16187402;0;1;0
3185875;7488987;0;1;0
3188318;20745168;0;1;1
3194362;14379250;0;1;1
3208923;4502998;0;1;0
3216725;1699164;1;1;1
3238771;21579430;0;1;1
3240161;530992;0;1;1
3241203;14039770;0;1;1
3247070;22821704;0;1;1
3248127;16861209;0;1;1
3263327;16920139;0;1;1
3271220;12158553;0;1;0
3291533;18137875;0;1;0
3295863;5905718;0;1;1
3331492;1618267;0;1;0
3332284;9524440;0;1;0
3332609;18717834;1;1;1
3333188;10166670;0;1;1
3336215;18542711;0;1;1
3363714;4083671;0;1;1
3373612;3213829;0;1;0
3375574;8687622;0;1;1
3375772;1828408;0;1;0
3393142;16586466;0;1;1
3393142;22812977;0;1;1
3413103;18800727;0;1;1
3415574;9142909;0;1;1
3422855;11325114;0;1;0
3429728;8821714;0;1;1
3441544;15209206;0;1;0
3450222;23844052;1;1;1
3470481;11502933;0;1;0
3473850;5960526;0;1;0
3479603;10866395;0;1;1
3490379;23249621;1;1;1
3505014;10921505;0;1;1
3508558;15781650;0;1;1
3513835;5426537;0;1;0
3513835;11503877;0;1;0
3514856;5015354;1;1;1
3520331;18643185;0;1;1
3521039;11462585;0;1;1
3522643;21560850;0;1;0
3536469;22331588;0;1;0
3564530;23489488;0;1;0
3585047;8824052;1;1;1
3598456;8656217;0;1;0
3608376;19482655;0;1;1
3610674;14483896;0;1;0
3615955;17110561;0;1;1
3630530;7022656;0;1;0
3636090;14795220;0;1;0
3638361;16859041;0;1;1
3648600;23840781;1;1;1
3654022;14712042;1;1;1
3656857;2341438;0;1;0
3698995;187087;0;1;1
3699528;16790313;0;1;1
3699528;20030195;0;1;0
3705776;17420594;0;1;0
3705776;21475926;0;1;0
3719490;18945832;0;1;0
3721943;3432364;0;1;1
3723910;6693167;0;1;0
3734061;4580190;0;1;1
3753926;8232264;0;1;1
3754163;2067711;0;1;1
3756910;5758309;0;1;0
3759544;1189878;0;1;0
3759544;9077250;0;1;0
3760039;15859183;0;1;1
3771019;23570397;1;1;0
3773492;9445658;1;1;1
3785296;6788417;0;1;1
3796287;16078883;1;1;1
3796552;18876524;0;1;0
3796603;4178489;1;1;1
3803471;9034799;0;1;0
3807105;12535637;0;1;1
3822857;8761065;0;1;0
3828866;6001106;0;1;0
3850564;13281431;0;1;1
3851728;16679574;0;1;1
3851837;24246828;1;1;1
3867862;10958359;0;1;0
3877321;4956111;0;1;1
3877321;9917544;0;1;1
3878777;19482822;0;1;0
3878777;24248899;0;1;0
3889845;2215339;0;1;1
3889845;7744607;0;1;1
3896061;9433740;0;1;1
3917845;17701610;1;1;0
3919299;2615330;0;1;1
3922243;22225905;0;1;1
3933425;24566697;0;1;0
3936238;7332464;0;1;1
3936330;7853195;0;1;1
3938895;2240446;0;1;0
3944341;18334832;1;1;1
3964225;5527592;0;1;0
3965911;20902674;0;1;1
3970417;1562974;1;1;1
3974497;24397782;0;1;1
3982213;5006379;0;1;1
3983355;7129213;0;1;0
3997384;474650;0;1;0
3997384;10453723;0;1;0
4000243;16553811;0;1;1
4003471;9092216;0;1;1
4003471;9860589;0;1;1
4007565;16434213;1;1;1
4014053;18418577;0;1;0
4015974;22448479;0;1;0
4028921;5844012;0;1;1
4030158;962527;0;1;0
4045429;6333773;0;1;0
4047784;3514126;1;1;1
4053502;14636467;0;1;0
4056782;10025605;0;1;0
4057177;24856587;0;1;0
4059582;6720362;0;1;0
4063556;15811513;1;1;1
4068718;226114;0;1;1
4068718;2351192;0;1;1
4080284;3320553;0;1;1
4129269;21781942;0;1;0
4141720;17081121;0;1;1
4142588;2854478;0;1;0
4144194;20515604;0;1;1
4148432;20950406;0;1;1
4156866;13669822;0;1;1
4176690;7181763;0;1;0
4176690;19160695;0;1;0
4199937;19563082;0;1;1
4217524;17018762;0;1;1
4226820;15941048;0;1;1
4232489;2707484;0;1;0
4240122;10750375;0;1;0
4248558;12847290;0;1;0
4262338;9501866;1;1;1
4262561;6902549;0;1;0
4276715;5569022;0;1;1
4277634;7349200;0;1;0
4280319;24040424;0;1;1
4307419;12286223;0;1;1
4308333;20170606;0;1;1
4311017;11387271;0;1;0
4312366;22598958;0;1;0
4362173;13609482;0;1;0
4363699;5167158;0;1;0
4371021;16888736;0;1;1
4378952;24992851;0;1;1
4386128;23943253;1;1;1
4396875;3586277;0;1;0
4404027;11784907;0;1;0
4415160;23971434;0;1;0
4423466;3508558;0;1;1
4423466;15781650;0;1;1
4429909;1742829;0;1;1
4429909;13978039;0;1;1
4429909;24821192;0;1;1
4435723;19822578;1;1;1
4438288;16586065;0;1;0
4447068;10373187;0;1;0
4453399;4276715;0;1;1
4453399;5569022;0;1;1
4462308;7720917;0;1;0
4463539;359617;0;1;1
4466735;4881035;0;1;0
4495999;17104239;0;1;0
4498159;8390818;0;1;1
4504223;22347069;0;1;0
4508184;5576721;1;1;1
4508977;15097048;0;1;0
4516649;15061576;0;1;1
4516649;21439037;0;1;1
4537365;10146133;0;1;1
4554155;5192012;0;1;0
4566427;23193779;0;1;0
4570366;15066454;0;1;0
4572852;20457975;0;1;0
4578206;15356951;0;1;0
4580734;23453276;0;1;0
4583153;22695208;0;1;1
4586712;7458537;1;1;1
4596921;20979523;0;1;1
4610249;2342878;0;1;0
4615937;16467788;0;1;0
4616385;22774351;1;1;0
4621666;6875750;0;1;1
4625256;18907956;0;1;1
4631762;3538157;0;1;1
4632494;8825943;0;1;1
4633680;10562667;1;1;0
4635960;18875431;0;1;1
4683576;8526060;0;1;0
4683576;18614787;0;1;0
4692857;14710421;0;1;1
4726058;18169859;0;1;0
4733056;11676022;1;1;1
4744287;1973170;1;1;1
4744287;8381954;1;1;1
4776882;16164744;0;1;1
4779065;21971129;1;1;1
4782431;21946074;0;1;0
4826141;12910399;1;1;0
4831140;13523588;0;1;1
4836555;16500067;0;1;0
4841538;23124779;0;1;0
4854263;5115927;0;1;0
4858024;14240513;0;1;1
4861594;4497095;0;1;1
4867946;2388052;0;1;1
4868077;58838;1;1;1
4895820;1589657;1;1;1
4898589;21525122;0;1;0
4917340;3917845;0;1;0
4917340;17701610;0;1;0
4917340;22508733;0;1;0
4951334;1584445;1;1;0
4956111;9917544;0;1;1
4961268;17986445;0;1;1
4973047;2139327;0;1;0
4994992;22610411;0;1;1
4996449;17898518;0;1;0
5000466;8378744;0;1;0
5006699;8066888;0;1;0
5012331;23959053;0;1;1
5020354;4158617;0;1;0
5028446;1641829;0;1;0
5029821;22454638;0;1;1
5036313;19121679;0;1;1
5048277;11954067;0;1;0
5048360;3227154;0;1;1
5052797;23486984;0;1;1
5056485;17320841;0;1;1
5060779;2592225;1;1;1
5072824;1590613;0;1;1
5084858;16845540;0;1;1
5087341;10210502;0;1;1
5088093;3445707;0;1;0
5102231;19700090;0;1;0
5110716;20072850;0;1;0
5126962;22452618;0;1;1
5130377;10412535;0;1;1
5131131;17537320;1;1;1
5135135;24939125;0;1;0
5140338;15379097;0;1;0
5159378;11191171;0;1;1
5160645;19416810;0;1;0
5162393;14939420;0;1;1
5190357;4356242;1;1;0
5190401;22895890;0;1;0
5198297;10022112;0;1;1
5211079;4786177;0;1;0
5211079;8756313;0;1;0
5213464;8577843;0;1;0
5214490;24641647;0;1;1
5228790;12243439;0;1;1
5228863;1895156;0;1;0
5228863;15766620;0;1;0
5233380;10538355;0;1;1
5243732;3291219;0;1;0
5266171;7068383;0;1;1
5266920;20695216;0;1;1
5270675;18519792;1;1;1
5305952;24473351;0;1;1
5311472;9305189;0;1;1
5312850;10241806;1;1;0
5336393;24148530;0;1;1
5348662;15531927;0;1;1
5349411;12237215;0;1;1
5364722;15163317;0;1;0
5369109;13858104;0;1;0
5387611;23571825;0;1;0
5390662;13022147;0;1;0
5395860;12516321;0;1;1
5402041;15385525;0;1;0
5408355;3799386;0;1;1
5433749;9402576;0;1;1
5445436;18177282;0;1;0
5448725;2509231;0;1;0
5450669;11135640;0;1;1
5460461;15854665;0;1;1
5473024;7241123;0;1;0
5475295;1590951;0;1;0
5475295;10926308;0;1;0
5477587;5389019;0;1;0
5483290;20233991;1;1;1
5495796;5804041;0;1;1
5503268;18443381;0;1;0
5512559;20620623;0;1;1
5534711;24760002;0;1;0
5539350;23351304;0;1;0
5561097;3616420;0;1;0
5564574;9229021;0;1;0
5579396;439603;1;1;1
5592398;7188445;0;1;1
5592722;23216220;1;1;1
5601475;20877147;0;1;1
5603894;24173720;0;1;1
5605040;8837852;0;1;0
5610839;5076525;1;1;1
5615025;22367174;0;1;1
5620314;1714032;0;1;1
5630997;15807174;0;1;1
5632745;14297122;0;1;1
5632745;16424895;0;1;1
5642558;6602364;0;1;0
5653869;14314763;0;1;0
5666294;24482261;0;1;0
5666702;11230374;0;1;0
5672086;1240488;0;1;1
5673577;22376162;0;1;0
5678014;18091092;0;1;1
5686791;18082455;1;1;1
5721438;13348419;0;1;1
5735152;2493401;0;1;0
5747262;16960524;0;1;1
5763227;23889801;0;1;1
5845019;10724164;1;1;1
5863763;18939045;0;1;1
5863763;20912504;0;1;1
5868241;6175281;0;1;1
5868241;12839285;0;1;1
5879211;12276307;0;1;0
5879211;18340640;0;1;0
5879211;20298717;1;1;0
5884941;5849376;0;1;1
5891706;2851606;0;1;1
5907213;15742499;0;1;0
5915387;8377896;0;1;1
5919223;19150227;0;1;0
5943620;10301202;1;1;1
5948357;8617915;1;1;1
5951542;21924511;0;1;1
5954093;18072950;0;1;0
5978342;1395656;0;1;0
5980926;7149939;1;1;1
5980926;13991679;1;1;1
5998310;9430300;0;1;1
6008866;5266171;0;1;1
6008866;7068383;0;1;1
6018074;6632696;0;1;0
6029607;620;0;1;1
6031488;2499589;0;1;0
6047477;3529958;0;1;0
6061366;23443281;0;1;0
6065473;1987119;0;1;0
6082766;17669;0;1;1
6087656;6682934;0;1;0
6089460;1651885;0;1;0
6093985;4027608;0;1;0
6097848;12096949;0;1;1
6097848;13112288;0;1;1
6102644;3181614;0;1;0
6102941;16249103;1;1;1
6127068;8467732;0;1;0
6147252;333913;0;1;1
6147252;18681563;0;1;1
6151614;8964273;0;1;1
6188012;2658496;0;1;1
6188012;5370387;0;1;1
6190693;1040359;0;1;1
6205515;24573444;0;1;1
6227025;784947;1;1;1
6234279;17319036;0;1;1
6264169;18248727;0;1;0
6265700;18830941;0;1;1
6274295;2115550;0;1;1
6286956;14512704;1;1;1
6290035;8030758;0;1;0
6299787;10493566;0;1;1
6323003;607955;0;1;0
6323003;1173262;0;1;0
6327116;22958023;0;1;1
6334211;10098264;0;1;1
6353023;6864447;0;1;1
6353503;23560865;0;1;1
6372801;2946855;0;1;0
6384455;1590951;0;1;0
6384455;5475295;0;1;0
6384455;10926308;0;1;0
6391205;3601064;0;1;1
6396330;9317852;0;1;0
6400437;23474263;0;1;0
6400437;24015083;0;1;0
6406842;19178386;0;1;1
6410317;16601610;0;1;0
6410317;23119939;1;1;1
6418663;17483212;0;1;1
6425632;7913854;0;1;0
6425632;20713650;0;1;0
6458916;4061727;0;1;0
6476617;5665129;1;1;1
6485540;9588260;1;1;1
6489222;6606284;0;1;0
6495021;10874465;0;1;1
6506106;17028111;0;1;0
6510185;15748393;0;1;0
6518935;13609482;0;1;0
6521308;9725388;1;1;1
6521630;14456178;0;1;1
6523700;22011659;1;1;1
6546714;22798348;0;1;0
6550528;21000716;0;1;1
6551067;17688829;0;1;0
6551067;18959020;0;1;0
6551872;2243078;0;1;1
6556334;8220928;0;1;0
6564145;2317307;0;1;1
6564145;16837470;0;1;1
6565954;23554037;1;1;1
6567430;20208478;0;1;0
6570886;9569778;0;1;1
6614543;3308906;1;1;1
6623435;24246020;0;1;0
6639487;13412660;0;1;1
6664067;14856545;0;1;0
6667201;21904411;1;1;1
6667661;21840092;0;1;0
6668230;13158860;0;1;1
6672524;3916930;0;1;0
6673913;10575264;0;1;0
6673913;15713881;0;1;0
6677356;15779804;1;1;0
6688370;21364233;0;1;0
6690894;1085136;0;1;0
6697136;11256978;0;1;1
6712354;9221614;0;1;1
6713969;15532618;0;1;1
6715638;17428183;0;1;0
6724965;3295863;0;1;0
6724965;5905718;0;1;0
6733124;15128495;0;1;0
6744384;4771737;0;1;0
6772060;15297372;0;1;0
6772060;18227046;0;1;0
6781476;16918012;0;1;1
6802083;18719252;0;1;0
6812884;13682642;1;1;1
6841102;1715800;0;1;0
6852060;19941624;0;1;1
6852838;1387978;0;1;1
6882158;19390997;0;1;0
6894491;19693885;0;1;1
6909445;4376049;0;1;0
6918282;8093920;1;1;0
6961687;1831744;0;1;0
6975253;5287900;0;1;0
6993779;14073534;0;1;1
7012538;6102890;0;1;1
7012599;1072749;0;1;0
7012599;8301793;0;1;0
7016993;14711704;1;1;1
7019911;24732287;0;1;0
7027538;7178787;0;1;0
7036123;13775759;1;1;1
7047433;19430838;0;1;0
7058883;8218031;0;1;0
7058883;15568402;0;1;0
7068394;646724;0;1;1
7068394;889686;0;1;1
7075023;327632;0;1;0
7078047;15966006;0;1;0
7088743;8792104;1;1;1
7088818;12674236;0;1;0
7088818;16606863;0;1;0
7088957;21783945;0;1;1
7131125;13056381;0;1;0
7132765;7686733;0;1;1
7147230;23703088;1;1;1
7154605;19988756;0;1;1
7181763;19160695;1;1;1
7194996;21427382;0;1;1
7214493;6496272;0;1;0
7214493;7856356;0;1;1
7215510;3473850;0;1;0
7215510;5960526;0;1;0
7219600;13285784;0;1;1
7221548;20499425;0;1;1
7227026;11297822;1;1;1
7275690;20603576;0;1;1
7301281;20074457;0;1;1
7301492;23506135;0;1;1
7303144;15295040;0;1;1
7304788;3523449;0;1;1
7311666;14314822;0;1;1
7316785;8645663;0;1;1
7321532;6396330;0;1;1
7321532;9317852;0;1;0
7323134;2478151;0;1;1
7323134;21391833;0;1;1
7327504;1993267;0;1;1
7329670;13984814;0;1;0
7329670;15665667;0;1;0
7329670;18711430;0;1;0
7345850;1873778;0;1;0
7356961;21327704;0;1;1
7375907;20454546;0;1;0
7379539;5049466;1;1;0
7384749;5604342;0;1;1
7393210;1505482;0;1;0
7393210;13894682;0;1;0
7404063;14583346;0;1;1
7417425;5070871;0;1;0
7419323;21888801;0;1;1
7444679;11627978;0;1;0
7448628;5847088;1;1;1
