rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;habilitado_distancia
22;-1;401000000133;10;4;3;0;1;0;0;0;-18,44829;-70,290649;78;8;6;0;0;0;2;1;1
22;0;501000000133;10;5;3;0;1;0;0;0;-18,44829;-70,290649;104;28;0;0;0;0;28;1;1
22;1;111000000133;110;1;3;0;1;0;0;0;-18,44829;-70,290649;105;14;0;0;0;0;14;1;1
22;7;711000000133;110;7;3;0;1;0;0;0;-18,44829;-70,290649;105;1;0;0;0;0;1;1;1
25;-1;401000000133;10;4;3;0;1;0;0;0;-18,440001;-70,293381;44;26;4;0;0;0;22;2;1
25;0;501000000133;10;5;3;0;1;0;0;0;-18,440001;-70,293381;44;2;2;0;0;0;0;2;1
25;1;111000000133;110;1;3;0;1;0;0;0;-18,440001;-70,293381;72;28;0;0;0;0;28;2;0
25;7;711000000133;110;7;3;0;1;0;0;0;-18,440001;-70,293381;72;25;0;0;0;0;25;2;0
25;9;131000000133;310;1;3;0;1;0;0;0;-18,440001;-70,293381;72;16;0;0;0;0;16;2;1
26;-1;401000000131;10;4;1;0;1;0;0;0;-18,48361;-70,300591;25;7;2;0;0;0;5;1;1
26;0;501000000131;10;5;1;0;1;0;0;0;-18,48361;-70,300591;25;12;2;0;0;0;10;1;1
26;1;111000000131;110;1;1;0;1;0;0;0;-18,48361;-70,300591;35;14;1;0;0;0;13;1;1
26;7;711000000131;110;7;1;0;1;0;0;0;-18,48361;-70,300591;35;23;1;0;0;0;22;1;1
27;-1;401000000133;10;4;3;0;1;0;0;0;-18,483049;-70,308029;15;1;1;0;0;0;0;1;1
27;0;501000000133;10;5;3;0;1;0;0;0;-18,483049;-70,308029;15;0;0;0;0;0;0;1;1
27;1;111000000133;110;1;3;0;1;0;0;0;-18,483049;-70,308029;30;4;0;0;0;0;4;1;1
27;7;711000000133;110;7;3;0;1;0;0;0;-18,483049;-70,308029;34;0;0;0;0;0;0;1;1
28;-1;401000000131;10;4;1;0;1;0;0;0;-18,485069;-70,294403;30;0;0;0;0;0;0;1;1
28;0;501000000133;10;5;3;0;1;0;0;0;-18,485069;-70,294403;30;0;0;0;0;0;0;1;1
28;1;111000000131;110;1;1;0;1;0;0;0;-18,485069;-70,294403;60;13;0;0;0;0;13;1;1
28;7;711000000131;110;7;1;0;1;0;0;0;-18,485069;-70,294403;35;0;0;0;0;0;0;1;1
29;-1;401000000133;10;4;3;0;1;0;0;0;-18,47761;-70,28302;50;16;4;0;0;0;12;1;1
29;0;501000000133;10;5;3;0;1;0;0;0;-18,47761;-70,28302;50;16;2;0;0;0;14;1;1
29;1;111000000133;110;1;3;0;1;0;0;0;-18,47761;-70,28302;60;3;0;0;0;0;3;1;1
29;7;711000000133;110;7;3;0;1;0;0;0;-18,47761;-70,28302;60;9;0;0;0;0;9;1;1
31;-1;401000000133;10;4;3;0;1;0;0;0;-18,50066;-70,254593;42;0;0;0;0;0;0;1;1
31;0;501000000133;10;5;3;0;1;0;0;0;-18,50066;-70,254593;42;0;0;0;0;0;0;1;1
31;1;111000000133;110;1;3;0;1;0;0;0;-18,50066;-70,254593;37;0;0;0;0;0;0;1;1
31;7;711000000133;110;7;3;0;1;0;0;0;-18,50066;-70,254593;41;1;0;0;0;0;1;1;1
32;-1;401000000133;10;4;3;0;1;0;0;0;-18,51926;-70,178741;64;1;1;0;0;0;0;1;1
32;0;501000000133;10;5;3;0;1;0;0;0;-18,51926;-70,178741;64;7;3;0;0;0;4;1;1
32;1;111000000133;110;1;3;0;1;0;0;0;-18,51926;-70,178741;64;0;0;0;0;0;0;1;1
32;7;711000000133;110;7;3;0;1;0;0;0;-18,51926;-70,178741;43;1;0;0;0;0;1;1;1
32;9;131000000133;310;1;3;0;1;0;0;0;-18,51926;-70,178741;65;13;0;0;0;0;13;1;1
33;-1;401000000133;10;4;3;0;1;0;0;0;-18,41711;-70,225853;20;0;0;0;0;0;0;1;1
33;0;501000000133;10;5;3;0;1;0;0;0;-18,41711;-70,225853;20;1;0;0;0;0;1;1;1
33;1;111000000133;110;1;3;0;1;0;0;0;-18,41711;-70,225853;20;0;0;0;0;0;0;1;1
33;7;711000000133;110;7;3;0;1;0;0;0;-18,41711;-70,225853;20;0;0;0;0;0;0;1;1
35;-1;401000000133;10;4;3;0;1;0;0;0;-18,451719;-70,067574;18;1;1;0;0;0;0;1;1
35;0;501000000133;10;5;3;0;1;0;0;0;-18,451719;-70,067574;18;4;1;0;0;0;3;1;1
35;1;111000000133;110;1;3;0;1;0;0;0;-18,451719;-70,067574;21;3;2;0;0;0;1;1;1
36;-1;401000000131;10;4;1;0;1;0;0;0;-18,4956;-70,283524;30;11;2;0;0;0;9;1;1
36;0;501000000131;10;5;1;0;1;0;0;0;-18,4956;-70,283524;30;12;0;0;0;0;12;1;1
36;1;111000000131;110;1;1;0;1;0;0;0;-18,4956;-70,283524;35;8;0;0;0;0;8;1;1
36;7;711000000131;110;7;1;0;1;0;0;0;-18,4956;-70,283524;35;10;0;0;0;0;10;1;1
38;-1;401000000133;10;4;3;0;1;0;0;0;-18,558821;-70,100723;45;0;0;0;0;0;0;1;1
38;0;501000000133;10;5;3;0;1;0;0;0;-18,558821;-70,100723;45;0;0;0;0;0;0;1;1
38;1;111000000133;110;1;3;0;1;0;0;0;-18,558821;-70,100723;52;0;0;0;0;0;0;1;1
38;7;711000000133;110;7;3;0;1;0;0;0;-18,558821;-70,100723;45;0;0;0;0;0;0;1;1
39;1;111000000133;110;1;3;0;1;0;0;0;-18,578211;-69,965172;15;4;0;2;0;0;2;2;1
41;1;111000000133;110;1;3;0;1;0;0;0;-18,820641;-70,140381;12;2;0;0;0;0;2;1;1
42;1;111000000133;110;1;3;0;1;0;0;0;-18,38175;-69,944893;7;7;0;2;0;0;5;1;1
45;-1;401000000111;10;4;1;0;1;0;0;1;-18,483061;-70,314301;60;14;0;0;0;0;14;1;1
45;0;501000000111;10;5;1;0;1;0;0;1;-18,483061;-70,314301;60;27;0;0;0;0;27;1;1
45;1;111000000113;110;1;3;0;1;0;0;1;-18,483061;-70,314301;70;1;0;0;0;0;1;1;1
45;7;711000000113;110;7;3;0;1;0;0;1;-18,483061;-70,314301;70;2;0;0;0;0;2;1;1
45;9;131000000113;310;1;3;0;1;0;0;1;-18,483061;-70,314301;70;12;0;0;0;0;12;1;1
50;1;111000000133;110;1;3;0;1;0;0;0;-18,49332;-70,270767;45;0;0;0;0;0;0;1;1
50;7;711000000133;110;7;3;0;1;0;0;0;-18,49332;-70,270767;45;0;0;0;0;0;0;1;1
50;9;131000000133;310;1;3;0;1;0;0;0;-18,49332;-70,270767;45;0;0;0;0;0;0;1;1
52;-1;401000000133;10;4;3;0;1;0;0;0;-18,46834;-70,303596;175;1;0;0;0;0;1;1;1
52;0;501000000133;10;5;3;0;1;0;0;0;-18,46834;-70,303596;180;11;0;0;0;0;11;1;1
52;1;111000000133;110;1;3;0;1;0;0;0;-18,46834;-70,303596;270;36;0;0;0;0;36;1;1
52;7;711000000133;110;7;3;0;1;0;0;0;-18,46834;-70,303596;225;2;0;0;0;0;2;1;1
52;9;131000000133;310;1;3;0;1;0;0;0;-18,46834;-70,303596;495;9;0;0;0;0;9;1;1
56;0;501000000131;10;5;1;0;1;1;0;0;-18,470751;-70,304817;52;0;0;0;0;0;0;1;1
56;1;111000000133;110;1;3;0;1;1;0;0;-18,470751;-70,304817;78;1;0;1;0;0;0;1;1
56;7;711000000133;110;7;3;0;1;1;0;0;-18,470751;-70,304817;80;1;0;1;0;0;0;1;1
56;9;131000000133;310;1;3;0;1;1;0;0;-18,470751;-70,304817;80;0;0;0;0;0;0;1;1
60;-1;401000000131;10;4;1;0;1;0;0;0;-18,49221;-70,280296;70;1;0;0;0;0;1;1;1
60;0;501000000131;10;5;1;0;1;0;0;0;-18,49221;-70,280296;70;0;0;0;0;0;0;1;1
60;1;111000000133;110;1;3;0;1;0;0;0;-18,49221;-70,280296;70;2;0;0;0;0;2;1;1
60;7;711000000133;110;7;3;0;1;0;0;0;-18,49221;-70,280296;45;0;0;0;0;0;0;1;1
60;9;131000000133;310;1;3;0;1;0;0;0;-18,49221;-70,280296;90;1;0;0;0;0;1;1;1
67;0;501000000131;10;5;1;0;1;1;0;0;-18,48123;-70,318787;26;4;0;0;0;0;4;1;1
67;0;501000000132;10;5;2;0;1;1;0;0;-18,48123;-70,318787;26;9;0;1;0;0;8;1;1
67;1;111000000132;110;1;2;0;1;1;0;0;-18,48123;-70,318787;72;3;0;0;0;0;3;1;1
67;7;711000000131;110;7;1;0;1;1;0;0;-18,48123;-70,318787;54;0;0;0;0;0;0;1;1
67;9;131000000131;310;1;1;0;1;1;0;0;-18,48123;-70,318787;45;0;0;0;0;0;0;1;1
70;1;111000000133;110;1;3;0;1;0;0;0;-18,93622;-69,530159;8;8;0;2;0;0;6;1;1
72;1;111000000133;110;1;3;0;1;0;0;0;-18,832899;-69,744583;10;9;0;2;0;0;7;1;1
72;7;711000000133;110;7;3;0;1;0;0;0;-18,832899;-69,744583;10;4;0;0;0;0;4;1;1
72;9;131000000133;310;1;3;0;1;0;0;0;-18,832899;-69,744583;10;8;0;1;0;0;7;1;1
73;1;111000000133;110;1;3;0;1;0;0;0;-18,739889;-69,583237;5;5;0;1;0;0;4;1;1
74;1;111000000133;110;1;3;0;1;0;0;0;-19,00992;-69,860138;5;5;0;1;0;0;4;1;1
75;1;111000000133;110;1;3;0;1;0;0;0;-18,81953;-69,709549;6;6;0;1;0;0;5;1;1
76;1;111000000133;110;1;3;0;1;0;0;0;-19,16044;-70,179573;7;5;0;0;0;0;5;1;1
78;-1;401000000133;10;4;3;0;1;0;0;0;-18,19582;-69,561928;16;3;0;0;0;0;3;1;1
78;0;501000000133;10;5;3;0;1;0;0;0;-18,19582;-69,561928;18;0;0;0;0;0;0;1;1
