rbd;cod_nivel;cod_curso;cod_ense;cod_grado;cod_jor;cod_espe;cod_sede;con_copago;solo_hombres;solo_mujeres;lat;lon;cupos_totales;vacantes;vacantes_pie;vacantes_prioritarios;vacantes_alta_exigencia_t;vacantes_alta_exigencia_r;vacantes_regular;software_aleatorio;tiene_orden_pie;tiene_orden_alta_t
20;0;501000000133;10;5;3;0;1;0;0;0;-18,4797;-70,295502;42;0;0;0;0;0;0;1;0;0
20;1;111000000133;110;1;3;0;1;0;0;0;-18,4797;-70,295502;60;32;2;0;0;0;30;1;1;0
20;7;711000000133;110;7;3;0;1;0;0;0;-18,4797;-70,295502;58;9;0;0;0;0;9;1;0;0
22;-1;401000000133;10;4;3;0;1;0;0;0;-18,44829;-70,290649;78;78;6;12;0;0;60;1;1;0
22;0;501000000133;10;5;3;0;1;0;0;0;-18,44829;-70,290649;104;37;0;0;0;0;37;1;0;0
22;1;111000000133;110;1;3;0;1;0;0;0;-18,44829;-70,290649;105;31;0;0;0;0;31;1;0;0
22;7;711000000133;110;7;3;0;1;0;0;0;-18,44829;-70,290649;105;0;0;0;0;0;0;1;0;0
25;-1;401000000133;10;4;3;0;1;0;0;0;-18,440001;-70,293381;44;44;4;7;0;0;33;2;1;0
25;0;501000000133;10;5;3;0;1;0;0;0;-18,440001;-70,293381;44;6;2;0;0;0;4;2;0;0
25;1;111000000133;110;1;3;0;1;0;0;0;-18,440001;-70,293381;72;37;0;0;0;0;37;2;1;0
25;7;711000000133;110;7;3;0;1;0;0;0;-18,440001;-70,293381;72;32;0;0;0;0;32;2;0;0
25;9;131000000133;310;1;3;0;1;0;0;0;-18,440001;-70,293381;72;29;0;0;0;0;29;2;0;0
26;-1;401000000131;10;4;1;0;1;0;0;0;-18,48361;-70,300591;25;25;2;4;0;0;19;1;1;0
26;0;501000000131;10;5;1;0;1;0;0;0;-18,48361;-70,300591;25;13;2;0;0;0;11;1;0;0
26;1;111000000131;110;1;1;0;1;0;0;0;-18,48361;-70,300591;35;24;1;0;0;0;23;1;0;0
26;7;711000000131;110;7;1;0;1;0;0;0;-18,48361;-70,300591;35;21;1;0;0;0;20;1;0;0
27;-1;401000000133;10;4;3;0;1;0;0;0;-18,483049;-70,308029;15;15;2;3;0;0;10;1;0;0
27;0;501000000133;10;5;3;0;1;0;0;0;-18,483049;-70,308029;15;1;1;0;0;0;0;1;0;0
27;1;111000000133;110;1;3;0;1;0;0;0;-18,483049;-70,308029;30;11;0;0;0;0;11;1;0;0
