mrun;cod_nivel;es_mujer;prioritario;alto_rendimiento;lat_con_error;lon_con_error
435;-1;0;1;0;-39,296719368267;-72,2406423453627
620;1;0;0;0;-34,1809485279178;-70,7780899124388
1277;-1;0;0;0;-36,9138229007218;-73,0298878402411
1584;-1;0;0;0;-53,175015327883;-70,9356747592986
1976;2;0;1;0;-41,4790406396092;-72,9977984005839
2182;1;1;0;0;-38,7437585493816;-72,614460877557
2435;0;1;1;0;-35,4259366065687;-71,6665249893043
3262;-1;0;0;0;-23,6629450457945;-70,3983302735329
3914;2;1;1;0;-30,6024943061494;-71,1949704788299
4909;9;0;1;1;-33,3905982666226;-71,6685824867818
6114;1;0;1;0;-36,6211083588209;-72,1344994889869
6284;9;1;1;1;-40,0686935058935;-72,8740598007753
6353;0;1;1;0;-32,9979482444903;-71,233170099554
6452;1;0;0;0;-35,4317027266848;-71,6676983526054
8174;3;0;1;0;-38,7834104453087;-73,3992394284108
10211;1;1;0;0;-36,9880718402926;-73,1719456331605
10913;0;0;0;0;-53,1517049524655;-70,9211796821399
10965;0;0;1;0;-35,4525641552499;-72,2830256501292
12707;9;0;1;0;-29,9795387653143;-71,2430427738178
13447;1;1;1;0;-35,3628466981599;-71,7881034274191
13843;7;0;1;0;-38,1232603711131;-72,5273042766337
13926;7;1;1;0;-36,6188513542051;-72,0938827685251
14294;9;0;1;0;-42,4764659493732;-73,7674154005923
14989;-1;1;0;0;-34,1808498065701;-70,7589587277421
15368;1;0;1;0;-40,305332401564;-73,0864485454317
15683;11;1;1;0;-29,9566786535605;-71,3503430036385
15935;7;1;1;0;-23,6173706700101;-70,3710859612739
16157;1;0;1;0;-22,4791221024667;-68,9298228384265
16576;2;0;0;0;-29,9412138332504;-71,2561273728763
17153;1;1;1;0;-42,4724214849039;-73,7807279853641
17669;5;0;1;0;-30,0316052942038;-70,7063115191688
18256;1;0;1;0;-20,2354815262203;-70,1361586453113
18325;-1;0;1;0;-33,0057494865779;-71,4943946158192
18714;1;0;1;0;-35,443828528329;-71,7032420673359
19852;1;0;1;0;-36,7898240119797;-73,1131256393451
19957;-1;0;0;0;-23,5646906776022;-70,3978834165475
19980;9;1;1;0;-36,2838237120061;-71,8157220641297
20570;9;1;1;1;-33,3199240076889;-71,4074297911758
21477;-1;0;1;0;-43,1177582790593;-73,6347718948465
21548;-1;1;1;0;-32,8328571618911;-70,5971142709289
21957;7;0;0;0;-31,9156623036531;-71,5087905823183
22765;3;0;0;0;-20,1363698281448;-69,7530954272087
22806;1;0;0;0;-41,33067457679;-72,9687831196048
22906;7;0;1;0;-34,2884381605097;-71,085030829204
24620;7;1;1;0;-39,8438799918983;-73,2241524865567
25663;-1;0;0;0;-36,8505488825008;-73,1368063473291
25696;-1;0;0;0;-36,7287927423387;-72,9871066061896
25750;5;1;1;0;-43,1170640607885;-73,6141053685132
26187;12;1;0;0;-34,3872274696438;-72,0108020320094
26246;3;0;1;0;-40,4135824817638;-73,0147373855657
26434;10;1;1;0;-34,1518460320937;-70,7640530225093
26729;1;1;1;0;-32,4497081503962;-71,2320295156066
26759;-1;0;0;0;-36,143826216561;-71,8400083184132
27065;9;1;0;1;-35,397190784111;-71,7979218303021
28147;-1;0;0;0;-42,3805328750838;-73,6539566541627
28438;-1;1;0;0;-36,6233020680818;-72,0960753551053
29583;1;0;1;0;-41,9686006987515;-72,4734087893234
29749;9;1;1;1;-41,4565717069663;-72,9893868393752
29797;9;1;0;1;-34,9610217615618;-71,2081690537903
30077;-1;1;1;0;-35,3385652435505;-72,4168450194311
30307;3;0;1;0;-41,3824699755384;-72,9003688760862
30365;6;1;0;0;-29,8843874757571;-71,2407393506242
31148;4;1;0;0;-29,9598839442054;-71,2492989231594
33380;9;0;0;0;-36,7992343341135;-73,0826464808216
33426;1;0;1;0;-36,8513228922301;-73,1397728093167
33482;-1;0;1;0;-39,0993368322646;-72,677257899526
33565;0;1;0;0;-39,259905434982;-71,8229169899844
35396;7;1;0;1;-36,6284550387623;-72,138394755905
36702;-1;0;1;0;-39,278534710144;-71,9718798559174
37808;9;1;1;0;-22,4480525887074;-68,9352753828168
38068;-1;0;1;0;-35,9638501089295;-71,6838593536715
39463;7;1;0;0;-34,9783994745933;-71,2541344072793
39951;2;1;1;0;-34,1527944412139;-70,7409554623255
40787;1;0;0;0;-33,0536553978534;-71,352490826643
41185;-1;1;1;0;-30,6039280979163;-71,1980371243842
41642;-1;0;1;0;-36,7869620706611;-73,1056814002789
43340;0;0;0;0;-53,1463115585443;-70,9286752722893
44092;0;1;0;0;-38,7301478976137;-72,6435386589975
45434;5;1;0;0;-40,5662259850069;-73,1641707552859
45486;12;1;0;0;-40,5740989454709;-73,1367736295696
45685;8;1;1;0;-53,1618666295911;-70,9110611141608
45809;8;1;1;0;-20,287705278094;-70,1017829226611
45972;9;1;0;1;-32,9973371335574;-71,2755554695496
46968;1;0;1;0;-36,6125917536588;-72,072966253864
46992;9;0;1;0;-34,0094741826646;-70,6815456768715
47020;9;1;1;1;-35,4356906065077;-71,6695761625935
47241;-1;0;1;0;-33,4547116169881;-71,6694402110166
47753;9;0;1;0;-35,836349949921;-71,5793022737813
48982;-1;0;1;0;-33,0616395788356;-71,6077091111014
49247;1;1;1;0;-33,0090002897609;-71,2440173404034
50149;9;0;0;0;-36,798721318456;-73,1123104971776
50222;-1;1;1;0;-41,4680628742802;-72,9765336971666
50867;9;0;0;0;-41,473820757712;-72,9634532718887
50879;6;0;1;0;-29,9272276146703;-71,2561186026789
52392;4;1;1;0;-33,4971916962115;-70,647627655071
52775;9;1;1;0;-38,7352837366371;-72,9448347693817
53412;11;1;0;1;-31,9003224147361;-70,6220364192812
53589;-1;1;0;0;-30,587072082931;-71,1851552515659
53866;-1;0;0;0;-34,5889327385729;-70,9940792589217
54181;1;0;0;0;-34,1759702245176;-70,7707831660027
54588;1;1;1;0;-36,7684679997844;-73,1724731275131
54607;1;1;0;0;-23,641418284745;-70,3910783507383
54914;6;1;0;0;-41,4607219305413;-72,9384716238883
55267;5;0;1;0;-30,0573960345548;-71,249845413562
56963;1;0;1;0;-33,0450376583813;-71,6394113186394
57676;-1;1;1;0;-32,8377609069627;-70,9528501273877
57731;9;0;1;0;-38,7360796632225;-72,5672683347728
58375;-1;0;1;0;-37,0835976328006;-72,5659787835545
58477;9;1;0;0;-30,6089678041663;-71,2140055270631
58838;9;1;0;1;-32,4552873917289;-71,2359100461259
59443;1;1;1;0;-36,6372172593918;-72,9535616339509
60511;-1;0;1;0;-22,8901209203103;-69,3198094355732
60775;-1;1;0;0;-23,5739545664425;-70,3944759238166
62024;1;0;1;0;-36,8433465438657;-73,1400757880328
62049;-1;1;1;0;-32,7374822940862;-70,7237685593444
62194;9;0;1;0;-34,9117216129287;-71,0160545902288
63100;-1;1;0;0;-37,0745249286369;-73,1523696870005
63235;-1;1;1;0;-39,5359583733089;-72,9470284394879
64083;0;1;1;0;-29,9659468482925;-71,2572677605331
65616;1;0;1;0;-36,9525114263275;-73,0177342874281
66193;10;1;1;0;-34,142516066607;-70,7238810423183
66846;7;0;0;0;-20,2399609518374;-70,1453721095438
67437;6;0;1;0;-20,2933730613403;-70,1066858548118
69186;7;1;1;0;-34,9783517858522;-71,2531148613822
