mrun;rbd_admitido_geo_con_error;cod_curso_admitido_geo_con_error
435;6090;401000000133
620;2178;111000000131
1277;4633;401000000132
1584;8433;401000000132
1976;7637;211000000133
2182;5578;111000000132
2435;2956;501000000133
3262; ; 
3914;737;211000000133
4909;14699;131000000133
6114;17679;111000000133
6284;7200;131000000133
6353;1483;501000000111
6452;3010;111000000131
8174;2714;311000000133
10211;11420;111000000132
10913;11687;501000000133
10965;3173;501000000133
12707;13604;131000000133
13447;3138;111000000133
13843;5441;711000000133
13926;3663;711000000133
14294;22155;131000000133
14989;2146;401000000131
15368;7166;111000000133
15683;13576;361064001133
15935;326;711000000133
16157;228;111000000133
16576;40208;211000000133
17153;22535;111000000133
17669;13606;511000000133
18256;12634;111000000133
18325;14396;401000000131
18714;16467;111000000131
19852;4719;111000000131
19957; ; 
19980;3800;131000000133
20570;1502;131000000133
21477;22130;401000000133
21548;1202;401000000133
21957;13486;711000000133
22765;10905;311000000133
22806;7722;111000000133
22906;2401;711000000133
24620;22226;711000000133
25663;18102;401000000131
25696;18111;401000000132
25750;22327;511000000133
26187;2635;431000000133
26246;7434;311000000133
26434;2111;231000000133
26729;1119;111000000113
26759;3390;401000000133
27065;3138;131000000233
28147;8161;401000000133
28438;3711;401000000112
29583;8325;111000000133
29749;22544;131000000133
29797;16729;131000000133
30077; ; 
30307;22418;311000000133
30365;557;611000000133
31148;620;411000000133
33380;4706;131000000131
33426;4588;111000000131
33482;6273;401000000133
33565;6120;501000000133
35396;17908;711000000131
36702;6072;401000000133
37808;20478;131000000133
38068;3355;401000000131
39463;16508;711000000133
39951;2122;211000000131
40787;1966;111000000131
41185;13590;401000000133
41642;4722;401000000131
43340;11687;501000000133
44092;5717;501000000131
45434;22436;511000000133
45486;7325;431000000133
45685;8433;811000000133
45809;12693;811000000133
45972;14363;131000000133
46968;3663;111000000133
46992;15646;131000000133
47020;16446;131000000133
47241;2066;401000000133
47753;3252;131000000133
48982;14330;401000000131
49247;1469;111000000133
50149;4577;131000000133
50222;22366;401000000133
50867;7626;131000000133
50879;31194;611000000133
52392; ; 
52775;6585;131000000133
53412;40319;331000000133
53589;721;401000000132
53866;2457;401000000131
54181;2153;111000000131
54588;4713;111000000132
54607;310;111000000133
54914;7638;611000000133
55267;618;511000000133
56963;1650;111000000131
57676;1347;401000000133
57731;5703;131000000133
58375;4530;401000000132
58477; ; 
58838;1167;131000000133
59443;4831;111000000133
60511;371;401000000131
60775; ; 
62024;4626;111000000132
62049;1292;401000000232
62194;16754;131000000133
63100;4967;401000000133
63235;22428;401000000133
64083;620;501000000133
65616;17648;111000000132
66193;15750;231000000133
66846;12762;711000000131
67437;12747;611000000133
69186;16729;711000000133
69822;17838;131000000133
72046;5109;131000000133
72075;317;111000000132
72233;20008;401000000132
72386;2945;401000000133
73284;11711;401000000133
74182;13121;501000000133
75887;3313;131000000133
76172;3122;401000000133
76638; ; 
76891;416;501000000131
79437;403;401000000132
79696;16676;131000000133
80536;2139;411000000133
80621;16676;111000000133
80916;13559;211000000133
81938;768;231000000113
82246;2132;111000000133
82341;16942;131000000133
82426;4805;131000000233
83054;15775;131000000113
85215;13341;401000000133
85681;615;111000000133
85808;543;401000000133
86006;8375;131000000133
86821;1318;401000000131
87045;3711;131000000113
87113;8433;401000000131
87922;10901;411000000133
87953;5510;501000000133
87957;16608;401000000132
88699;219;131000000133
90399;12941;401000000133
90820;2125;111000000132
91239;525;411000000133
91712;1049;211000000133
91813;2952;401000000133
93709;6452;401000000133
94503;1385;401000000131
94549;5049;501000000133
94737;516;711000000133
94916;15720;131000000133
95716;11155;131000000133
96718;2263;111000000133
96907;8;501000000131
98524;7709;501000000111
99047;7542;231000000133
99440;407;401000000133
99803;13590;401000000133
100336;7346;211000000133
101441;407;111000000133
102226;4189;501000000133
102743;15515;401000000132
102932;16685;711000000133
103154;22499;361063009133
104073;4564;111000000131
104509;22366;401000000133
104890;8444;711000000133
104927;4572;131000000131
104964;3327;151053014133
105439;714;211000000133
105501;3443;501000000133
105547;4722;401000000131
105717;12602;131000000133
106037;22464;131000000133
106356;22686;501000000131
