mrun;cod_nivel;rbd_admitido;cod_curso_admitido
435;-1;6090;401000000133
620;1;2178;111000000131
1277;-1;4633;401000000132
1584;-1;8433;401000000132
1976;2;7637;211000000133
2182;1;5578;111000000132
2435;0;2956;501000000133
3262;-1; ; 
3914;2;737;211000000133
4909;9;14699;131000000133
6114;1;17679;111000000133
6284;9;7200;131000000133
6353;0;1483;501000000111
6452;1;2946;111000000131
8174;3;2714;311000000133
10211;1;11420;111000000132
10913;0;11687;501000000133
10965;0;3173;501000000133
12707;9;13604;131000000133
13447;1;3138;111000000133
13843;7;5441;711000000133
13926;7;3663;711000000133
14294;9;22155;131000000133
14989;-1;2146;401000000131
15368;1;7166;111000000133
15683;11;13576;361064001133
15935;7;326;711000000133
16157;1;228;111000000133
16576;2;40208;211000000133
17153;1;22535;111000000133
17669;5;13606;511000000133
18256;1;12634;111000000133
18325;-1;14396;401000000131
18714;1;16467;111000000131
19852;1;4719;111000000131
19957;-1; ; 
19980;9;3800;131000000133
20570;9;1502;131000000133
21477;-1;22130;401000000133
21548;-1;1202;401000000133
21957;7;13486;711000000133
22765;3;10905;311000000133
22806;1;7722;111000000133
22906;7;2401;711000000133
24620;7;22226;711000000133
25663;-1;18102;401000000131
25696;-1;18111;401000000132
25750;5;22327;511000000133
26187;12;2635;431000000133
26246;3;7434;311000000133
26434;10;2111;231000000133
26729;1;1119;111000000113
26759;-1;3390;401000000133
27065;9;3138;131000000233
28147;-1;8161;401000000133
28438;-1;3711;401000000112
29583;1;8325;111000000133
29749;9;22544;131000000133
29797;9;16729;131000000133
30077;-1; ; 
30307;3;22418;311000000133
30365;6;557;611000000133
31148;4;620;411000000133
33380;9;4706;131000000131
33426;1;4588;111000000131
33482;-1;6273;401000000133
33565;0;6120;501000000133
35396;7;17908;711000000131
36702;-1;6072;401000000133
37808;9;20478;131000000133
38068;-1;3355;401000000131
39463;7;16508;711000000133
39951;2;2122;211000000131
40787;1;1966;111000000131
41185;-1;13590;401000000133
41642;-1;4722;401000000131
43340;0;11687;501000000133
44092;0;5717;501000000131
45434;5;22436;511000000133
45486;12;7325;431000000133
45685;8;8433;811000000133
45809;8;12693;811000000133
45972;9;14363;131000000133
46968;1;3663;111000000133
46992;9;15646;131000000133
47020;9;16446;131000000133
47241;-1;2066;401000000133
47753;9;3252;131000000133
48982;-1;14330;401000000131
49247;1;1469;111000000133
50149;9;4577;131000000133
50222;-1;22366;401000000133
50867;9;7626;131000000133
50879;6;31194;611000000133
52392;4; ; 
52775;9;6585;131000000133
53412;11;40319;331000000133
53589;-1;721;401000000131
53866;-1;2457;401000000131
54181;1;2153;111000000131
54588;1;4713;111000000132
54607;1;310;111000000133
54914;6;7638;611000000133
55267;5;618;511000000133
56963;1;1650;111000000131
57676;-1;1347;401000000133
57731;9;5703;131000000133
58375;-1;4530;401000000132
58477;9; ; 
58838;9;1167;131000000133
59443;1;4831;111000000133
60511;-1;371;401000000131
60775;-1; ; 
62024;1;4626;111000000132
62049;-1;1292;401000000232
62194;9;16754;131000000133
63100;-1;4967;401000000133
63235;-1;22428;401000000133
64083;0;620;501000000133
65616;1;17648;111000000132
66193;10;15750;231000000133
66846;7;12762;711000000131
67437;6;12747;611000000133
69186;7;16729;711000000133
69822;9;17838;131000000133
72046;9;5109;131000000133
72075;1;317;111000000132
72233;-1;20008;401000000132
72386;-1;16461;401000000231
73284;-1;11711;401000000133
74182;0;13121;501000000133
75887;9;3313;131000000133
76172;-1;3122;401000000133
76638;-1; ; 
76891;0;416;501000000131
79437;-1;403;401000000132
79696;9;16676;131000000133
80536;4;2139;411000000133
80621;1;16676;111000000133
80916;2;13559;211000000133
81938;10;768;231000000113
82246;1;15828;111000000131
82341;9;16942;131000000133
82426;9;4805;131000000233
83054;9;15775;131000000113
85215;-1;13341;401000000133
85681;1;615;111000000133
85808;-1;543;401000000133
86006;9;8375;131000000133
86821;-1;1318;401000000131
87045;9;3711;131000000113
87113;-1;8433;401000000131
87922;4;10901;411000000133
87953;0;5510;501000000133
87957;-1;16608;401000000132
88699;9;219;131000000133
90399;-1;12941;401000000133
90820;1;2125;111000000132
91239;4;525;411000000133
91712;2;1049;211000000133
91813;-1;2952;401000000133
93709;-1;6452;401000000133
94503;-1;1385;401000000131
94549;0;5049;501000000133
94737;7;516;711000000133
94916;9;15720;131000000133
95716;9;11155;131000000133
96718;1;2263;111000000133
96907;0;8;501000000131
98524;0;7709;501000000111
99047;10;7542;231000000133
99440;-1;407;401000000133
99803;-1;13590;401000000133
100336;2;7346;211000000133
101441;1;407;111000000133
102226;0;4189;501000000133
102743;-1;15515;401000000132
102932;7;16685;711000000133
103154;11;22499;361063009133
104073;1;4564;111000000131
104509;-1;22366;401000000133
104890;7;8444;711000000133
104927;9;4572;131000000131
104964;9;3327;151053014133
105439;2;714;211000000133
105501;0;3443;501000000133
105547;-1;4722;401000000131
105717;9;12602;131000000133
106037;9;22464;131000000133
106356;0;22686;501000000131
106672;11;22478;361064008133
107155;-1;4737;401000000131
107235;-1;11265;401000000131
107414;1;14414;111000000132
107985;-1;2767;401000000131
108719;3;2121;311000000112
109150;0;13133;501000000131
111590;1;7872;111000000133
111788;9;12312;131000000133
113381;7;11707;711000000131
113639;1;1359;111000000133
114777;1;646;111000000131
115949;-1;406;401000000131
116131;1;7032;111000000131
116321;9;14210;131000000133
116436;9;7720;131000000133
117251;10;15643;231000000131
118030;7;40395;711000000131
118412;9;40295;131000000133
119669;4;107;411000000133
120420;7;12631;711000000133
120571;1;2843;111000000133
121474;9;7625;131000000133
121517;9;2938;131000000133
122108;3;15646;311000000133
123119;-1;40399;401000000133
123397;1;5286;111000000131
123469;0;5597;501000000133
123486;4;612;411000000133
123671;0;14453;501000000131
124000;10;12649;231000000133
124500;2;13504;211000000133
124502;9;12630;131000000133
126674;-1;15650;401000000132
127249;-1;18123;401000000132
127250;-1; ; 
127557;-1;4310;401000000133
128015;7;417;711000000133
128814;0;16676;501000000133
129103;9;5216;131000000133
129712;-1;14678;401000000131
129969;1;2736;111000000132
130079;9; ; 
130144;6;15726;611000000133
130813;-1;13562;401000000133
131073;7;11144;711000000133
131525;9;12855;131000000133
131645;9;22397;131000000131
131681;9;13156;131000000133
132059;0;16945;501000000133
133799;9;8162;131000000133
133896;0;5716;501000000132
134041;-1;22334;401000000132
134820;0;7632;501000000131
134840;1;31219;111000000233
135196;-1;3885;401000000131
135293;-1;17733;401000000132
135475;9;516;131000000133
136107;0;13;501000000133
136112;7;4758;711000000133
137059;10;15646;231000000133
137482;10;967;231000000133
137527;9;7720;131000000133
138651;-1;464;401000000132
138997;1;2084;111000000133
139923;9;2937;131000000133
140824;1;5387;111000000133
141027;-1;13342;401000000132
141539;9;218;131000000133
141886;9;5216;131000000133
142044;7;4672;711000000133
142347;9;17818;131000000131
142653;-1;11687;401000000133
144200;4;22065;411000000133
144343;-1;12941;401000000133
144367;9; ; 
144880;9;19972;131000000133
145636;11;11265;331000000133
146214;-1;2972;401000000133
147215;8;712;811000000133
147284;4;15502;411000000131
147782;-1;15682;401000000131
148471;4;10901;411000000133
149287;8;521;811000000133
149592;11;11139;351052009133
149631;-1;15608;401000000133
149654;7;22334;711000000131
149865;1;530;111000000133
150355;-1; ; 
150679;3;12634;311000000133
151144;7;40343;711000000133
151651;1;22738;111000000133
152379;-1;117;401000000131
152405;0;666;501000000131
153489;9;5568;131000000131
154045;0;11718;501000000131
154167;0;15624;501000000131
156523;3;646;311000000133
156734;7;5580;711000000133
156855;1;4994;111000000132
159933;9;2938;131000000133
159981;7;12741;711000000133
160367;9;7956;131000000133
160461;9; ; 
160735;10;13372;231000000133
161271;1;5001;111000000133
161623;10;22436;231000000133
161745;9;1167;131000000133
161779;1;7391;111000000133
162631;1;24233;111000000133
163472;1;3010;111000000131
164268;1;11242;111000000133
165737;9;7626;131000000133
166807;7;6052;711000000133
166965;0;17723;501000000131
167074;0;4177;501000000132
170000;9;22196;131000000133
170477;1;297;111000000131
171645;0;20226;501000000132
172233;9;12610;131000000133
172352;1;12020;111000000133
172515;1;67;111000000132
172822;0;7639;501000000131
173167;2;2518;211000000133
173195;-1;650;401000000131
173289;9;1515;131000000133
174090;8;13586;811000000133
174524;7;106;711000000133
175711;-1;22010;401000000133
176836;0;546;501000000131
177310;9;97;131000000133
177394;9;40155;131000000133
177547;-1;3654;401000000131
177943;9;19974;131000000133
178315;5;40295;511000000133
178417;-1;13133;401000000133
178435;2;683;211000000133
179367;7;79;711000000133
179439;9;40080;131000000131
179469;1;1257;111000000133
179556;1;709;111000000133
179582;0;13590;501000000133
180479;-1; ; 
181323;1;4672;111000000133
181452;9;12830;131000000133
181680;-1;5039;401000000133
181964;0;2057;501000000132
182066;-1;22561;401000000133
182388;1;4459;111000000133
182607;0;11147;501000000131
182844;9;12059;131000000133
183193;1; ; 
183574;9; ; 
184474;-1;16461;401000000231
185513;9;12033;131000000131
186193;0;40422;501000000131
186232;0;19972;501000000231
187087;0;4990;501000000133
187092;-1;2285;401000000131
187502;9;5566;131000000133
187923;9;3127;171072007133
187974;4;827;411000000133
188545;0;22623;501000000131
188600;1;3395;111000000133
189034;11;40457;351058035133
189866;1;709;111000000133
190267;9;11608;131000000133
190611;-1;4660;401000000132
191063;9;4709;131000000133
191089;-1;22255;401000000131
191377;9;14400;131000000133
191702;9; ; 
191819;0;4171;501000000131
193165;1;5106;111000000133
193346;4;2457;411000000131
193802;8;13486;811000000133
195046;0;297;501000000131
195742;9;22626;131000000133
198736;8;15811;811000000131
201283;9;2938;131000000133
201627;9;2013;131000000133
201927;2;22419;211000000133
202049;-1;303;401000000132
202097;-1;2735;401000000132
202846;-1;19927;401000000131
204253;1;15762;111000000133
207211;-1;618;401000000133
208055;0;1909;501000000132
209337;-1;117;401000000131
210005;9;2486;131000000133
210520;-1;3017;401000000133
211967;7;5654;711000000133
213332;9;4712;131000000133
213625;-1;4382;401000000133
214714;3;618;311000000133
215461;-1;5471;401000000133
216834;1;1191;111000000133
218583;-1;5224;401000000133
218776;5;12515;511000000133
219187;9;12830;131000000133
219478;-1;20263;401000000133
219499;9;7626;131000000133
220130;7;12027;711000000131
220415;7;5227;711000000133
221235;1;15779;111000000131
221764;0; ; 
221896;9;11400;131000000131
222147;1;318;111000000133
223054;-1;19968;401000000132
223140;-1;5717;401000000132
223437;0;6088;501000000131
223925;-1;20042;401000000132
223945;9;2134;131000000133
224217;-1;1202;401000000133
224827;-1; ; 
224864;9;13504;131000000133
225360;9;2164;131000000133
225594;-1;1414;401000000133
226114;4;2247;411000000133
226505;2;2664;211000000133
226853;9;2263;131000000133
227239;-1;2114;401000000111
227426;9;1663;131000000131
227682;9;1464;131000000133
228197;1;12302;111000000132
228310;-1;4269;401000000131
228332;1;12655;111000000133
228532;9;701;131000000133
228823;9;2111;131000000133
229711;-1;16766;401000000131
230190;9;6085;131000000133
230336;-1;7016;401000000133
231955;-1; ; 
